| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 123 | LONG BALL | 07/21/65 | II (B-62) | WR | | | 0 |
| 124 | MAGIC LAMP | 08/16/65 | II (B-6) | WR | | | 0 |
| 125 | SV: GEMINI GT-5 | 08/21/65 | II (G-5) | ER | | | 0 |
| 126 | NEW ROLE | 08/25/65 | II (B-19) | WR | | | 0 |
| 127 | BOLD GUY | 09/21/65 | II (B-58) | WR | 4 | 2 | 0 |
| 128 | SV: OV-2, LCS-5 | 10/15/65 | IIIC (65-212)/Trans. | ER | NA | 4 & 5 | 1 |
| 129 | POWER BOX | 10/20/65 | II (B-33) | WR | | | 0 |
| 130 | RED WAGON | 11/27/65 | II (B-20) | WR | | | 0 |
| 131 | CROSS FIRE | 11/30/65 | II (B-4) | WR | 5 | 2 | 0 |
| 132 | SV: GEMINI GT-7 | 12/04/65 | II (G-7) | ER | | | 0 |
| 133 | SV: GEMINI GT-6A | 12/15/65 | II (G-6) | ER | | | 0 |
| 134 | SV: LES-3,4, OSCAR 4 | 12/21/65 | IIIC (66-001)/Trans. | ER | NA | 5 | 1 |
| 135 | SEA ROVER | 12/22/65 | II (B-73) | WR | 4T | 2 | 0 |
| 136 | WINTER ICE | 02/03/66 | II (B-87) | WR | | | 0 |
| 137 | BLACK HAWK | 02/17/66 | II (B-61) | WR | | | 0 |
| 138 | SV: GEMINI GT-8 | 03/16/66 | II (G-8) | ER | | | 0 |
| 139 | CLOSE TOUCH | 03/25/66 | II (B-16) | WR | | | 0 |
| 140 | GOLD RING | 04/05/66 | II (B-50) | WR | | | 0 |
| 141 | LONG LIGHT | 04/20/66 | II (B-55) | WR | | | 0 |
| 142 | SILVER BULLET | 05/24/66 | II (B-91) | WR | 4 | 2.5 | 0 |
| 143 | SV: GEMINI GT-9A | 06/03/66 | II (G-9) | ER | | | 0 |
| 144 | SV: IDCSP | 06/16/66 | IIIC (66-004)/Trans. | ER | | | 1 |
| 145 | SV: GEMINI GT-10 | 07/18/66 | II (G-10) | ER | | | 0 |
| 146 | GIANT TRAIN | 07/22/66 | II (B-95) | WR | | | 0 |
| 147 | DAILY MAIL | 07/29/66 | IIB/AGENA D (23B) | WR | | | 1 |
| 148 | SV-IDCSP | 08/26/66 | IIIC (66-005)/Trans. | ER | 4T | 0 | 1 |
| 149 | SV: GEMINI GT-11 | 09/12/66 | II (G-11) | ER | | | 0 |
| 150 | BLACK RIVER | 09/16/66 | II (B-40) | WR | | | 0 |
| 151 | BUSY SCHEME | 09/28/66 | IIB/AGENA D (23B) | WR | | | 1 |
| 152 | SV-OAR/OV | 11/03/66 | IIIC (66-002)/Trans. | ER | | | 1 |
| 153 | SV: GEMINI GT-12 | 11/11/66 | II (G-12) | ER | | | 0 |
| 154 | BUBBLE GIRL | 11/24/66 | II (B-68) | WR | | | 0 |
| 155 | BUSY SKYROCKET | 12/14/66 | IIB/AGENA D (23B) | WR | | | 1 |
| 156 | SV-IDCSP/LES/DATS | 01/18/67 | IIIC (66-006)/Trans. | ER | | | 1 |
| 157 | BUSY PALEFACE | 02/24/67 | IIB/AGENA D (23B) | WR | | | 1 |
| 158 | GIFT HORSE | 03/17/67 | II (B-76) | WR | | | 0 |
| 159 | GLAMOUR GIRL | 04/12/67 | II (B-81) | WR | 4T | 2 | 0 |
| 160 | BUSY TAILOR | 04/26/67 | IIB/AGENA D (23B) | WR | 4 | 2 | 1 |
| 161 | SV-VELA/RSCH | 04/28/67 | IIIC (66-003)/Trans. | ER | | | 1 |
| 162 | BUSY PLAYMATE | 06/20/67 | IIB/AGENA D (23B) | WR | | | 1 |
| 163 | BUGGY WHEEL | 06/23/67 | II (B-70) | WR | | | 0 |
| 164 | SV-IDCSP | 07/01/67 | IIIC (66-007)/Trans. | ER | | | 1 |
| 165 | AFSC | 08/16/67 | IIB/AGENA D (23B) | WR | | | 1 |
| 166 | GLOWING BRIGHT | 09/11/67 | II (B-21) | WR | | | 0 |
| 167 | AFSC | 09/19/67 | IIB/AGENA D (23B) | WR | | | 1 |
| 168 | AFSC | 10/25/67 | IIB/AGENA D (23B) | WR | | | 1 |

9/10/96  &
