| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 77 | WS | 05/09/63 | II (N-14) | ER | 4 | 2 | 0 |
| 78 | FLYING FROG | 05/13/63 | II (N-19) | WR | | | 0 |
| 79 | WS | 05/24/63 | II (N-17) | ER | | | 0 |
| 80 | WS | 05/29/63 | II (N-20) | ER | 4 | 1 | 0 |
| 81 | THREAD NEEDLE | 06/20/63 | II (N-22) | WR | 5 | 2 | 0 |
| 82 | SILVER SPUR | 07/16/63 | I (SM-24) | WR | 4 | 2 | 0 |
| 83 | HIGH RIVER | 08/15/63 | I (SM-7) | WR | | | 0 |
| 84 | WS | 08/21/63 | II (N-24) | ER | | | 0 |
| 85 | POLAR ROUTE | 08/30/63 | I (SM-56) | WR | 4 | 2.5 | 0 |
| 86 | DAILY MAIL | 09/17/63 | I (SM-83) | WR | | | 0 |
| 87 | TAR TOP | 09/23/63 | II (N-23) | WR | | | 0 |
| 88 | WS | 11/01/63 | II (N-25) | ER | | | 0 |
| 89 | FIRE TRUCK | 11/09/63 | II (N-27) | WR | 4T | 1 | 0 |
| 90 | FACT RIDE | 11/14/63 | I (SM-68) | WR | | | 0 |
| 91 | WS | 12/12/63 | II (N-29) | ER | | | 0 |
| 92 | USEFUL TASK | 12/16/63 | II (N-28) | WR | | | 0 |
| 93 | WS | 01/15/64 | II (N-31) | ER | | | 0 |
| 94 | RED SAILS | 01/23/64 | II (N-26) | WR | | | 0 |
| 95 | SAFE CONDUCT | 02/17/64 | II | WR | | | 0 |
| 96 | WS | 02/26/64 | II (N-32) | ER | | | 0 |
| 97 | APPLE PIE | 03/13/64 | II (N-30) | WR | | | 0 |
| 98 | WS | 03/23/64 | II (N-33) | ER | | | 0 |
| 99 | SV: GEMINI GT-1 | 04/08/64 | II (G-1) | ER | | | 0 |
| 100 | WS | 04/09/64 | II (N-34) | ER | | | 0 |
| 101 | COBRA SKIN | 07/30/64 | II (B-28) | WR | | | 0 |
| 102 | DOUBLE TALLEY | 08/11/64 | II (B-9) | WR | | | 0 |
| 103 | GENTLE ANNIE | 08/13/64 | II (B-7) | WR | | | 0 |
| 104 | SV (first Titan III) | 09/01/64 | IIIA (65-210)/Trans. | ER | 4 | 4 | 0 |
| 105 | BLACK WIDOW | 10/02/64 | II (B-1) | WR | | | 0 |
| 106 | HIGH RIDER | 11/04/64 | II (B-32) | WR | | | 0 |
| 107 | WEST WIND I | 12/08/64 | I (SM-85) | WR | 5 | 1 | 0 |
| 108 | SV | 12/10/64 | IIIA (65-209)/Trans. | ER | | | 0 |
| 109 | WEST WIND III | 01/14/65 | I (SM-33) | WR | 4 | 2 | 0 |
| 110 | SV: GEMINI GT-2 | 01/19/65 | II (G-2) | ER | | | 0 |
| 111 | SV: LES-1 | 02/11/65 | IIIA (65-211)/Trans. | ER | | | 0 |
| 112 | WEST WIND II | 03/05/65 | I (SM-80) | WR | 4 | 2 | 0 |
| 113 | SV: GEMINI GT-3 | 03/23/65 | II (G-3) | ER | | | 0 |
| 114 | ARTIC SUN | 03/24/65 | II (B-60) | WR | | | 0 |
| 115 | BEAR HUG | 04/16/65 | II (B-45) | WR | | | 0 |
| 116 | CARD DECK | 04/30/65 | II (B-54) | WR | 4 | 1 | 0 |
| 117 | SV: LES-2 | 05/06/65 | IIIA (65-214)/Trans. | ER | | | 0 |
| 118 | FRONT SIGHT | 05/21/65 | II (B-51) | WR | | | 0 |
| 119 | SV: GEMINI GT-4 | 06/03/65 | II (G-4) | ER | | | 0 |
| 120 | GOLD FISH | 06/14/65 | II (B-22) | WR | 4 | 2.5 | 0 |
| 121 | SV: DUMMY PAYLOAD | 06/18/65 | IIIC (65-215)/Trans. | ER | | | 1 |
| 122 | BUSY BEE | 06/30/65 | II (B-30) | WR | | | 0 |

9/10/96 151 RTI
