| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 262 | AC-6 | 08/11/65 | 151D, LV-3C/CENTAUR D | ER | | | 0 |
| 263 | TONTO RIM | 08/26/65 | 61D | WR | | | 0 |
| 264 | WATER SNAKE | 09/29/65 | 125D | WR | | | 0 |
| 265 | Log Fog | 09/30/65 | 7110, SLV-3/AGENA D | WR | | | 1 |
| 266 | Seething City | 10/05/65 | 34D/ABRES | WR | | | 0 |
| 267 | GTV-6 | 10/25/65 | 5301, SLV-3/AGENA D | ER | 4 | 3 | 1 |
| 268 | Shop Degree | 11/08/65 | 7113, SLV-3/AGENA D | WR | | | 1 |
| 269 | WILD GOAT | 11/29/65 | 200D | WR | | | 0 |
| 270 | TAG DAY | 12/20/65 | 85D | WR | | | 0 |
| 271 | Blanket Party | 01/19/66 | 7114, SLV-3/AGENA D | WR | | | 1 |
| 272 | YEAST CAKE | 02/10/66 | 305D | WR | | | 0 |
| 273 | LONELY MT. | 02/11/66 | 86D | WR | | | 0 |
| 274 | Mucho Grande | 02/15/66 | 7115, SLV-3/AGENA D | WR | | | 1 |
| 275 | SYCAMORE RIDGE | 02/19/66 | 73D | WR | | | 0 |
| 276 | ETERNAL CAMP | 03/04/66 | 303D | WR | 5 | 1 | 0 |
| 277 | GTV-8 | 03/16/66 | 5302, SLV-3/AGENA D | ER | | | 1 |
| 278 | Dumb Dora | 03/18/66 | 7116, SLV-3/AGENA D | WR | | | 1 |
| 279 | WHITE BEAR | 03/19/66 | 304D | WR | 5 | 2 | 0 |
| 280 | BRONZE Bell | 03/30/66 | 72D | WR | | | 0 |
| 281 | AC-8 | 04/07/66 | 184D, LV-3C/CENT. D | ER | 4T | 4 | 0 |
| 282 | OAO-1 | 04/08/66 | 5001, SLV-3/AGENA D | ER | | | 0 |
| 283 | Shallow Stream | 04/19/66 | 7117, SLV-3/AGENA D | WR | | | 1 |
| 284 | CRAB CLAW | 05/03/66 | 208D | WR | 4T | 1 | 0 |
| 285 | SUPPLY ROOM | 05/13/66 | 98D | WR | | | 0 |
| 286 | Pump Handle | 05/14/66 | 7118, SLV-3/AGENA D | WR | | | 1 |
| 287 | GTV-9 | 05/17/66 | 5303, SLV-3/AGENA D | ER | 5 | 1 | 1 |
| 288 | SAND SHARK | 05/26/66 | 41D | WR | | | 0 |
| 289 | SURVEYOR-1 (AC-10) | 05/30/66 | 290D, LV-3C/CENTAUR D | ER | | | 0 |
| 290 | GTV-9A | 06/01/66 | 5304, SLV-3/AGENA D | ER | | | 1 |
| 291 | Power Drill | 06/03/66 | 7119, SLV-3/AGENA D | WR | | | 1 |
| 292 | OGO-3 | 06/06/66 | 5601, SLV-3/AGENA B | ER | | | 1 |
| 293 | Mama's Boy | 06/09/66 | 7201, SLV-3/AGENA D | WR | | | 1 |
| 294 | VENEER PANEL | 06/10/66 | 96D | WR | 4 | 2.5 | 0 |
| 295 | GOLDEN MT. | 06/26/66 | 147D | WR | | | 0 |
| 296 | HEAVY ARTILLERY | 06/30/66 | 298D | WR | | | 0 |
| 297 | Snake Creek | 07/12/66 | 7120, SLV-3/AGENA D | WR | | | 1 |
| 298 | Stony Island | 07/13/66 | 58D/ABRES | WR | NA | 3 | 0 |
| 299 | GTV-10 | 07/18/66 | 5305, SLV-3/AGENA D | ER | | | 1 |
| 300 | BUSY RAMROD | 08/08/66 | 149F | WR | 4 | 2 | 0 |
| 301 | LUNAR ORBITER 1 | 08/10/66 | 5801, SLV-3/AGENA D | ER | | | 1 |
| 302 | Silver Doll | 08/16/66 | 7121, SLV-3/AGENA D | WR | | | 1 |
| 303 | Happy Mt. | 08/19/66 | 7202, SLV-3/AGENA D | WR | | | 1 |
| 304 | GTV-11 | 09/12/66 | 5306, SLV-3/AGENA D | ER | | | 1 |
| 305 | Taxi Driver | 09/16/66 | 7123, SLV-3/AGENA D | WR | | | 1 |
| 306 | SURVEYOR 2 (AC-7) | 09/20/66 | 194D, LV-3C/CENT. D | ER | NA | 5 | 0 |
| 307 | Dwarf Killer | 10/05/66 | 7203, SLV-3/AGENA D | WR | | | 1 |

9/10/96 109 RTI
