| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
|---|---|---|---|---|---|---|---|
| 124 | CURRY COMB II | 04/11/62 | 129D | WR | | | 0 |
| 125 | RANGER 4 | 04/23/62 | 133D, LV-3A/AGENA B | ER | | | 0 |
| 126 | Dainty Doll | 04/26/62 | 118D, LV-3A/AGENA B | WR | | | 0 |
| 127 | BLUE BALL | 04/27/62 | 140D | WR | | | 0 |
| 128 | AC-1 (SUBORBITAL) | 05/08/62 | 104D LV-3C/CENT. D | ER | 4 | 1 | 0 |
| 129 | CANNONBALL FLYER | 05/11/62 | 127D | WR | | | 0 |
| 130 | MERCURY 7 | 05/24/62 | 107D, LV-3B | ER | | | 0 |
| 131 | Rubber Gun | 06/17/62 | 115D, LV-3A/AGENA B | WR | 4 | 3 | 0 |
| 132 | ALL JAZZ | 06/26/62 | 21D | WR | | | 0 |
| 133 | LONG LADY | 07/12/62 | 141D | WR | | | 0 |
| 134 | EXTRA BONUS | 07/13/62 | 67E | WR | 4 | 2 & 2.5 | 0 |
| 135 | Armored Car | 07/18/62 | 120D, LV-3A/AGENA B | WR | | | 0 |
| 136 | FIRST TRY | 07/19/62 | 13D | WR | | | 0 |
| 137 | MARINER 1 (VENUS) | 07/22/62 | 145D LV-3A/AGENA B | ER | 5 | 2 | 0 |
| 138 | HIS NIBS | 08/01/62 | 15F | WR | | | 0 |
| 139 | Air Scout | 08/05/62 | 124D, LV-3A/AGENA B | WR | | | 0 |
| 140 | PEG BOARD | 08/09/62 | 8D | WR | | | 0 |
| 141 | PEG BOARD II | 08/09/62 | 87D | WR | 4 | 2.5 | 0 |
| 142 | CRASH TRUCK | 08/10/62 | 57F | WR | 5 | 1 | 0 |
| 143 | WS | 08/13/62 | 7F | ER | | | 0 |
| 144 | MARINER 2 (VENUS) | 08/27/62 | 179D LV-3A/AGENA B | ER | NA | 2 | 0 |
| 145 | WS | 09/19/62 | 8F | ER | | | 0 |
| 146 | BRIAR STREET | 10/02/62 | 4D | WR | 4 | 2 | 0 |
| 147 | MERCURY 8 | 10/03/62 | 113D, LV-3B | ER | | | 0 |
| 148 | RANGER 5 | 10/18/62 | 215D LV-3A/AGENA B | ER | NA | 5 | 0 |
| 149 | WS | 10/19/62 | 14F | ER | | | 0 |
| 150 | CLOSED CIRCUITS | 10/26/62 | 159D | WR | | | 0 |
| 151 | WS | 11/07/62 | 16F | ER | | | 0 |
| 152 | After Deck | 11/11/62 | 128D, LV-3A/AGENA B | WR | | | 0 |
| 153 | ACTION TIME | 11/14/62 | 13F | WR | 4 | 1 | 0 |
| 154 | WS | 12/05/62 | 21F | ER | | | 0 |
| 155 | DEER PARK | 12/12/62 | 161D | WR | | | 0 |
| 156 | Bargain Counter | 12/17/62 | 131D, LV-3A/AGENA B | WR | 4T | 1 | 0 |
| 157 | OAK TREE | 12/18/62 | 64E | WR | 4T | 1 | 0 |
| 158 | FLY HIGH | 12/22/62 | 160D | WR | 4 | 2 | 0 |
| 159 | BIG SUE | 01/25/63 | 39D | WR | 4 | 1 | 0 |
| 160 | FAINT CLICK | 01/31/63 | 176D | WR | | | 0 |
| 161 | FLAG RACE | 02/13/63 | 182D | WR | | | 0 |
| 162 | PITCH PINE | 02/28/63 | 188D | WR | | | 0 |
| 163 | ABRES-1 | 03/01/63 | 134F | ER | | | 0 |
| 164 | TALL TREE 3 | 03/09/63 | 102D | WR | 5 | 1 | 0 |
| 165 | TALL TREE 2 | 03/11/63 | 64D | WR | | | 0 |
| 166 | TALL TREE 1 | 03/15/63 | 46D | WR | 4T | 2 | 0 |
| 167 | TALL TREE 5 | 03/15/63 | 63F | WR | | | 0 |
| 168 | LEADING EDGE | 03/16/63 | 193D | WR | 4T | 2 | 0 |
| 169 | KENDALL GREEN | 03/21/63 | 83F | WR | 4 | 2.5 | 0 |

9/10/96 106 RTI
