| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
|---|---|---|---|---|---|---|---|
| 78 | MERCURY 2 | 02/21/61 | 67D LV-3B | ER | | | 0 |
| 79 | WS | 02/24/61 | 9E | ER | | | 0 |
| 80 | WS | 03/13/61 | 13E | ER | 4 | 2 | 0 |
| 81 | WS | 03/24/61 | 16E | ER | 4 | 1.5 | 0 |
| 82 | MERCURY 3 | 04/25/61 | 100D LV-3B | ER | 3 | 1 | 0 |
| 83 | WS | 05/12/61 | 12E | ER | | | 0 |
| 84 | LITTLE SATIN | 05/24/61 | 95D | WR | | | 0 |
| 85 | WS | 05/26/61 | 18E | ER | | | 0 |
| 86 | SURE SHOT | 06/07/61 | 27E | WR | 4 | 1 | 0 |
| 87 | WS | 06/22/61 | 17E | ER | 4 | 1 | 0 |
| 88 | WS | 07/06/61 | 22E | ER | | | 0 |
| 89 | Polar Orbit (Midas III) | 07/12/61 | 97D, LV-3A/AGENA B | WR | | | 0 |
| 90 | WS | 07/31/61 | 21E | ER | | | 0 |
| 91 | WS | 08/08/61 | 2F | ER | | | 0 |
| 92 | NEW NICKEL | 08/22/61 | 101D | WR | | | 0 |
| 93 | RANGER 1 | 08/23/61 | 111D LV-3A/AGENA | ER | NA | 4 | 0 |
| 94 | WS | 09/08/61 | 26E | ER | 4 | 2 | 0 |
| 95 | First Motion (Samos III) | 09/09/61 | 106D LV-3A/AGENA B | WR | 1 | 1 | 0 |
| 96 | MERCURY 4 | 09/13/61 | 88D LV-3B | ER | | | 0 |
| 97 | WS | 10/02/61 | 25E | ER | | | 0 |
| 98 | WS | 10/05/61 | 30E | ER | | | 0 |
| 99 | Big Town (Midas IV) | 10/21/61 | 105D LV-3A/AGENA B | WR | NA | 2 | 0 |
| 100 | WS | 11/10/61 | 32E | ER | 4T | 1 | 0 |
| 101 | RANGER 2 | 11/18/61 | 117D LV-3A/AGENA | ER | NA | 4 | 0 |
| 102 | WS | 11/22/61 | 4F | ER | | | 0 |
| 103 | Round Trip (Samos IV) | 11/22/61 | 108D LV-3A/AGENA B | WR | 4T | 2 | 0 |
| 104 | MERCURY 5 | 11/29/61 | 93D LV-3B | ER | | | 0 |
| 105 | BIG PUSH | 11/29/61 | 53D | WR | | | 0 |
| 106 | WS | 12/01/61 | 35E | ER | | | 0 |
| 107 | BIG CHIEF | 12/07/61 | 82D | WR | | | 0 |
| 108 | WS | 12/12/61 | 5F | ER | 5 | 2 | 0 |
| 109 | WS | 12/19/61 | 36E | ER | | | 0 |
| 110 | WS | 12/20/61 | 6F | ER | 4T | 2 | 0 |
| 111 | Ocean Way (Samos V) | 12/22/61 | 114D LV-3A/AGENA B | WR | NA | 2 | 0 |
| 112 | BLUE FIN | 01/17/62 | 123D | WR | | | 0 |
| 113 | BLUE MOSS | 01/23/62 | 132D | WR | | | 0 |
| 114 | RANGER 3 | 01/26/62 | 121D LV-3A/AGENA B | ER | NA | 2 & 5 | 0 |
| 115 | WS | 02/13/62 | 40E | ER | | | 0 |
| 116 | BIG JOHN | 02/16/62 | 137D | WR | NA | 1.5 | 0 |
| 117 | MERCURY 6 | 02/20/62 | 109D, LV-3B | ER | | | 0 |
| 118 | CHAIN SMOKER | 02/21/62 | 52D | WR | 4 | 1 | 0 |
| 119 | SILVER SPUR | 02/28/62 | 66E | WR | 4T | 1.5 & 2 | 0 |
| 120 | Loose Tooth | 03/07/62 | 112D, LV-3A/AGENA B | WR | | | 0 |
| 121 | CURRY COMB I | 03/23/62 | 134D | WR | | | 0 |
| 122 | WS | 04/09/62 | 11F | ER | 1 | 1 | 0 |
| 123 | Night Hunt | 04/09/62 | 110D LV-3A/AGENA B | WR | NA | 1 | 0 |

9/10/96  &nbsp
