| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 400 | PIONEER 10 (AC-27) | 03/02/72 | 5007C, SLV-3C/CENTAUR D | ER | | | 1 |
| 401 | INTELSAT IV F-5 (AC-29) | 06/13/72 | 5009C, SLV-3C/CENTAUR D | ER | | | 1 |
| 402 | OAO-C (AC-22) | 08/21/72 | 5004C, SLV-3C/CENTAUR D | ER | | | 1 |
| 403 | AFSC | 10/02/72 | 102F/BURNER II | WR | | | 0 |
| 404 | DOD (AA-32) | 12/20/72 | SLV-3A/AGENA D | ER | | | 1 |
| 405 | DOD (AA-33) | 03/06/73 | SLV-3A/AGENA D | ER | | | 1 |
| 406 | PIONEER 11 (AC-30) | 04/05/73 | 5011D, SLV-3D/CENT D-1A | ER | | | 1 |
| 407 | INTELSAT IV F-7 (AC-31) | 08/23/73 | 5010D, SLV-3D/CENT D-1A | ER | | | 1 |
| 408 | ABRES (AFSC) | 08/29/73 | 78F | WR | | | 0 |
| 409 | ACE | 09/30/73 | 108F | WR | | | 0 |
| 410 | MARINER 10 (AC-34) | 11/03/73 | 5014D, SLV-3D/CENT D-1A | ER | | | 1 |
| 411 | SFT-1 | 03/06/74 | 73F | WR | | | 0 |
| 412 | ACE | 03/23/74 | 97F | WR | | | 0 |
| 413 | SFT-2 | 05/01/74 | 54F | WR | | | 0 |
| 414 | SFT-3 | 06/28/74 | 82F | WR | | | 0 |
| 415 | NTS-1 | 07/13/74 | 69F | WR | | | 0 |
| 416 | ACE | 09/08/74 | 80F | WR | | | 0 |
| 417 | ABRES (AFSC) | 10/12/74 | 31F | WR | | | 0 |
| 418 | INTELSAT IV F-8 (AC-32) | 11/21/74 | 5012D, SLV-3D/CENT D-1A | ER | | | 1 |
| 419 | INTELSAT IV F-6 (AC-33) | 02/20/75 | 5015D, SLV-3D/CENT D-1A | ER | 4T | 2 | 1 |
| 420 | AFSC | 04/12/75 | 71F | WR | 4 | 1 | 0 |
| 421 | INTELSAT IV F-1 (AC-35) | 05/22/75 | 5018D, SLV-3D/CENT D-1A | ER | | | 1 |
| 422 | DOD (AA-34) | 06/18/75 | SLV-3A/AGENA | ER | | | 1 |
| 423 | INTELSAT IVA F-1 (AC-36) | 09/25/75 | 5016D, SLV-3D/CENT D-1A | ER | | | 1 |
| 424 | INTELSAT IVA F-2 (AC-37) | 01/29/76 | 5017D, SLV-3D/CENT D-1A | ER | | | 1 |
| 425 | AFSC | 04/30/76 | F | WR | | | 0 |
| 426 | COMSTAR D-1 (AC-38) | 05/13/76 | 5020D, SLV-3D/CENT D-1A | ER | | | 1 |
| 427 | COMSTAR D-2 (AC-40) | 07/22/76 | 5022D, SLV-3D/CENT D-1A | ER | | | 1 |
| 428 | DOD (AA-35) | 05/23/77 | SLV-3A/AGENA | ER | | | 1 |
| 429 | INTELSAT IVA F-4 (AC-39) | 05/26/77 | 5019D, SLV-3D/CENT D-1A | ER | | | 1 |
| 430 | NTS-2 | 06/23/77 | 65F | WR | | | 0 |
| 431 | HEAO-A (AC-45) | 08/12/77 | 5025D, SLV-3D/CENT D-1A | ER | | | 1 |
| 432 | INTELSAT IVA F-5 (AC-43) | 09/29/77 | 5701D, SLV-3D/CENT D-1A | ER | 4T | 1 | 1 |
| 433 | AFSC | 12/08/77 | F | WR | | | 0 |
| 434 | DOD (AA-36) | 12/11/77 | SLV-3A/AGENA D | ER | | | 1 |
| 435 | INTELSAT IVA F-3 (AC-46) | 01/06/78 | 5026D, SLV-3D/CENT D-1A | ER | | | 1 |
| 436 | FLTSATCOM-A (AC-44) | 02/09/78 | 5024D, SLV-3D/CENT D-1A | ER | | | 1 |
| 437 | NDS-1 | 02/22/78 | 64F | WR | | | 0 |
| 438 | INTELSAT IVA F-6 (AC-48) | 03/31/78 | 5028D, SLV-3D/CENT D-1A | ER | | | 1 |
| 439 | DOD (AA-37) | 04/07/78 | SLV-3A/AGENA D | ER | | | 1 |
| 440 | NDS-2 | 05/13/78 | 49F | WR | | | 0 |
| 441 | PIONEER (VENUS) (AC-50) | 05/20/78 | 5030D, SLV-3D/CENT D-1A | ER | | | 1 |
| 442 | SEASAT A | 06/26/78 | 23F/AGENA D | WR | | | 0 |
| 443 | COMSTAR D-3 (AC-41) | 06/29/78 | 5021D, SLV-3D/CENT D-1A | ER | | | 1 |
| 444 | PIONEER (VENUS) (AC-51) | 08/08/78 | 5031D, SLV-3D/CENT D-1A | ER | | | 1 |
| 445 | NAVSTAR III | 10/06/78 | 47F | WR | | | 0 |

9/10/96  &
