| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
|---|---|---|---|---|---|---|---|
| 446 | TIROS N | 10/13/78 | 29F | WR | | | 0 |
| 447 | HEAO-B (AC-52) | 11/13/78 | 5032D, SLV-3D/CENT D-1A | ER | | | 1 |
| 448 | NAVSTAR IV | 12/10/78 | 39F | WR | | | 0 |
| 449 | STP-78-1 | 02/24/79 | 27F | WR | | | 0 |
| 450 | FLTSATCOM-B (AC-47) | 05/04/79 | 5027D, SLV-3D/CENT D-1A | ER | | | 1 |
| 451 | NOAA-A | 06/27/79 | 25F | WR | | | 0 |
| 452 | HEAO-C (AC-53) | 09/20/79 | 5033D, SLV-3D/CENT D-1A | ER | | | 1 |
| 453 | FLTSATCOM-C (AC-49) | 01/17/80 | 5029D, SLV-3D/CENT D-1A | ER | | | 1 |
| 454 | NAVSTAR V | 02/09/80 | 35F | WR | | | 0 |
| 455 | AFSC | 03/03/80 | F | WR | | | 0 |
| 456 | NAVSTAR VI | 04/26/80 | 34F | WR | | | 0 |
| 457 | NOAA-B | 05/29/80 | 19F | WR | NA | 1 | 0 |
| 458 | FLTSATCOM-D (AC-57) | 10/31/80 | 5037D, SLV-3D/CENT D-1A | ER | | | 1 |
| 459 | INTELSAT IV F-2 (AC-54) | 12/06/80 | 5034D, SLV-3D/CENT D-1A | ER | | | 1 |
| 460 | AFSC | 12/08/80 | 68E | WR | 5 | 1 | 0 |
| 461 | COMSTAR D (AC-42) | 02/21/81 | 5023D, SLV-3D/CENT D-1A | ER | | | 1 |
| 462 | INTELSAT V (AC-56) | 05/23/81 | 5036D, SLV-3D/CENT D-1A | ER | | | 1 |
| 463 | NOAA-C | 06/23/81 | 87F | WR | | | 0 |
| 464 | FLTSATCOM-E (AC-59) | 08/06/81 | 5039D, SLV-3D/CENT D-1A | ER | NA | 1 & 5 | 1 |
| 465 | INTELSAT V F-3 (AC-55) | 12/15/81 | 5035D, SLV-3D/CENT D-1A | ER | | | 1 |
| 466 | NAVSTAR VII | 12/18/81 | 76E | WR | 2 | 1 | 0 |
| 467 | INTELSAT V F-4 (AC-58) | 03/05/82 | 5038D, SLV-3D/CENT D-1A | ER | | | 1 |
| 468 | INTELSAT V F-5 (AC-60) | 09/28/82 | 5040D, SLV-3D/CENT D-1A | ER | | | 1 |
| 469 | DMSP F-6 | 12/20/82 | 60E | WR | | | 0 |
| 470 | AFSC | 02/09/83 | H | WR | | | 1 |
| 471 | NOAA-E | 03/28/83 | 73E | WR | | | 0 |
| 472 | INTELSAT V F-6 (AC-61) | 05/19/83 | 5041D, SLV-3D/CENT D-1A | ER | | | 1 |
| 473 | AFSC | 06/09/83 | H | WR | | | 1 |
| 474 | NAVSTAR VIII | 07/14/83 | 75E/PAM-D | WR | | | 0 |
| 475 | DMSP F-7 | 11/17/83 | 58E | WR | | | 0 |
| 476 | AFSC | 02/05/84 | H | WR | | | 1 |
| 477 | INTELSAT V F-9 (AC-62) | 06/09/84 | 5042G/CENT D-1A | ER | 4T | 4 | 1 |
| 478 | NAVSTAR IX | 06/13/84 | 42E/PAM-D | WR | | | 0 |
| 479 | NAVSTAR X | 09/08/84 | 14E/PAM-D | WR | | | 0 |
| 480 | NOAA-F | 12/12/84 | 39E | WR | | | 0 |
| 481 | GEOSTA-A | 03/12/85 | 41E | WR | | | 0 |
| 482 | INTELSAT V F-10 (AC-63) | 03/22/85 | 5043G/CENT D-1A | ER | | | 1 |
| 483 | INTELSAT V F-11 (AC-64) | 06/30/85 | 5044G/CENT D-1A | ER | | | 1 |
| 484 | INTELSAT V F-12 (AC-65) | 09/28/85 | 5045G/CENT D-1A | ER | | | 1 |
| 485 | NAVSTAR XI | 10/08/85 | 55E | WR | | | 0 |
| 486 | AFSC | 02/09/86 | H | WR | | | 1 |
| 487 | NOAA-G | 09/17/86 | 52E | WR | | | 0 |
| 488 | FLTSATCOM F-7 (AC-66) | 12/05/86 | 5046G/CENT D-1A | ER | | | 1 |
| 489 | FLTSATCOM F-6 (AC-67) | 03/26/87 | 5048G/CENT D-1A | ER | 4T | 1 | 1 |
| 490 | AFSC | 05/15/87 | H | WR | | | 1 |
| 491 | DMSP F-8 | 06/19/87 | 59E | WR | | | 0 |

9/10/96  &
