| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 308 | LOW HILL | 10/11/66 | 115F | WR | 4 | 1 | 0 |
| 309 | Gleaming Star | 10/12/66 | 7122, SLV-3/AGENA D | WR | | | 1 |
| 310 | AC-9 | 10/26/66 | 174D, LV-3C/CENT. D | ER | NA | 2 | 0 |
| 311 | Red Caboose | 11/02/66 | 7124, SLV-3/AGENA D | WR | | | 1 |
| 312 | LUNAR ORBITER 2 | 11/06/66 | 5802, SLV-3/AGENA D | ER | | | 1 |
| 313 | GTV-12 | 11/11/66 | 5307, SLV-3/AGENA D | ER | | | 1 |
| 314 | Busy Mermaid | 12/05/66 | 7125, SLV-3/AGENA D | WR | | | 1 |
| 315 | ATS-B | 12/06/66 | 5101, SLV-3/AGENA D | ER | | | 1 |
| 316 | Busy Panama | 12/11/66 | 89D/ABRES | WR | | | 0 |
| 317 | Busy Peacock | 12/21/66 | 7001, SLV-3/AGENA D | WR | | | 1 |
| 318 | BUSY STEPSON | 01/17/67 | 148F | WR | NA | 2.5 | 0 |
| 319 | BUSY NIECE | 01/22/67 | 35D | WR | | | 0 |
| 320 | Busy Party | 02/02/67 | 7126, SLV-3/AGENA D | WR | | | 1 |
| 321 | LUNAR ORBITER 3 | 02/04/67 | 5803, SLV-3/AGENA D | ER | | | 1 |
| 322 | BUSY BOXER | 02/13/67 | 121F | 'WR | | | 0 |
| 323 | Giant Chief | 03/05/67 | 7002, SLV-3/AGENA D | WR | | | 1 |
| 324 | LITTLE CHURCH | 03/16/67 | 151F | WR | | | 0 |
| 325 | ATS-A | 04/05/67 | 5102, SLV-3/AGENA D | ER | | | 1 |
| 326 | BUSY SUNRISE | 04/07/67 | 38D | WR | | | 0 |
| 327 | SURVEYOR 3 (AC-12) | 04/17/67 | 292D, LV-3C/CENTAUR D | ER | | | 0 |
| 328 | Busy Tournament | 04/19/67 | 7003, SLV-3/AGENA D | WR | | | 1 |
| 329 | LUNAR ORBITER 4 | 05/04/67 | 5804, SLV-3/AGENA D | ER | | | 1 |
| 330 | BUSY PIGSKIN | 05/19/67 | 119F | WR | | | 0 |
| 331 | Busy Camper | 05/22/67 | 7127, SLV-3/AGENA D | WR | | | 1 |
| 332 | Busy Wolf | 06/04/67 | 7128, SLV-3/AGENA D | WR | | | 1 |
| 333 | BUCK TYPE | 06/09/67 | 122F | WR | | | 0 |
| 334 | MARINER 5 (VENUS) | 06/14/67 | 5401, SLV-3/AGENA D | ER | | | 1 |
| 335 | ABRES (AFSC) | 07/06/67 | 65D | WR | | | 0 |
| 336 | SURVEYOR 4 (AC-11) | 07/14/67 | 291D, LV-3C/CENTAUR D | ER | | | 0 |
| 337 | ABRES (AFSC) | 07/22/67 | 114F | WR | | | 0 |
| 338 | AFSC | 07/27/67 | 92D/ABRES | WR | | | 0 |
| 339 | BREAD HOOK | 07/29/67 | 150F | WR | | | 0 |
| 340 | LUNAR ORBITER 5 | 08/01/67 | 5805, SLV-3/AGENA D | ER | | | 1 |
| 341 | SURVEYOR 5 (AC-13) | 09/08/67 | 5901C, SLV-3/CENTAUR D | ER | | | 1 |
| 342 | ABRES (AFSC) | 10/11/67 | 69D | WR | | | 0 |
| 343 | ABRES (AFSC) | 10/14/67 | 118F | WR | | | 0 |
| 344 | ABRES (AFSC) | 10/27/67 | 81F | WR | 4T | 1 | 0 |
| 345 | ATS-C | 11/05/67 | 5103, SLV-3/AGENA D | ER | | | 1 |
| 346 | SURVEYOR 6 (AC-14) | 11/07/67 | 5902C, SLV-3C/CENTAUR D | ER | | | 1 |
| 347 | ABRES (AFSC) | 11/07/67 | 94D | WR | | | 0 |
| 348 | ABRES (AFSC) | 11/10/67 | 113F | WR | | | 0 |
| 349 | ABRES (AFSC) | 12/21/67 | 117F | WR | | | 0 |
| 350 | SURVEYOR 7 (AC-15) | 01/07/68 | 5903C, SLV-3C/CENTAUR D | ER | | | 1 |
| 351 | ABRES (AFSC) | 01/31/68 | 94F | WR | | | 0 |
| 352 | ABRES (AFSC) | 02/26/68 | 116F | WR | | | 0 |
| 353 | OGO-E | 03/04/68 | 5602A, SLV-3A/AGENA D | ER | | | 1 |

9/10/96  &nbsp
