| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 215 | COPERNIKUS | 10/12/92 | 7925 | ER | | | 1 |
| 216 | NAVSTAR II-16 | 11/22/92 | 7925 | ER | | | 1 |
| 217 | NAVSTAR II-17 | 12/18/92 | 7925 | ER | | | 1 |
| 218 | NAVSTAR II-18 | 02/03/93 | 7925 | ER | | | 1 |
| 219 | NAVSTAR II-19 | 03/30/93 | 7925 | ER | | | 1 |
| 220 | NAVSTAR II-20 | 05/13/93 | 7925 | ER | | | 1 |
| 221 | NAVSTAR II-21 | 06/26/93 | 7925 | ER | | | 1 |
| 222 | NAVSTAR II-22 | 08/30/93 | 7925 | ER | | | 1 |
| 223 | NAVSTAR II-23 | 10/26/93 | 7925 | ER | | | 1 |
| 224 | NATO IVB | 12/08/93 | 7925 | ER | | | 1 |
| 225 | GALAXY I-R | 02/19/94 | 7925-8 | ER | | | 1 |
| 226 | NAVSTAR II-24 | 03/10/94 | 7925 | ER | | | 1 |
| 227 | WIND | 11/01/94 | 7925-10 | ER | | | 1 |
| 228 | KOREASAT | 08/05/95 | 7925 | ER | NA | 1 & 5 | 1 |
| 229 | RADAR SAT | 11/04/95 | 7920-10 | ER | | | 1 |
| 230 | X-RAY EXPLORER | 12/30/95 | 7920A-10 | ER | | | 1 |
| 231 | KOREASAT-2 | 01/14/96 | 7925 | ER | | | 1 |
| 232 | NEAR | 02/17/96 | 7925-8 | ER | | | 1 |
| 233 | POLAR | 02/24/96 | 7925-10 | WR | | | 1 |
| 234 | GPS-7 | 03/27/96 | 7925-8 | ER | | | 1 |
| 235 | MSX | 04/24/96 | 7920-10 | WR | | | 1 |
| 236 | GALAXY 1X | 05/24/96 | 7925A | ER | | | 1 |
| 237 | GPS-26 | 07/16/96 | 7925-9.5 | ER | | | 1 |

9/10/96  &
