| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 492 | DMSP F-9 | 02/02/88 | 54E | WR | | | 0 |
| 493 | NOAA-H | 09/24/88 | 63E | WR | | | 0 |
| 494 | FLTSATCOM F-8 (AC-68) | 09/25/89 | 5047G/CENT D-1A | ER | | | 1 |
| 495 | P87-2 | 04/11/90 | 28E/ALT 3A | WR | | | 0 |
| 496 | CRRES (AC-69) | 07/25/90 | 5049 I/CENT I | ER | | | 1 |
| 497 | DMSS 10 | 12/01/90 | 61E | WR | | | 0 |
| 498 | BS-3H COMSAT (AC-70) | 04/18/91 | 5050 I/CENT I | ER | 4T | 3 | 1 |
| 499 | NOAA-D | 05/14/91 | 50E | WR | | | 0 |
| 500 | DMSP F-11 | 11/28/91 | 53E | WR | | | 0 |
| 501 | EUTELSAT (AC-102) | 12/07/91 | 8102 II/CENT I | ER | | | 1 |
| 502 | DSCS III (AC-101) | 02/11/92 | 8101 II/CENT I | ER | | | 1 |
| 503 | GALAXY 5 (AC-72) | 03/14/92 | 5052 I/CENT | ER | | | 1 |
| 504 | INTELSAT K (AC-105) | 06/10/92 | 8105 IIA/CENT | ER | | | 1 |
| 505 | DSCS III (AC-103) | 07/02/92 | 8103 II/CENT | ER | | | 1 |
| 506 | GALAXY 1R (AC-71) | 08/22/92 | 5051 I/CENT | ER | 4T | 3 | 1 |
| 507 | UHF FOLLOW ON-1 (AC-74) | 03/25/93 | 5054 I/CENT | ER | NA | 2 & 5 | 1 |
| 508 | DSCS III (AC-104) | 07/19/93 | 8104 II/CENT | ER | | | 1 |
| 509 | NOAA-I | 08/09/93 | 34E | WR | | | 0 |
| 510 | UHF F/O-2 (AC-75) | 09/03/93 | 5055 I/CENT | ER | | | 1 |
| 511 | DSCS III (AC-106) | 11/28/93 | 8106 II/CENT | ER | | | 1 |
| 512 | TELSTAR 4 (AC-108) | 12/16/93 | 8201 IIAS/CENT | ER | | | 1 |
| 513 | GOES-1 (AC-73) | 04/13/94 | 5053 I/CENT | ER | | | 1 |
| 514 | UHF F/O-3 (AC-76) | 06/24/94 | 5056 I/CENT | ER | | | 1 |
| 515 | DIRECT TV (AC-107) | 08/03/94 | 8107 IIA/CENT | ER | | | 1 |
| 516 | DMSP F-12 | 08/29/94 | 20E | WR | | | 0 |
| 517 | INTELSAT VII (AC-111) | 10/06/94 | 8202 IIAS/CENT | ER | | | 1 |
| 518 | ORION (AC-110) | 11/29/94 | 8109 IIA/CENT | ER | | | 1 |
| 519 | NOAA-J | 12/30/94 | 11E | WR | | | 0 |
| 520 | INTELSAT 704-2 (AC-113) | 01/10/95 | 8203 IIAS/CENT | ER | | | 1 |
| 521 | EHF F/O-4 (AC-112) | 01/29/95 | 8110 II/CENT | ER | | | 1 |
| 522 | INTELSAT VII (AC-115) | 03/22/95 | 8204 IIAS/CENT | ER | | | 1 |
| 523 | DMSP F-13 | 03/24/95 | 45E | WR | | | 0 |
| 524 | MSAT (AC-114) | 04/07/95 | 8111 IIA/CENT | ER | | | 1 |
| 525 | GOES-J (AC-77) | 05/23/95 | I/CENT | ER | | | 1 |
| 526 | EHF F/O-5 (AC-116) | 05/31/95 | II/CENT | ER | | | 1 |
| 527 | DSCS III (AC-118) | 07/31/95 | IIA/CENT | ER | | | 1 |
| 528 | JCSAT (AC-117) | 08/29/95 | IIAS/CENT | ER | | | 1 |
| 529 | EHF F/O-6 (AC-119) | 10/22/95 | II/CENT | ER | | | 1 |
| 530 | SOLAR OBSERV. (AC-121) | 12/02/95 | IIAS/CENT | ER | | | 1 |
| 531 | GALAXY IIIR (AC-120) | 12/15/95 | IIA/CENT | ER | | | 1 |
| 532 | PALAPA-C (AC-126) | 01/31/96 | IIAS/CENT | ER | | | 1 |
| 533 | INMARSAT-3 (AC-122) | 04/03/96 | IIA/CENT | ER | | | 1 |
| 534 | SAX (AC-78) | 04/30/96 | I/CENT | ER | | | 1 |
| 535 | UHF F7 (AC-125) | 07/25/96 | II/CENT | ER | | | 1 |

9/10/96 114 RTI
