Table 35. Effect on f-Ratio of Varying Mode-5 Constant B (A = 3) - Part 1

| 180 - $\phi$ | R = 1 nm (B = 500) | R = 1 nm (B = 1000) | R = 1 nm (B = 2000) | R = 5 nm (B = 500) | R = 5 nm (B = 1000) | R = 5 nm (B = 2000) |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 |
| 5 | 1.3 | 1.3 | 1.2 | 1.3 | 1.3 | 1.3 |
| 10 | 1.6 | 1.6 | 1.5 | 1.7 | 1.7 | 1.7 |
| 15 | 2.1 | 2.0 | 1.9 | 2.2 | 2.2 | 2.1 |
| 20 | 2.7 | 2.5 | 2.3 | 2.8 | 2.8 | 2.7 |
| 25 | 3.4 | 3.1 | 2.7 | 3.6 | 3.6 | 3.4 |
| 30 | 4.2 | 3.7 | 3.1 | 4.7 | 4.5 | 4.3 |
| 35 | 5.2 | 4.5 | 3.6 | 6.0 | 5.8 | 5.4 |
| 40 | 6.4 | 5.3 | 4.1 | 7.7 | 7.3 | 6.6 |
| 45 | 7.7 | 6.2 | 4.5 | 9.8 | 9.2 | 8.1 |
| 50 | 9.2 | 7.0 | 5.0 | 12.4 | 11.4 | 9.8 |
| 55 | 10.8 | 7.9 | 5.3 | 15.7 | 14.1 | 11.7 |
| 60 | 12.4 | 8.7 | 5.7 | 19.7 | 17.1 | 13.7 |
| 65 | 14.1 | 9.5 | 6.0 | 24.4 | 20.6 | 15.8 |
| 70 | 15.8 | 10.2 | 6.2 | 29.9 | 24.3 | 17.8 |
| 75 | 17.3 | 10.8 | 6.4 | 36.3 | 28.5 | 19.9 |
| 80 | 18.7 | 11.3 | 6.6 | 43.4 | 32.5 | 21.8 |
| 85 | 20.0 | 11.7 | 6.7 | 51.1 | 36.5 | 23.5 |
| 90 | 21.1 | 12.1 | 6.8 | 59.1 | 40.4 | 25.0 |
| 95 | 22.0 | 12.3 | 6.9 | 67.3 | 44.1 | 26.3 |
| 100 | 22.8 | 12.6 | 7.0 | 75.3 | 47.3 | 27.5 |
| 105 | 23.4 | 12.7 | 7.0 | 82.9 | 50.2 | 28.4 |
| 110 | 23.9 | 12.9 | 7.1 | 89.8 | 52.7 | 29.1 |
| 115 | 24.3 | 13.0 | 7.1 | 96.0 | 54.7 | 29.7 |
| 120 | 24.6 | 13.1 | 7.1 | 101.4 | 56.4 | 30.2 |
| 125 | 24.9 | 13.2 | 7.1 | 106.0 | 57.8 | 30.6 |
| 130 | 25.1 | 13.2 | 7.1 | 109.9 | 58.9 | 30.9 |
| 135 | 25.3 | 13.3 | 7.2 | 113.0 | 59.8 | 31.2 |
| 140 | 25.4 | 13.3 | 7.2 | 115.5 | 60.5 | 31.3 |
| 145 | 25.5 | 13.3 | 7.2 | 117.6 | 61.1 | 31.5 |
| 150 | 25.5 | 13.3 | 7.2 | 119.2 | 61.5 | 31.6 |
| 155 | 25.6 | 13.3 | 7.2 | 120.5 | 61.8 | 31.7 |
| 160 | 25.6 | 13.4 | 7.2 | 121.5 | 62.1 | 31.8 |
| 165 | 25.7 | 13.4 | 7.2 | 122.2 | 62.3 | 31.8 |
| 170 | 25.7 | 13.4 | 7.2 | 122.8 | 62.4 | 31.8 |
| 175 | 25.7 | 13.4 | 7.2 | 123.3 | 62.6 | 31.9 |
| 180 | 25.7 | 13.4 | 7.2 | 123.7 | 62.6 | 31.9 |

9/10/96  &
