| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 32 | WS | 09/16/59 | 17D | ER | 4 | 2.5 | 0 |
| 33 | WS | 10/06/59 | 18D | ER | | | 0 |
| 34 | WS | 10/09/59 | 22D | ER | | | 0 |
| 35 | WS | 10/29/59 | 26D | ER | 4 | 2.5 | 0 |
| 36 | WS | 11/04/59 | 28D | ER | NA | 2 | 0 |
| 37 | WS | 11/24/59 | 15D | ER | NA | 2.5 | 0 |
| 38 | ABLE (PIONEER) | 11/26/59 | 20D LV-3A/AGENA | ER | 4 | 1 | 0 |
| 39 | WS | 12/08/59 | 31D | ER | | | 0 |
| 40 | WS | 12/18/59 | 40D | ER | | | 0 |
| 41 | WS | 01/06/60 | 43D | ER | | | 0 |
| 42 | WS | 01/26/60 | 44D | ER | | | 0 |
| 43 | DUAL EXHAUST | 01/26/60 | 6D | WR | 4 | 2 & 2.5 | 0 |
| 44 | WS | 02/11/60 | 49D | ER | | | 0 |
| 45 | MIDAS I | 02/26/60 | 29D LV-3A/AGENA A | ER | 4 | 2.5 | 0 |
| 46 | WS | 03/08/60 | 42D | ER | 4 | 2.5 | 0 |
| 47 | WS | 03/10/60 | 51D | ER | 1 | 1 | 0 |
| 48 | WS | 04/07/60 | 48D | ER | 1 | 1 | 0 |
| 49 | QUICK START | 04/22/60 | 25D | WR | | | 0 |
| 50 | LUCKY DRAGON | 05/06/60 | 23D | WR | 3 | 1 | 0 |
| 51 | WS | 05/20/60 | 56D | ER | | | 0 |
| 52 | MIDAS II | 05/24/60 | 45D LV-3A/AGENA A | ER | | | 0 |
| 53 | WS | 06/11/60 | 54D | ER | | | 0 |
| 54 | WS | 06/22/60 | 62D | ER | 4 | 2.5 | 0 |
| 55 | WS | 06/27/60 | 27D | ER | | | 0 |
| 56 | WS | 07/02/60 | 60D | ER | 4 | 2 | 0 |
| 57 | TIGER SKIN | 07/22/60 | 74D | WR | 5 | 1 | 0 |
| 58 | MERCURY 1 | 07/29/60 | 50D LV-3B | ER | 4 | 1 | 0 |
| 59 | WS | 08/09/60 | 32D | ER | | | 0 |
| 60 | WS | 08/12/60 | 66D | ER | | | 0 |
| 61 | GOLDEN JOURNEY | 09/12/60 | 47D | WR | 4 | 2 | 0 |
| 62 | WS | 09/16/60 | 76D | ER | | | 0 |
| 63 | WS | 09/19/60 | 79D | ER | | | 0 |
| 64 | ABLE 5 (PIONEER) | 09/25/60 | 80D LV-3A/AGENA | ER | 4T | 2.5 & 3 | 0 |
| 65 | HIGH ARROW | 09/29/60 | 33D | WR | 4 | 1 | 0 |
| 66 | WS | 10/11/60 | 3E | ER | 5 | 2 | 0 |
| 67 | Gibson Girl | 10/11/60 | 57D LV-3A/AGENA A | WR | NA | 3 & 5 | 0 |
| 68 | DIAMOND JUBILEE | 10/12/60 | 81D | WR | 4 | 1 | 0 |
| 69 | WS | 10/13/60 | 71D | ER | | | 0 |
| 70 | WS | 10/22/60 | 55D | ER | | | 0 |
| 71 | WS | 11/15/60 | 83D | ER | | | 0 |
| 72 | WS | 11/29/60 | 4E | ER | 5 | 2 | 0 |
| 73 | ABLE 5B (PIONEER) | 12/15/60 | 91D LV-3A/AGENA | ER | 4 | 1 | 0 |
| 74 | HOT SHOT | 12/16/60 | 99D | WR | | | 0 |
| 75 | WS | 01/23/61 | 90D | ER | | | 0 |
| 76 | WS | 01/24/61 | 8E | ER | 5 | 2 | 0 |
| 77 | Jawhawk Jamboree | 01/31/61 | 70D LV-3A/AGENA A | WR | NA | 2 | 0 |

9/10/96 104 RTI
