| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 170 | TALL TREE 4 | 03/23/63 | 52F | WR | 4 | 1 | 0 |
| 171 | BLACK BUCK | 04/24/63 | 65E | WR | NA | 2.5 | 0 |
| 172 | ABRES-2 | 04/26/63 | 135F | ER | | | 0 |
| 173 | Damp Clay | 05/09/63 | 119D, LV-3A/AGENA B | WR | | | 0 |
| 174 | MERCURY 9 | 05/15/63 | 130D, LV-3B | ER | | | 0 |
| 175 | DOCK HAND | 06/04/63 | 62E | WR | | | 0 |
| 176 | HARPOON GUN | 06/12/63 | 198D | WR | | | 0 |
| 177 | Big Four | 06/12/63 | 139D, LV-3A/AGENA B | WR | 4T | 1 | 0 |
| 178 | GO BOY | 07/03/63 | 69E | WR | | | 0 |
| 179 | Fish Pool | 07/12/63 | 201D, LV-3A/AGENA D | WR | | | 0 |
| 180 | Damp Duck | 07/18/63 | 75D, LV-3A/AGENA B | WR | | | 0 |
| 181 | SILVER DOLL | 07/26/63 | 24E | WR | 4 | 2 | 0 |
| 182 | BIG FLIGHT | 07/30/63 | 70E | WR | | | 0 |
| 183 | COOL WATER I | 07/31/63 | 143D | WR | | | 0 |
| 184 | PIPE DREAM | 08/24/63 | 72E | WR | | | 0 |
| 185 | COOL WATER II | 08/28/63 | 142D | WR | | | 0 |
| 186 | Fixed Fee | 09/06/63 | 212D, LV-3A/AGENA D | WR | | | 0 |
| 187 | COOL WATER III | 09/06/63 | 63D | WR | 4 | 1 | 0 |
| 188 | COOL WATER IV | 09/11/63 | 84D | WR | 4T | 2.5 | 0 |
| 189 | FILTER TIP | 09/25/63 | 71E | WR | 4T | 2 | 0 |
| 190 | HOT RUM | 10/03/63 | 45F | WR | 1 | 1 | 0 |
| 191 | COOL WATER V | 10/07/63 | 163D | WR | 4 | 1 | 0 |
| 192 | VELA 1 & 2 | 10/16/63 | 197D, LV-3A/AGENA D | ER | | | 0 |
| 193 | Hay Bailer | 10/25/63 | 224D, LV-3A/AGENA D | WR | | | 0 |
| 194 | ABRES-3 | 10/28/63 | 136F | ER | 4T | 2 | 0 |
| 195 | HICKORY HOLLOW | 11/04/63 | 232D | WR | | | 0 |
| 196 | COOL WATER VI | 11/13/63 | 158D | WR | 4 | 1 | 0 |
| 197 | AC-2 | 11/27/63 | 126D, LV-3C/CENTAUR D | ER | | | 0 |
| 198 | LENS COVER | 12/18/63 | 233D | WR | | | 0 |
| 199 | Rest Easy | 12/18/63 | 227D, LV-3A/AGENA D | WR | | | 0 |
| 200 | DAY BOOK | 12/18/63 | 109F | WR | | | 0 |
| 201 | RANGER 6 | 01/30/64 | 199D, LV-3A/AGENA B | ER | | | 0 |
| 202 | BLUE BAY | 02/12/64 | 48E | WR | 4 | 2 | 0 |
| 203 | Upper Octane | 02/25/64 | 285D, LV-3A/AGENA D | WR | | | 0 |
| 204 | ABRES-4 | 02/25/64 | 5E | ER | | | 0 |
| 205 | Ink Blotter | 03/11/64 | 296D, LV-3A/AGENA D | WR | | | 0 |
| 206 | ABRES-5 | 04/01/64 | 137F | ER | | | 0 |
| 207 | HIGH BALL | 04/03/64 | 3F | WR | 1 | 1 | 0 |
| 208 | PROJECT FIRE | 04/14/64 | 263D, LV-3A/AGENA D | ER | | | 0 |
| 209 | Anchor Dan | 04/23/64 | 351D, LV-3A/AGENA D | WR | | | 0 |
| 210 | Big Fred | 05/19/64 | 350D, LV-3A/AGENA D | WR | | | 0 |
| 211 | IRON LUNG | 06/18/64 | 243D | WR | | | 0 |
| 212 | AC-3 | 06/30/64 | 135D, LV-3C/CENT. D | ER | 4 | 3 | 0 |
| 213 | Quarter Round | 07/06/64 | 352D, LV-3A/AGENA D | WR | | | 0 |
| 214 | VELA 3 & 4 | 07/17/64 | 216D, LV-3A/AGENA D | ER | | | 0 |
| 215 | RANGER 7 | 07/28/64 | 250D, LV-3A/AGENA D | ER | | | 0 |

9/10/96  &nbsp
