| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
|---|---|---|---|---|---|---|---|
| 123 | LAGEOS | 05/04/76 | 2913 | WR | | | 1 |
| 124 | MARISAT-B | 06/10/76 | 2914 | ER | | | 1 |
| 125 | PALAPA-A | 07/08/76 | 2914 | ER | | | 1 |
| 126 | ITOS-E2 | 07/29/76 | 2310 | WR | | | 0 |
| 127 | MARISAT-C | 10/14/76 | 2914 | ER | | | 1 |
| 128 | NATO IIIB | 01/27/77 | 2914 | ER | | | 1 |
| 129 | PALAPA-B | 03/10/77 | 2914 | ER | | | 1 |
| 130 | ESRO-GEOS | 04/20/77 | 2914 | ER | NA | 2.5 & 5 | 1 |
| 131 | GOES-B | 06/16/77 | 2914 | ER | | | 1 |
| 132 | GMS | 07/14/77 | 2914 | ER | | | 1 |
| 133 | SIRIO | 08/25/77 | 2313 | ER | | | 0 |
| 134 | OTS | 09/13/77 | 3914 | ER | 4 | 1 | 1 |
| 135 | ISEE A/B | 10/22/77 | 2914 | ER | | | 1 |
| 136 | METEOSAT-F1 | 11/22/77 | 2914 | ER | | | 1 |
| 137 | CS | 12/14/77 | 2914 | ER | | | 1 |
| 138 | IUE | 01/26/78 | 2914 | ER | | | 1 |
| 139 | L&SAT-C | 03/05/78 | 2910 | WR | | | 1 |
| 140 | BSE | 04/07/78 | 2914 | ER | | | 1 |
| 141 | OTS-2 | 05/11/78 | 3914 | ER | | | 1 |
| 142 | GOES-C | 06/19/78 | 2914 | ER | | | 1 |
| 143 | ESRO-GEOS2 | 07/14/78 | 2914 | ER | | | 1 |
| 144 | ISEE-C | 08/12/78 | 2914 | ER | | | 1 |
| 145 | NIMBUS-G | 10/24/78 | 2910 | WR | | | 1 |
| 146 | NATO IIIC | 11/19/78 | 2914 | ER | | | 1 |
| 147 | TELESAT-D | 12/16/78 | 3914 | ER | | | 1 |
| 148 | SCATHA | 01/30/79 | 2914 | ER | | | 1 |
| 149 | WESTAR-C | 08/09/79 | 2914 | ER | | | 1 |
| 150 | RCA-C | 12/07/79 | 3914 | ER | | | 1 |
| 151 | SMM | 02/14/80 | 3910 | ER | | | 1 |
| 152 | GOES-D | 09/09/80 | 3914 | ER | | | 1 |
| 153 | SBS-A | 11/15/80 | 3910 PAM | ER | | | 1 |
| 154 | GOES-E | 05/22/81 | 3914 | ER | | | 1 |
| 155 | DE | 08/03/81 | 3913 | WR | NA | 2 & 5 | 1 |
| 156 | SBS-B | 09/24/81 | 3910 PAM | ER | | | 1 |
| 157 | SME | 10/06/81 | 2310 | WR | | | 0 |
| 158 | RCA-D | 11/20/81 | 3910 PAM | ER | | | 1 |
| 159 | RCA-C' | 01/15/82 | 3910 PAM | ER | | | 1 |
| 160 | WESTAR-IV | 02/26/82 | 3910 PAM | ER | | | 1 |
| 161 | INSAT-IA | 04/10/82 | 3910 PAM | ER | | | 1 |
| 162 | WESTAR-V | 06/09/82 | 3910 PAM | ER | NA | 1 | 1 |
| 163 | L&SAT-D | 07/16/82 | 3920 | WR | | | 1 |
| 164 | TELESAT-F | 08/26/82 | 3920 PAM | ER | | | 1 |
| 165 | RCA-E | 10/27/82 | 3924 | ER | | | 1 |
| 166 | IRAS | 01/26/83 | 3910 | WR | | | 1 |
| 167 | RCA-F | 04/11/83 | 3924 | ER | | | 1 |
| 168 | GOES-F | 04/28/83 | 3914 | ER | | | 1 |

9/10/96  &nbsp
