| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 77 | NATO-A | 03/20/70 | DSV-3L | ER | | | 0 |
| 78 | INTELSAT III-G | 04/22/70 | DSV-3L | ER | NA | 1 & 5 | 0 |
| 79 | INTELSAT III-H | 07/23/70 | DSV-3L | ER | | | 0 |
| 80 | IDCSP/A-B | 08/19/70 | DSV-3L | ER | | | 0 |
| 81 | ITOS-A | 12/11/70 | DSV-3L | WR | | | 0 |
| 82 | NATO-B | 02/03/71 | DSV-3L | ER | | | 0 |
| 83 | IMP-I | 03/13/71 | DSV-3L | ER | | | 0 |
| 84 | ISIS-B | 04/01/71 | DSV-3E | WR | | | 0 |
| 85 | OSO-H | 09/29/71 | DSV-3L | ER | NA | 2 & 5 | 0 |
| 86 | ITOS-B | 10/21/71 | DSV-3L | WR | 4 | 2 | 0 |
| 87 | HEOS-A2 | 01/31/72 | DSV-3L | WR | | | 0 |
| 88 | TD-1 | 03/11/72 | DSV-3L | WR | | | 0 |
| 89 | ERTS-A | 07/23/72 | 900 | WR | | | 0 |
| 90 | IMP-H | 09/22/72 | 1604 | ER | | | 0 |
| 91 | ITOS-D | 10/15/72 | 300 | WR | | | 0 |
| 92 | TELESAT-A | 11/10/72 | 1914 | ER | | | 0 |
| 93 | NIMBUS-E | 12/10/72 | 900 | WR | | | 0 |
| 94 | TELESAT-B | 04/20/73 | 1914 | ER | | | 0 |
| 95 | RAE-B | 06/10/73 | 1913 | ER | | | 0 |
| 96 | ITOS-E | 07/16/73 | 300 | WR | 4T | 2 | 0 |
| 97 | IMP-J | 10/26/73 | 1604 | ER | | | 0 |
| 98 | ITOS-F | 11/06/73 | 300 | WR | | | 0 |
| 99 | AE-C | 12/16/73 | 1900 | WR | | | 0 |
| 100 | SKYNET IIA | 01/19/74 | 2313 | ER | NA | 4 & 5 | 0 |
| 101 | WESTAR-A | 04/13/74 | 2914 | ER | NA | 1 | 1 |
| 102 | SMS-A | 05/17/74 | 2914 | ER | NA | 1 & 5 | 1 |
| 103 | WESTAR-B | 10/10/74 | 2914 | ER | | | 1 |
| 104 | ITOS-G | 11/15/74 | 2310 | WR | | | 0 |
| 105 | SKYNET-IIB | 11/22/74 | 2313 | ER | | | 0 |
| 106 | SYMPHONIE-A | 12/18/74 | 2914 | ER | | | 1 |
| 107 | ERTS-B | 01/22/75 | 2910 | WR | | | 1 |
| 108 | SMS-B | 02/06/75 | 2914 | ER | | | 1 |
| 109 | GEOS-C | 04/09/75 | 1410 | WR | | | 0 |
| 110 | TELESAT-C | 05/07/75 | 2914 | ER | | | 1 |
| 111 | NIMBUS-F | 06/12/75 | 2910 | WR | | | 1 |
| 112 | OSO-I | 06/21/75 | 1910 | ER | | | 0 |
| 113 | COS-B | 08/08/75 | 2913 | WR | | | 1 |
| 114 | SYMPHONIE-B | 08/26/75 | 2914 | ER | | | 1 |
| 115 | AE-D | 10/06/75 | 2910 | WR | | | 1 |
| 116 | GOES-A | 10/16/75 | 2914 | ER | | | 1 |
| 117 | AE-E | 11/19/75 | 2910 | ER | | | 1 |
| 118 | RCA-SATCOM-A | 12/12/75 | 3914 | ER | | | 1 |
| 119 | CTS | 01/17/76 | 2914 | ER | | | 1 |
| 120 | MARISAT-A | 02/19/76 | 2914 | ER | | | 1 |
| 121 | RCA-SATCOM-B | 03/26/76 | 3914 | ER | | | 1 |
| 122 | NATO-IIIA | 04/22/76 | 2914 | ER | | | 1 |

9/10/96  &nbsp
