| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 215 | AFSC | 05/20/72 | IIIB/AGENA D (24B-4) | WR | | | 1 |
| 216 | M2-10 | 05/24/72 | II (B-46) | WR | | | 0 |
| 217 | AFSC | 07/07/72 | IIID (23D-5) | WR | | | 1 |
| 218 | AFSC | 09/01/72 | IIIB/AGENA D (24B-5) | WR | | | 1 |
| 219 | AFSC | 10/10/72 | IIID (23D-3) | WR | | | 1 |
| 220 | M2-14 | 10/11/72 | II (B-78) | WR | | | 0 |
| 221 | AFSC | 12/21/72 | IIIB/AGENA D (24B-6) | WR | | | 1 |
| 222 | AFSC | 03/09/73 | IIID (23D-6) | WR | | | 1 |
| 223 | AFSC | 05/16/73 | IIIB/AGENA D (24B-7) | WR | | | 1 |
| 224 | SV-DSP | 06/12/73 | IIIC-24/Trans. | ER | | | 1 |
| 225 | AFSC | 06/26/73 | IIIB/AGENA D (24B-9) | WR | | | 1 |
| 226 | AFSC | 07/13/73 | IIID (23D-7) | WR | | | 1 |
| 227 | AFSC | 08/21/73 | IIIB/AGENA D (33B-3) | WR | | | 1 |
| 228 | AFSC | 09/27/73 | IIIB/AGENA D (24B-8) | WR | | | 1 |
| 229 | M2-27 | 10/05/73 | II | WR | | | 0 |
| 230 | AFSC | 11/10/73 | IIID (23D-8) | WR | | | 1 |
| 231 | SV-DSCS | 12/13/73 | IIC-26/Trans. | ER | | | 1 |
| 232 | SV-VIKING | 02/11/74 | IIE/CENT. D-1T (TC-1) | ER | 4 | 3 | 1 |
| 233 | AFSC | 02/13/74 | IIIB/AGENA D (24B-10) | WR | | | 1 |
| 234 | M2-31 | 03/01/74 | II | WR | | | 0 |
| 235 | AFSC | 04/10/74 | IIID (23D-9) | WR | | | 1 |
| 236 | SV-ATS-F | 05/30/74 | IIC-9/Trans. | ER | | | 1 |
| 237 | AFSC | 06/06/74 | IIIB/AGENA D (24B-11) | WR | | | 1 |
| 238 | AFSC | 08/14/74 | IIIB/AGENA D (24B-12) | WR | | | 1 |
| 239 | AFSC | 10/29/74 | IIID (23D-4) | WR | | | 1 |
| 240 | SV-HELIOS-A (TC-2) | 12/10/74 | IIE/CENT-1T (23E-2) | ER | | | 1 |
| 241 | SOFT-1 | 01/09/75 | II | WR | | | 0 |
| 242 | AFSC | 03/09/75 | IIIB/AGENA D (34B-1) | WR | | | 1 |
| 243 | AFSC | 04/18/75 | IIIB/AGENA D (24B-14) | WR | | | 1 |
| 244 | SV-DSCS | 05/20/75 | IIC-7/Trans. | ER | NA | 2.5 | 1 |
| 245 | AFSC | 06/08/75 | IIID (23D-10) | WR | | | 1 |
| 246 | DG-2 | 08/07/75 | II | WR | | | 0 |
| 247 | SV-Viking/Mars (TC-4) | 08/20/75 | IIE/CENT. D-1T (23E-4) | ER | | | 1 |
| 248 | SV-Viking/Mars (TC-3) | 09/09/75 | IIE/CENT. D-1T (23E-3) | ER | | | 1 |
| 249 | AFSC | 10/09/75 | IIIB/AGENA D (24B-10) | WR | | | 1 |
| 250 | AFSC | 12/04/75 | IIID (23D-13) | WR | | | 1 |
| 251 | DG-4 | 12/04/75 | II | WR | | | 0 |
| 252 | SV-DSP | 12/14/75 | IIC-29/Trans. | ER | NA | 5 | 1 |
| 253 | SV-HELIOS-B (TC-5) | 01/15/76 | IIE/CENT. D-1T (23E-5) | ER | | | 1 |
| 254 | SV-LES/SOLRAD | 03/14/76 | IIC-30/Trans. | ER | | | 1 |
| 255 | AFSC | 03/22/76 | IIIB/AGENA D (23B-18) | WR | | | 1 |
| 256 | AFSC | 06/02/76 | IIIB/AGENA D (34B-5) | WR | | | 1 |
| 257 | SV-DSP | 06/25/76 | IIC-28/Trans. | ER | | | 1 |
| 258 | ITF-1 | 06/27/76 | II | WR | | | 0 |
| 259 | AFSC | 07/08/76 | IIID (23D-14) | WR | | | 1 |
| 260 | AFSC | 08/06/76 | IIIB/AGENA D (34B-6) | WR | | | 1 |

9/10/96  &
