| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 216 | KNOCK WOOD | 07/29/64 | 248D | WR | | | 0 |
| 217 | LARGE CHARGE | 08/07/64 | 110F | WR | | | 0 |
| 218 | Big Sickle | 08/14/64 | 7101, SLV-3A/AGENA D | WR | | | 1 |
| 219 | GALLANT GAL | 08/27/64 | 57E | WR | 4 | 2 | 0 |
| 220 | BIG DEAL | 08/31/64 | 36F | WR | | | 0 |
| 221 | OGO-1 | 09/04/64 | 195D, LV-3A/AGENA B | ER | | | 0 |
| 222 | BUTTERFLY NET | 09/15/64 | 245D | WR | | | 0 |
| 223 | BUZZING BEE | 09/22/64 | 247D | WR | | | 0 |
| 224 | Slow Pace | 09/23/64 | 7102, SLV-3/AGENA D | WR | | | 1 |
| 225 | Busy Line | 10/08/64 | 7103, SLV-3/AGENA D | WR | | | 1 |
| 226 | Boon Decker | 10/23/64 | 353D, LV-3A/AGENA D | WR | | | 0 |
| 227 | MARINER 3 | 11/05/64 | 289D, LV-3A/AGENA D | ER | 4 | 4 | 0 |
| 228 | MARINER 4 | 11/28/64 | 288D, LV-3A/AGENA D | ER | | | 0 |
| 229 | BROOK TROUT | 12/01/64 | 210D | WR | | | 0 |
| 230 | OPERA GLASS | 12/04/64 | 300D | WR | | | 0 |
| 231 | Battle Royal | 12/04/64 | 7105, SLV-3/AGENA D | WR | | | 1 |
| 232 | AC-4 | 12/11/64 | 146D, LV-3C/CENTAUR D | ER | | | 0 |
| 233 | STEP OVER | 12/22/64 | 111F | WR | | | 0 |
| 234 | PILOT LIGHT | 01/08/65 | 106F | WR | | | 0 |
| 235 | PENCIL SET | 01/12/65 | 166D | WR | | | 0 |
| 236 | Beaver's Dam | 01/21/65 | 172D/ABRES | WR | 4 | 2 & 3 | 0 |
| 237 | Sand Lark | 01/23/65 | 7106, SLV-3/AGENA D | WR | | | 1 |
| 238 | RANGER 8 | 02/17/65 | 196D, LV-3A/AGENA B | ER | | | 0 |
| 239 | DRAG BAR | 02/27/65 | 211D | WR | | | 0 |
| 240 | PORK BARREL | 03/02/65 | 301D | WR | | | 0 |
| 241 | AC-5 | 03/02/65 | 156D, LV-3C/CENT. D | ER | 1 | 1 | 0 |
| 242 | Ship Rail | 03/12/65 | 7104, SLV-3/AGENA D | WR | | | 1 |
| 243 | ANGEL CAMP | 03/12/65 | 154D | WR | | | 0 |
| 244 | RANGER 9 | 03/21/65 | 204D, LV-3A/AGENA B | ER | | | 0 |
| 245 | FRESH FROG | 03/26/65 | 297D | WR | | | 0 |
| 246 | Air Pump | 04/03/65 | 7401, SLV-3/AGENA D | WR | | | 1 |
| 247 | FLIP SIDE | 04/06/65 | 150D | WR | | | 0 |
| 248 | Dwarf Tree | 04/28/65 | 7107, SLV-3/AGENA D | WR | | | 1 |
| 249 | PROJECT FIRE | 05/22/65 | 264D, LV-3A/AGENA D | ER | | | 0 |
| 250 | Bottom Land | 05/27/65 | 7108, SLV-3/AGENA D | WR | | | 1 |
| 251 | Tennis Match | 05/27/65 | 68D/ABRES | WR | 4 | 1 | 0 |
| 252 | OLD FOGEY | 06/03/65 | 177D | WR | | | 0 |
| 253 | LEA RING | 06/08/65 | 299D | WR | | | 0 |
| 254 | STOCK BOY | 06/10/65 | 302D | WR | | | 0 |
| 255 | Worn Face | 06/25/65 | 7109, SLV-3/AGENA D | WR | | | 1 |
| 256 | BLIND SPOT | 07/01/65 | 59D | WR | | | 0 |
| 257 | White Pine | 07/12/65 | 7112, SLV-3/AGENA D | WR | 4 & 5 | 2 & 3 | 1 |
| 258 | VELA 5 & 6 | 07/20/65 | 225D, LV-3A/AGENA D | ER | | | 0 |
| 259 | Water Tower | 08/03/65 | 7111, SLV-3/AGENA D | WR | | | 1 |
| 260 | PIANO WIRE | 08/04/65 | 183D | WR | | | 0 |
| 261 | SEA TRAMP | 08/05/65 | 147F | WR | | | 0 |

9/10/96                                                                                                                             108                                                                                                                             RTI
