Table 19. Sample Impact Distribution for Atlas IIAS with No Breakup

| Ang. | 15 | 35 | 55 | 75 | 95 | 115 | 135 | 155 | 175 | 195 | 215 | 235 | 255 | 275 | All | % |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 0 | 255 | 300 | 411 | 487 | 608 | 835 | 1107 | 1843 | 3333 | 4092 | 5386 | 7906 | 10000 | 10000 | 87746 | 32.50 |
| 5 | 279 | 314 | 388 | 465 | 575 | 808 | 1082 | 1762 | 3065 | 3827 | 4206 | 2094 | 0 | 0 | 38474 | 14.25 |
| 10 | 261 | 316 | 427 | 495 | 627 | 744 | 975 | 1652 | 2820 | 2081 | 408 | 0 | 0 | 0 | 21265 | 7.88 |
| 15 | 298 | 329 | 354 | 464 | 558 | 730 | 945 | 1445 | 782 | 0 | 0 | 0 | 0 | 0 | 12195 | 4.52 |
| 20 | 274 | 319 | 378 | 421 | 566 | 670 | 845 | 1292 | 0 | 0 | 0 | 0 | 0 | 0 | 8875 | 3.29 |
| 25 | 287 | 316 | 349 | 406 | 525 | 641 | 776 | 1203 | 0 | 0 | 0 | 0 | 0 | 0 | 8189 | 3.03 |
| 30 | 257 | 339 | 337 | 415 | 452 | 505 | 617 | 800 | 0 | 0 | 0 | 0 | 0 | 0 | 6893 | 2.55 |
| 35 | 299 | 336 | 381 | 368 | 405 | 506 | 550 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 5883 | 2.18 |
| 40 | 275 | 293 | 388 | 374 | 409 | 454 | 520 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5593 | 2.07 |
| 45 | 299 | 298 | 310 | 397 | 366 | 412 | 441 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5285 | 1.96 |
| 50 | 242 | 282 | 331 | 346 | 323 | 352 | 378 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4535 | 1.68 |
| 55 | 280 | 308 | 282 | 303 | 314 | 292 | 331 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4005 | 1.48 |
| 60 | 272 | 308 | 289 | 306 | 293 | 299 | 260 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3827 | 1.42 |
| 65 | 288 | 262 | 279 | 300 | 294 | 286 | 256 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3666 | 1.36 |
| 70 | 250 | 275 | 326 | 281 | 264 | 243 | 205 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3483 | 1.29 |
| 75 | 283 | 261 | 272 | 271 | 238 | 232 | 170 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3321 | 1.23 |
| 80 | 273 | 266 | 249 | 272 | 234 | 194 | 111 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3022 | 1.12 |
| 85 | 287 | 274 | 241 | 242 | 219 | 191 | 96 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2888 | 1.07 |
| 90 | 235 | 285 | 246 | 230 | 226 | 171 | 70 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2778 | 1.03 |
| 95 | 303 | 283 | 280 | 235 | 180 | 136 | 55 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2815 | 1.04 |
| 100 | 292 | 283 | 268 | 215 | 190 | 126 | 49 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2620 | 0.97 |
| 105 | 279 | 254 | 246 | 211 | 200 | 108 | 30 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2571 | 0.95 |
| 110 | 283 | 267 | 237 | 204 | 168 | 114 | 27 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2448 | 0.91 |
| 115 | 261 | 255 | 230 | 178 | 162 | 120 | 18 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2346 | 0.87 |
| 120 | 311 | 263 | 251 | 211 | 167 | 98 | 17 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2321 | 0.86 |
| 125 | 276 | 255 | 225 | 189 | 155 | 62 | 11 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2239 | 0.83 |
