Tape 90/9
Page 748

| Time | Speaker | Text |
| :--- | :--- | :--- |
| 05 20 08 23 | CC | Clipper, Houston. We'll give that data a good evaluation before we do anything with it. |
| 05 20 09 25 | LMP-LM | Houston, Intrepid. |
| 05 20 09 30 | CC | Intrepid, Houston. GO. |
| 05 20 09 34 | LMP-LM | Got sort of an interesting thing going on AGS right now. I didn't notice earlier, but it may just be because the lights are brighter now. I'm getting an all 8's flash on both the address and the information registers at about one-fifth the brilliance of the normal numbers. And a - It's pulsing every second. |
| 05 20 10 00 | CC | Roger, Al. |
| 05 20 10 06 | LMP-LM | If I turn down the illumination level just a little bit, it's not noticeable. |
| 05 20 10 52 | LMP-LM | Hello, Houston; Intrepid. You ready for my RCS hot fire? |
| 05 20 10 59 | CC | Intrepid, Houston. Roger. Fire away. |
| 05 20 11 03 | CDR-LM | Okay. |
| 05 20 11 32 | CC | Intrepid, Houston. |
| 05 20 11 37 | LMP-LM | Go. |
| 05 20 11 39 | CC | Roger, Al. Fredo is here. He and I have both seen that phenomena on your DEDA during testing of most all the spacecrafts up at Bethpage, and it's probably an EMI. |
| 05 20 11 56 | CDR-LM | That's what we've been talking about, but we thought we'd touch in on it. |
| 05 20 11 59 | LMP-LM | When you go to your roll rate, roll left, pitch up - - |
| 05 20 12 01 | CC | Roger. I think TRW's got a workup on this problem. |
| 05 20 12 08 | CDR-LM | Okay? |
| 05 20 12 11 | CDR-LM | Here you go, Houston, with roll, pitch, and yaw. |
| 05 20 12 14 | CC | Roger, Pete. |
