Tape 47/16

| Time | Speaker | Dialogue |
| :--- | :--- | :--- |
| 02 21 04 23 | CC | Roger, Jack. The Solomon Islands disturbance and everything is confirmed on this chart that I've got. It's very definitely confirmed in there. |
| | LMP | Okay. Well, it's a lot more obvious today than it was yesterday; but even then it was showing pretty strong circulation. It is starting to wrap up, look very much like Therese did yesterday. |
| | CC | Roger. I'm sure of that. The one right off of Vietnam is also pretty tight, isn't it still? |
| | LMP | Well, we can't see that one yet. |
| | CC | Okay. |
| | LMP | Australia in general is still very clear except in the northeastern portions where it looks like they have got scattered clouds; but it looks like a pretty night - over Australia. |
| | CC | Roger. Looks that way from the satellite photo from the last couple days. Looks pretty nice down there. |
| 02 21 05 34 | LMP | Right. |
| 02 21 07 05 | CC | Jack, in looking at the sequence reports for Hickam and Hilo and that area, it looks like they just got their standard 3500 scattered, 4500 broken clouds, maybe a rain shower or two. But just their standard tropical fluffy clouds. |

END OF TAPE
