| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 370. | 27 Jul 64 | GINGER FOOT | 5425 | LF-06 | MINUTEMAN A | OT | 32 | SAC | 103 |
| 371. | 29 Jul 64 | KNOCK WOOD | 5418 | 4300 A-3 | ATLAS D | NIKE TARGET | 49 | SAC | 104 |
| 372. | 30 Jul 64 | COBRA SKIN | 5342 | 395-D | TITAN II | DASO | 11 | SAC | 105 |
| 373. | 5 Aug 64 | LONG LOOP | 3042 | 75-3-4 | TAT/AGENA D | SPACE | 21 | AFSC | 197 |
| 374. | 7 Aug 64 | LARGE CHARGE | 5493 | 576-E | ATLAS F | DASO | 10 | SAC | 106 |
| 375. | 7 Aug 64 | GOLD REEF | 5528 | LF-03 | MINUTEMAN B | OT | 25 | SAC | 107 |
| 376. | 11 Aug 64 | DOUBLE TALLEY | 5427 | 395-C | TITAN II | DASO | 12 | SAC | 108 |
| 377. | 13 Aug 64 | GENTLE ANNIE | 5440 | 395-B | TITAN II | DASO | 13 | SAC | 109 |
| 378. | 14 Aug 64 | BIG SICKLE | 3802 | PALC-2-4 | ATLAS/AGENA D | SPACE | 10 | AFSC | 198 |
| 379. | 17 Aug 64 | LIMBER POLE | 5548 | LF-05 | MINUTEMAN A | OT | 33 | SAC | 110 |
| 380. | 21 Aug 64 | KILO KATE | 2739 | 75-1-2 | TAT/AGENA D | SPACE | 22 | AFSC | 199 |
| 381. | 21 Aug 64 | LIGHT HORSE | 5682 | LF-08 | MINUTEMAN B | OT | 26 | SAC | 111 |
| 382. | 25 Aug 64 | HURRY BABY | 3826 | PALC-D | SCOUT | SPACE | 13 | AFSC | 200 |
| 383. | 25 Aug 64 | IVY TOWER | 5563 | LF-07 | MINUTEMAN B | OT | 27 | SAC | 112 |
| 384. | 27 Aug 64 | GALLANT GAL | 5741 | 576-F | ATLAS E | ST | 13 | SAC | 113 |
| 385. | 28 Aug 64 | HULU MOON | 5478 | 75-1-1 | THOR/AGENA B | SPACE | 41 | AFSC | 201 |
| 386. | 29 Aug 64 | CANDY BAG | 1155 | PALC-A | SCOUT JR | SPACE PROBE | 10 | AFSC | 202 |
| 387. | 31 Aug 64 | BIG DEAL | 5773 | 576-D | ATLAS F | DASO | 11 | SAC | 114 |
| 388. | 1 Sep 64 | DAWN PATROL | 5476 | LF-04 | MINUTEMAN A | OT | 34 | SAC | 115 |
| 389. | 8 Sep 64 | LONG LINE | 5808 | LF-06 | MINUTEMAN A | OT | 35 | SAC | 116 |

PAGE 20
