| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 649. | 20 Dec 66 | SHELL BEACH | 2487 | LF-09 | MINUTEMAN B | FOT | 89 | SAC | 242 |
| 650. | 21 Dec 66 | BUSY PEACOCK | 5972 | SLC-3E | ATLAS/PRIME | SPACECRAFT | 1 | AFSC | 333 |
| 651. | 22 Dec 66 | WILD DUCK<br>[SALVO] | 2506 | LF-07 | MINUTEMAN B | FOT | 90 | SAC | 243 |
| 652. | 22 Dec 66 | STONE AXE | 2512 | LF-03 | MINUTEMAN B | FOT | 91 | SAC | 244 |
| 653. | 29 Dec 66 | FRONT ROW | 1584 | SLC-2W | TAT/AGENA D | SPACE | 56 | AFSC | 334 |
| 654. | 11 Jan 67 | BONUS BOY | 0016 | LF-08 | MINUTEMAN F | MOD/R&D | 15 | AFSC | 335 |
| 655. | 11 Jan 67 | TREE MOSS | 2403 | 4300 C | CASTOR/SCRAMJET | SPACE PROBE | 1 | AFSC | 336 |
| 656. | 14 Jan 67 | LONG ROAD | 1664 | SLC-3W | TAT/AGENA D | SPACE | 57 | AFSC | 337 |
| 657. | 17 Jan 67 | BUSY STEPSON | 8762 | ABRES A-2 | ATLAS F | ABRES | 17 | AFSC | 338 |
| 658. | 22 Jan 67 | BUSY NIECE | 7257 | ABRES B-2 | ATLAS D | ABRES | 86 | AFSC | 339 |
| 659. | 24 Jan 67 | TRUCK TRAVEL | 0412 | LF-09 | MINUTEMAN B | FOT | 92 | SAC | 245 |
| 660. | 26 Jan 67 | BUSY PENNY | 7690 | SLC-2E | THOR/DELTA | SPACE | 2 | NASA | 6 |
| 661. | 30 Jan 67 | BUCCANEER SWORD | 7119 | LF-03 | MINUTEMAN B | FOT | 93 | SAC | 246 |
| 662. | 31 Jan 67 | BUSY MASON | 5589 | SLC-5 | SCOUT | SPACE | 25 | AFSC | 340 |
| 663. | 2 Feb 67 | BUSY PARTY | 4399 | SLC-4E | ATLAS/AGENA D | SPACE | 40 | AFSC | 341 |
| 664. | 2 Feb 67 | SYCAMORE TREE | 3775 | LF-05 | MINUTEMAN F | ERCS/R&D | 16 | AFSC | 342 |
| 665. | 7 Feb 67 | PIANO TUNER | 8939 | LF-07 | MINUTEMAN B | FOT | 94 | SAC | 247 |
| 666. | 8 Feb 67 | ARROW POINT | 6073 | 4300 B-6 | THOR/BURNER II | SPACE | 2 | SAC | 248 |
| 667. | 8 Feb 67 | BUSY NEEDLE | 2202 | BOM-1 | BOMARC A | TARGET | 4 | NAVY | 23 |
| 668. | 13 Feb 67 | BUSY BOXER | 1084 | ABRES A-3 | ATLAS F | ABRES | 18 | AFSC | 343 |

PAGE 34
