| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1408. | 25 Jul 78 | GLORY TRIP 133M-1 | 0360 | LF-09 | MINUTEMAN F | OT PHASE II | 146 | SAC | 523 |
| 1409. | 4 Aug 78 | N/A | 7310 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 57 | AFSC | 672 |
| 1410. | 6 Sep 78 | GLORY TRIP 65GB | 7907 | LF-26 | MINUTEMAN G | OT PHASE II | 110 | SAC | 524 |
| 1411. | 6 Oct 78 | NAVSTAR III | 4610 | SLC-3E | ATLAS F | SPACE | 71 | AFSC | 673 |
| 1412. | 13 Oct 78 | TIROS-N | 0688 | SLC-3W | ATLAS F | SPACE | 72 | AFSC | 674 |
| 1413. | 24 Oct 78 | NIMBUS-G | 5744 | SLC-2W | THOR/DELTA | SPACE | 33 | NASA | 45 |
| 1414. | 16 Nov 78 | GLORY TRIP 130M-2 | 8310 | LF-07 | MINUTEMAN F | OT PHASE II | 147 | SAC | 525 |
| 1415. | 27 Nov 78 | ANT 3A | 8344 | LF-06 | MINUTEMAN B | ABRES | 231 | AFSC | 675 |
| 1416. | 5 Dec 78 | GLORY TRIP 38GM | 6065 | LF-09 | MINUTEMAN G | OT PHASE I | 111 | SAC | 526 |
| 1417. | 8 Dec 78 | STM-17W | 8462 | LF-21 | MINUTEMAN G | STM/R&D | 112 | AFSC | 676 |
| 1418. | 10 Dec 78 | NAVSTAR IV | 0730 | SLC-3E | ATLAS F | SPACE | 73 | AFSC | 677 |
| 1419. | 19 Jan 79 | STREP-1 | 6278 | LF-06 | MINUTEMAN B | ABRES | 232 | AFSC | 678 |
| 1420. | 24 Jan 79 | ABRV-1 | 6595 | LF-03 | MINUTEMAN B | ABRES | 233 | AFSC | 679 |
| 1421. | 30 Jan 79 | GLORY TRIP 66GM | 8292 | LF-08 | MINUTEMAN G | OT PHASE II | 113 | SAC | 527 |
| 1422. | 6 Feb 79 | GLORY TRIP 67GB | 1205 | LF-26 | MINUTEMAN G | OT PHASE II | 114 | SAC | 528 |
| 1423. | 15 Feb 79 | PVM 16 | 7535 | LF-21 | MINUTEMAN G | PVM/R&D | 115 | AFSC | 680 |
| 1424. | 24 Feb 79 | STP-78-1 | 2265 | SLC-3W | ATLAS F | SPACE | 74 | AFSC | 681 |
| 1425. | 27 Feb 79 | N/A | 2010 | BOM-1 | BOMARC B | TARGET | 26 | NAVY | 102 |
| 1426. | 16 Mar 79 | N/A | 3854 | SLC-4E | TITAN IIID | SPACE | 17 | AFSC | 682 |
| 1427. | 23 Mar 79 | GLORY TRIP 137M | 5865 | LF-07 | MINUTEMAN F | OT PHASE II | 148 | SAC | 529 |

PAGE 72
