| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 210. | 15 Mar 63 | TALL TREE 1 | 0479 | 576 B-1 | ATLAS D | OT | 37 | SAC | 32 |
| 211. | 15 Mar 63 | TALL TREE 5 | 0541 | 576-D | ATLAS F | OT | 4 | SAC | 33 |
| 212. | 16 Mar 63 | LEADING EDGE | 0648 | 576 A-1 | ATLAS D | NIKE TARGET | 38 | SAC | 34 |
| 213. | 18 Mar 63 | CAMP OUT | 0627 | 75-3-4 | TAT/AGENA D | SPACE | 2 | AFSC | 117 |
| 214. | 21 Mar 63 | KENDALL GREEN | 0931 | OSTF-2 | ATLAS F | R&D | 5 | AFSC | 118 |
| 215. | 23 Mar 63 | TALL TREE 4 | 0529 | 576-E | ATLAS F | OT | 6 | SAC | 35 |
| 216. | 30 Mar 63 | YOUNG BLOOD | 0774 | 395 A-2 | TITAN I | NIKE TARGET | 9 | SAC | 36 |
| 217. | 1 Apr 63 | NICKEL STEEL | 0720 | 75-3-5 | THOR/AGENA D | SPACE | 11 | AFSC | 119 |
| 218. | 4 Apr 63 | HALF MOON | 0693 | 395 A-1 | TITAN I | R&D | 10 | AFSC | 120 |
| 219. | 5 Apr 63 | BLUE SCOUT VI | 0804 | PALC-D | SCOUT | SPACE | 6 | AFSC | 121 |
| 220. | 11 Apr 63 | AFGAN RUG | 0216 | 394 A-5 | MINUTEMAN A | R&D | 3 | AFSC | 122 |
| 221. | 12 Apr 63 | VELVET TOUCH | 0968 | 394 A-1 | MINUTEMAN A | R&D | 4 | AFSC | 123 |
| 222. | 13 Apr 63 | RAMP ROOSTER | 1100 | 395 A-3 | TITAN I | NIKE TARGET | 11 | SAC | 37 |
| 223. | 23 Apr 63 | PAT HAND | 1069 | 394 A-4 | MINUTEMAN A | R&D | 5 | AFSC | 124 |
| 224. | 24 Apr 63 | BLACK BUCK | 0410 | OSTF-1 | ATLAS E | R&D | 5 | AFSC | 125 |
| 225. | 26 Apr 63 | BLUE SCOUT VII | 1298 | PALC-D | SCOUT | SPACE | 7 | AFSC | 126 |
| 226. | 26 Apr 63 | FALL HARVEST | 1008 | 75-1-1 | THOR/AGENA D | SPACE | 12 | AFSC | 127 |
| 227. | 27 Apr 63 | DINNER PARTY | 1040 | 395-C | TITAN II | R&D | 2 | AFSC | 128 |
| 228. | 30 Apr 63 | BOLD JOURNEY | 0911 | 394 A-2 | MINUTEMAN A | R&D | 6 | AFSC | 129 |
| 229. | 1 May 63 | MARES TAIL | 1061 | 395 A-1 | TITAN I | R&D | 12 | AFSC | 130 |

PAGE 12
