| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1487. | 3 Sep 81 | N/A | 0714 | SLC-4E | TITAN IIID | SPACE | 20 | AFSC | 712 |
| 1488. | 12 Sep 81 | MARK 500-PAS-2 | 4654 | LF-06 | MINUTEMAN B | ABRES | 246 | AFSC | 713 |
| 1489. | 4 Oct 81 | AMARV-3 | 9240 | LF-03 | MINUTEMAN B | ABRES | 247 | AFSC | 714 |
| 1490. | 6 Oct 81 | SM EXPLORER | 6155 | SLC-2W | DELTA | SPACE | 2 | NASA | 49 |
| 1491. | 24 Nov 81 | GLORY TRIP 84GM-1 | 7037 | LF-09 | MINUTEMAN G | OT PHASE II | 138 | SAC | 553 |
| 1492. | 9 Dec 81 | GLORY TRIP 85GB | 6857 | LF-26 | MINUTEMAN G | OT PHASE II | 139 | SAC | 554 |
| 1493. | 18 Dec 81 | NAVSTAR VII | 6627 | SLC-3E | ATLAS E | SPACE | 18 | AFSC | 715 |
| 1494. | 21 Jan 82 | N/A | 3605 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 62 | AFSC | 716 |
| 1495. | 29 Jan 82 | GLORY TRIP 86GM | 7190 | LF-08 | MINUTEMAN G | OT PHASE II | 140 | SAC | 555 |
| 1496. | 18 Mar 82 | GLORY TRIP 141MS | 8583 | LF-04 | MINUTEMAN F | OT PHASE II | 153 | SAC | 556 |
| 1497. | 31 Mar 82 | GLORY TRIP 87GB | 9110 | LF-26 | MINUTEMAN G | OT PHASE II | 141 | SAC | 557 |
| 1498. | 11 May 82 | N/A | 4367 | SLC-4E | TITAN IIID | SPACE | 21 | AFSC | 717 |
| 1499. | 22 Jun 82 | GLORY TRIP 88GM | 6358 | LF-08 | MINUTEMAN G | OT PHASE II | 142 | SAC | 558 |
| 1500. | 14 Jul 82 | N/A | 1645 | BOM-2 | BOMARC B | TARGET | 30 | NAVY | 106 |
| 1501. | 14 Jul 82 | N/A | 7232 | BOM-1 | BOMARC B | TARGET | 31 | NAVY | 107 |
| 1502. | 16 Jul 82 | LANDSAT D (5) | 8648 | SLC-2W | DELTA | SPACE | 3 | NASA | 50 |
| 1503. | 19 Jul 82 | GLORY TRIP 142M | 3918 | LF-04 | MINUTEMAN F | OT PHASE II | 154 | SAC | 559 |
| 1504. | 4 Aug 82 | GLORY TRIP 89GM | 8380 | LF-09 | MINUTEMAN G | OT PHASE II | 143 | SAC | 560 |
| 1505. | 24 Sep 82 | GLORY TRIP 90GB | 2240 | LF-26 | MINUTEMAN G | OT PHASE II | 144 | SAC | 561 |
| 1506. | 8 Oct 82 | STREP-21 | 5393 | LF-03 | MINUTEMAN B | RSLP | 248 | AFSC | 718 |

PAGE 76
