| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1627. | 27 Oct 88 | GLORY TRIP 130GM | 6007 | LF-10 | MINUTEMAN G | OT PHASE II | 185 | SAC | 607 |
| 1628. | 6 Nov 88 | N/A | 1305 | SLC-4E | TITAN 34D | SPACE | 7 | AFSC | 782 |
| 1629. | 25 Jan 89 | GLORY TRIP 131GB | 3491 | LF-26 | MINUTEMAN G | OT PHASE II | 186 | SAC | 608 |
| 1630. | 22 Feb 89 | GLORY TRIP 132GM | 5535 | LF-04 | MINUTEMAN G | OT PHASE II | 187 | SAC | 609 |
| 1631. | 7 Mar 89 | GLORY TRIP 133GM | 6490 | LF-10 | MINUTEMAN G | OT PHASE II | 188 | SAC | 610 |
| 1632. | 19 Mar 89 | FTM-18 | 8007 | LF-08 | PEACEKEEPER | OT&E | 18 | AFSC | 783 |
| 1633. | 11 May 89 | FTM-1 | 2594 | TP-01 | SMALL ICBM | DT&E | 1 | AFSC | 784 |
| 1634. | 6 Jul 89 | GLORY TRIP 129GB-2 | 9566 | LF-26 | MINUTEMAN G | OT PHASE II | 189 | SAC | 611 |
| 1635. | 11 Jul 89 | GLORY TRIP 134GM | 8238 | LF-09 | MINUTEMAN G | OT PHASE II | 190 | SAC | 612 |
| 1636. | 5 Sep 89 | N/A | 0979 | SLC-4W | TITAN II SLV | SPACE | 2 | AFSC | 785 |
| 1637. | 14 Sep 89 | GLORY TRIP 01PA | 0955 | LF-02 | PEACEKEEPER | PHASE I | 19 | SAC | 613 |
| 1638. | 26 Sep 89 | GLORY TRIP 135GB | 8154 | LF-26 | MINUTEMAN G | OT PHASE II | 191 | SAC | 614 |
| 1639. | 5 Oct 89 | SET-1/SMLV | 9892 | BMRS A-3 | AMROC/IRR | SPACE | 1 | AMROC | 1 |
| 1640. | 6 Nov 89 | GLORY TRIP 136GM | 1690 | LF-10 | MINUTEMAN G | OT PHASE II | 192 | SAC | 615 |
| 1641. | 18 Nov 89 | COBE | 0704 | SLC-2W | DELTA | SPACE | 7 | NASA | 62 |
| 1642. | 6 Feb 90 | GLORY TRIP 137GB | 3398 | LF-26 | MINUTEMAN G | OT PHASE II | 193 | SAC | 616 |
| 1643. | 14 Feb 90 | MaST | 6516 | LF-03 | MINUTEMAN B | RSLP | 261 | AFSC | 786 |
| 1644. | 8 Mar 90 | GLORY TRIP 02PA | 3370 | LF-05 | PEACEKEEPER | PHASE I | 20 | SAC | 617 |
| 1645. | 21 Mar 90 | GLORY TRIP 139GM | 0041 | LF-09 | MINUTEMAN G | OT PHASE II | 194 | SAC | 618 |
| 1646. | 24 Mar 90 | GLORY TRIP 138GM | 9783 | LF-04 | MINUTEMAN G | OT PHASE II | 195 | SAC | 619 |

PAGE 83
