| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 550. | 8 Mar 66 | BAIT CAN | 1381 | LF-02 | MINUTEMAN B | FOT | 64 | SAC | 197 |
| 551. | 9 Mar 66 | EASY CHAIR | 3488 | 75-3-4 | TAT/AGENA D | SPACE | 48 | AFSC | 283 |
| 552. | 11 Mar 66 | CLEAN SLATE | 2004 | LF-03 | MINUTEMAN B | FOT | 65 | SAC | 198 |
| 553. | 17 Mar 66 | FAINT CLICK | 2551 | LF-08 | MINUTEMAN F | MOD/R&D | 8 | AFSC | 284 |
| 554. | 18 Mar 66 | DUMB DORA | 0879 | PALC-2-4 | ATLAS/AGENA D | SPACE | 27 | AFSC | 285 |
| 555. | 19 Mar 66 | WHITE BEAR | 0500 | ABRES A-1 | ATLAS D | ABRES | 76 | AFSC | 286 |
| 556. | 19 Mar 66 | SAGE HEN | 7132 | PALC-A | NIKE/JAVELIN | SPACE PROBE | 1 | AFSC | 287 |
| 557. | 21 Mar 66 | TULIP TREE | 0294 | LF-06 | MINUTEMAN A | FOT | 43 | SAC | 199 |
| 558. | 25 Mar 66 | CLOSE TOUCH | 1851 | 395-C | TITAN II | OT | 32 | SAC | 200 |
| 559. | 25 Mar 66 | LEAD PENCIL | 7192 | PALC-A | NIKE/JAVELIN | SPACE PROBE | 2 | AFSC | 288 |
| 560. | 25 Mar 66 | WHITE BOOK | 0323 | LF-04 | MINUTEMAN A | FOT | 44 | SAC | 201 |
| 561. | 25 Mar 66 | BEST GIRL | 1117 | PALC-D | SCOUT | SPACE | 19 | AFSC | 289 |
| 562. | 30 Mar 66 | BRONZE BELL | 7560 | ABRES B-3 | ATLAS D | SPACE | 77 | AFSC | 290 |
| 563. | 30 Mar 66 | RESORT HOTEL | 0340 | 4300 B-6 | THOR/ALTAIR | SPACE | 6 | SAC | 202 |
| 564. | 4 Apr 66 | ARROW FEATHER | 1744 | LF-09 | MINUTEMAN B | FOT | 66 | SAC | 203 |
| 565. | 4 Apr 66 | FLY BURNER | 2607 | LF-02 | MINUTEMAN B | FOT | 67 | SAC | 204 |
| 566. | 5 Apr 66 | GOLD RING | 8020 | 395-D | TITAN II | OT | 33 | SAC | 205 |
| 567. | 7 Apr 66 | GAPING WOUND | 1612 | PALC-1-1 | TAT/AGENA D | SPACE | 49 | AFSC | 291 |
| 568. | 15 Apr 66 | GAY CROWD | 2617 | LF-07 | MINUTEMAN B | FOT | 68 | SAC | 206 |
| 569. | 19 Apr 66 | SHALLOW STREAM | 0910 | PALC-2-4 | ATLAS/AGENA D | SPACE | 28 | AFSC | 292 |

PAGE 29
