| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1128. | 24 May 72 | M2-10 | 6639 | 395-C | TITAN II | SOT/SAFEGUARD | 51 | SAC | 434 |
| 1129. | 25 May 72 | N/A | 6371 | SLC-3W | THORAD/AGENA D | SPACE | 43 | AFSC | 546 |
| 1130. | 31 May 72 | PVM-1 | 5477 | LF-21 | MINUTEMAN G | PVM/R&D | 36 | AFSC | 547 |
| 1131. | 6 Jun 72 | GLORY TRIP 15GM | 1560 | LF-04 | MINUTEMAN G | OT PHASE I | 37 | SAC | 435 |
| 1132. | 11 Jun 72 | GLORY TRIP 14GM | 5228 | LF-02 | MINUTEMAN G | OT PHASE I | 38 | SAC | 436 |
| 1133. | 13 Jun 72 | GIANT PATRIOT I | 4409 | LF-07 | MINUTEMAN F | OBLSS/R&D | 111 | AFSC | 548 |
| 1134. | 17 Jun 72 | STM-5W | 3519 | LF-08 | MINUTEMAN G | STM/R&D | 39 | AFSC | 549 |
| 1135. | 20 Jun 72 | GLORY TRIP 107M | 5387 | LF-05 | MINUTEMAN F | OT PHASE II | 112 | SAC | 437 |
| 1136. | 20 Jun 72 | CHASER | 2679 | PALC-C | NIKE/AEROBEE | PROBE | 3 | AFSC | 550 |
| 1137. | 7 Jul 72 | N/A | 7293 | SLC-4E | TITAN IIID | SPACE | 3 | AFSC | 551 |
| 1138. | 15 Jul 72 | M2-15 | 7672 | LF-06 | MINUTEMAN B | SAFEGUARD | 193 | AFSC | 552 |
| 1139. | 23 Jul 72 | N/A | 8050 | SLC-2W | THOR/DELTA | SPACE | 18 | NASA | 22 |
| 1140. | 25 Jul 72 | GIANT PATRIOT II | 1611 | LF-07 | MINUTEMAN F | OBLSS/R&D | 113 | AFSC | 553 |
| 1141. | 7 Jul 72 | N/A | 7270 | BOM-1 | BOMARC A | TARGET | 50 | NAVY | 69 |
| 1142. | 27 Jul 72 | N/A | 1824 | BOM-2 | BOMARC A | TARGET | 51 | NAVY | 70 |
| 1143. | 2 Aug 72 | STM-7W | 7243 | LF-21 | MINUTEMAN G | STM/R&D | 40 | AFSC | 554 |
| 1144. | 1 Sep 72 | N/A | 8888 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 38 | AFSC | 555 |
| 1145. | 2 Sep 72 | N/A | 0349 | SLC-5 | SCOUT | SPACE | 40 | AFSC | 556 |
| 1146. | 19 Sep 72 | GLORY TRIP 16GB | 7798 | LF-22 | MINUTEMAN G | OT PHASE I | 41 | SAC | 438 |
| 1147. | 25 Sep 72 | GLORY TRIP 108M | 5096 | LF-05 | MINUTEMAN F | OT PHASE II | 114 | SAC | 439 |

PAGE 58 .
