| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1148. | 2 Oct 72 | N/A | 8180 | BMRS A-1 | ATLAS/BURNER II | SPACE | 2 | AFSC | 557 |
| 1149. | 3 Oct 72 | GLORY TRIP 109M | 8519 | LF-04 | MINUTEMAN F | OT PHASE II | 115 | SAC | 440 |
| 1150. | 10 Oct 72 | N/A | 8314 | SLC-4E | TITAN IIID | SPACE | 4 | AFSC | 558 |
| 1151. | 11 Oct 72 | M2-14 | 4006 | 395-C | TITAN II | SOT/SAFEGUARD | 52 | SAC | 441 |
| 1152. | 11 Oct 72 | CHASER | 5240 | PALC-C | NIKE/AEROBEE | PROBE | 4 | AFSC | 559 |
| 1153. | 15 Oct 72 | N/A | 2056 | SLC-2W | THOR/DELTA | SPACE | 19 | NASA | 23 |
| 1154. | 16 Oct 72 | GLORY TRIP 17GB | 6618 | LF-25 | MINUTEMAN G | OT PHASE I | 42 | SAC | 442 |
| 1155. | 20 Oct 72 | GLORY TRIP 110M | 7426 | LF-02 | MINUTEMAN F | OT PHASE II | 116 | SAC | 443 |
| 1156. | 27 Oct 72 | HK-1 | 5190 | LF-06 | MINUTEMAN B | ASTP | 194 | AFSC | 560 |
| 1157. | 8 Nov 72 | N/A | 7323 | SLC-10W | THOR/BURNER IIA | SPACE | 3 | ADC | 13 |
| 1158. | 21 Nov 72 | N/A | 3657 | SLC-5 | SCOUT | SPACE | 41 | NASA | 24 |
| 1159. | 24 Nov 72 | GLORY TRIP 18GB | 6667 | LF-22 | MINUTEMAN G | OT PHASE I | 43 | SAC | 444 |
| 1160. | 29 Nov 72 | N/A | 4994 | BOM-1 | BOMARC A | TARGET | 52 | NAVY | 71 |
| 1161. | 1 Dec 72 | N/A | 6547 | BOM-2 | BOMARC A | TARGET | 53 | NAVY | 72 |
| 1162. | 4 Dec 72 | GLORY TRIP 41GM | 8021 | LF-02 | MINUTEMAN G | OT PHASE II | 44 | SAC | 445 |
| 1163. | 8 Dec 72 | M2-21 | 3965 | LF-06 | MINUTEMAN B | SAFEGUARD | 195 | AFSC | 561 |
| 1164. | 10 Dec 72 | N/A | 6648 | SLC-2W | THOR/DELTA | SPACE | 20 | NASA | 25 |
| 1165. | 12 Dec 72 | GLORY TRIP 19GB | 8633 | LF-25 | MINUTEMAN G | OT PHASE I | 45 | SAC | 446 |
| 1166. | 12 Dec 72 | GLORY TRIP 20GB | 4103 | LF-26 | MINUTEMAN G | OT PHASE I | 46 | SAC | 447 |
| 1167. | 16 Dec 72 | N/A | 8347 | SLC-5 | SCOUT | SPACE | 42 | NASA | 26 |

PAGE 59
