| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1723. | 8 May 96 | GLORY TRIP 20PA | 5783 | LF-05 | PEACEKEEPER | OT PHASE II | 38 | AFSPC | 26 |
| 1724. | 12 May 96 | K-22 | 7788 | SLC-4E | TITAN IV | SPACE | 6 | AFSPC | 27 |
| 1725. | 16 May 96 | MSTI-3 | 4387 | Air Lift | PEGASUS | SPACE | 4 | OSC | 5 |
| 1726. | 30 May 96 | GLORY TRIP 21PA | 7210 | LF-02 | PEACEKEEPER | OT PHASE II | 39 | AFSPC | 28 |
| 1727. | 26 Jun 96* | GLORY TRIP 162GM | 4288 | LF-10 | MINUTEMAN G | OT PHASE II | 217 | AFSPC | 29 |
| 1728. | | GLORY TRIP 160GM | 1464 | LF-04 | MINUTEMAN G | OT PHASE II | 218 | AFSPC | 30 |
| 1729. | 2 Jul 96 | TOMS-EP | 4672 | Air Lift | PEGASUS XL | SPACE | 5 | OSC | 6 |
| 1730. | 21 Aug 96 | FAST | 8894 | Air Lift | PEGASUS XL | SPACE | 6 | OSC | 7 |
| 1731. | 11 Sep 96 | GLORY TRIP 22PA | 9115 | LF-05 | PEACEKEEPER | OT PHASE II | 40 | AFSPC | 31 |
| 1732. | 27 Sep 96 | ITF (DEMO FLIGHT) | 6399 | LF-03 | MINUTEMAN F | MSLS | 162 | AFMC | 7 |
| 1733. | 6 Nov 96 | GLORY TRIP 23PA | 0207 | LF-02 | PEACEKEEPER | OT PHASE II | 41 | AFSPC | 32 |
| 1734. | 20 Dec 96 | K-13 | 6777 | SLC-4E | TITAN IV | SPACE | 7 | AFSPC | 33 |
| 1735. | 16 Jan 97 | ITF-1 | 6742 | LL-03 | MINUTEMAN F | MSLS | 163 | AFMC | 8 |
| 1736. | 30 Jan 97 | GLORY TRIP 163GB | 1360 | LF-26 | MINUTEMAN G | OT PHASE II | 219 | AFSPC | 34 |
| 1737. | 3 Apr 97 | DMSP (S-14) | 0252 | SLC-4W | TITAN II SLV | SPACE | 6 | AFSPC | 35 |
| 1738. | 5 May 97 | IRIDIUM (MS-1A) | 7304 | SLC-2W | DELTA II | SPACE | 4 | MDA | 1 |
| 1739. | 8 May 97 | GLORY TRIP 24PA | 1193 | LF-05 | PEACEKEEPER | OT PHASE II | 42 | AFSPC | 36 |
| 1740. | 21 May 97 | GLORY TRIP 164GM | 6066 | LF-04 | MINUTEMAN G | OT PHASE II | 220 | AFSPC | 37 |
| 1741. | 18 Jun 97 | GLORY TRIP 165GM | 7640 | LF-10 | MINUTEMAN G | OT PHASE II | 221 | AFSPC | 38 |

*The first vehicle was launched at 0517 local time, followed by the second mission at 0759.

PAGE 88
