| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1208. | 2 Nov 73 | M2-38 | 5144 | LF-06 | MINUTEMAN B | SAFEGUARD | 204 | AFSC | 582 |
| 1209. | 6 Nov 73 | N/A | 1039 | SLC-2W | THOR/DELTA | SPACE | 22 | NASA | 28 |
| 1210. | 10 Nov 73 | N/A | 6630 | SLC-4E | TITAN IIID | SPACE | 7 | AFSC | 583 |
| 1211. | 22 Nov 73 | GLORY TRIP 42GM-1 | 8291 | LF-04 | MINUTEMAN G | OT PHASE II | 55 | SAC | 461 |
| 1212. | 29 Nov 73 | M2-25 | 6678 | LF-06 | MINUTEMAN B | SAFEGUARD | 205 | AFSC | 584 |
| 1213. | 11 Dec 73 | N/A | 8646 | LF-03 | MINUTEMAN B | ASTP/R&D | 206 | AFSC | 585 |
| 1214. | 14 Dec 73 | M2-20A | 4570 | LF-06 | MINUTEMAN B | SAFEGUARD | 207 | AFSC | 586 |
| 1215. | 15 Dec 73 | N/A | 8030 | SLC-2W | THOR/DELTA | SPACE | 23 | NASA | 29 |
| 1216. | 17 Dec 73 | N/A | 8565 | BOM-1 | BOMARC B | TARGET/R&D | 2 | NAVY | 78 |
| 1217. | 22 Dec 73 | STM-8W | 3686 | LF-08 | MINUTEMAN G | STM/R&D | 56 | AFSC | 587 |
| 1218. | 22 Jan 74 | M2-28 | 8550 | LF-06 | MINUTEMAN B | SAFEGUARD | 208 | AFSC | 588 |
| 1219. | 6 Jan 74 | GLORY TRIP 24GB-1 | 3387 | LF-25 | MINUTEMAN G | OT PHASE I | 57 | SAC | 462 |
| 1220. | 13 Feb 74 | N/A | 6889 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 44 | AFSC | 589 |
| 1221. | 1 Mar 74 | M2-31 | 7443 | 395-C | TITAN II | SOT/SAFEGUARD | 54 | SAC | 463 |
| 1222. | 6 Mar 74 | SFT-1 | 8594 | BMRS A-1 | ATLAS F | TRIDENT/SFT | 58 | AFSC | 590 |
| 1223. | 8 Mar 74 | N/A | 8557 | SLC-5 | SCOUT | SPACE | 44 | NASA | 30 |
| 1224. | 12 Mar 74 | GIANT MOON 5 | 6797 | LF-05 | MINUTEMAN F | ERCS/OT | 124 | SAC | 464 |
| 1225. | 16 Mar 74 | N/A | 8579 | SLC-10W | THOR/BURNER IIA | SPACE | 5 | ADC | 15 |
| 1226. | 20 Mar 74 | N/A | 6407 | BOM-1 | BOMARC B | TARGET/R&D | 3 | NAVY | 79 |
| 1227. | 23 Mar 74 | ACE | 6561 | BMRS A-3 | ATLAS F | ABRES | 59 | AFSC | 591 |

PAGE 62
