| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1667. | 17 Sep 91 | GLORY TRIP 07PA | 6738 | LF-02 | PEACEKEEPER | OT PHASE I | 25 | SAC | 630 |
| 1668. | 7 Nov 91 | N/A | 8047 | SLC-4E | TITAN IV | SPACE | 2 | AFSC | 793 |
| 1669. | 11 Nov 91 | GLORY TRIP 146GM | 6694 | LF-09 | MINUTEMAN G | OT PHASE II | 202 | SAC | 631 |
| 1670. | 28 Nov 91 | DMSP (F-11) | 4199 | SLC-3W | ATLAS E | SPACE | 35 | AFSPC | 3 |
| 1671. | 4 Mar 92 | GLORY TRIP 08PA | 1864 | LF-05 | PEACEKEEPER | OT PHASE I | 26 | SAC | 632 |
| 1672. | 13 Mar 92 | GBI-2B | 4898 | LF-03 | MINUTEMAN B | RSLP | 265 | AFSC | 794 |
| 1673. | 25 Apr 92 | N/A | 9062 | SLC-4W | TITAN II SLV | SPACE | 3 | AFSC | 795 |
| 1674. | 5 May 92 | GLORY TRIP 147GM-1 | 5975 | LF-10 | MINUTEMAN G | OT PHASE II | 203 | SAC | 633 |
| 1675. | 2 Jun 92 | GLORY TRIP 148GB | 8204 | LF-26 | MINUTEMAN G | OT PHASE II | 204 | ACC | 1 |
| 1676. | 30 Jun 92 | GLORY TRIP 09PA | 4989 | LF-02 | PEACEKEEPER | OT PHASE I | 27 | ACC | 2 |
| 1677. | 3 Jul 92 | SAMPEX | 7339 | SLC-5 | SCOUT | SPACE | 66 | NASA | 65 |
| 1678. | 15 Sep 92 | GLORY TRIP 10PA | 5805 | LF-05 | PEACEKEEPER | OT PHASE I | 28 | ACC | 3 |
| 1679. | 28 Sep 92 | GLORY TRIP 149GB | 0818 | LF-26 | MINUTEMAN G | OT PHASE II | 205 | ACC | 4 |
| 1680. | 24 Oct 92 | AST - DT 2 | 8398 | LF-03 | MINUTEMAN B | RSLP | 266 | AFMC | 1 |
| 1681. | 3 Nov 92 | GLORY TRIP 150GM | 3178 | LF-04 | MINUTEMAN G | OT PHASE II | 206 | ACC | 5 |
| 1682. | 21 Nov 92 | MSTI-1 | 7893 | SLC-5 | SCOUT | SPACE | 67 | NASA | 66 |
| 1683. | 28 Nov 92 | N/A | 4119 | SLC-4E | TITAN IV | SPACE | 3 | AFMC | 2 |
| 1684. | 4 Mar 93 | GLORY TRIP 11PA | 4648 | LF-02 | PEACEKEEPER | OT PHASE II | 29 | ACC | 6 |
| 1685. | 9 Mar 93 | GLORY TRIP 151GB | 6020 | LF-26 | MINUTEMAN G | OT PHASE II | 207 | ACC | 7 |
| 1686. | 15 Jun 93 | TDT-1 | 3393 | LF-03 | MINUTEMAN B | RSLP | 267 | AFMC | 3 |

PAGE 85
