| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 350. | 25 May 64 | DEER HORN | 4808 | LF-07 | MINUTEMAN B | OT | 19 | SAC | 93 |
| 351. | 3 Jun 64 | ARROW PLANT | 4412 | PALC-D | SCOUT | SPACE | 11 | AFSC | 187 |
| 352. | 4 Jun 64 | KICK BALL | 3483 | PALC-1-1 | TAT/AGENA D | SPACE | 16 | AFSC | 188 |
| 353. | 9 Jun 64 | GOLD CLUB | 4815 | LF-05 | MINUTEMAN A | OT | 28 | SAC | 94 |
| 354. | 11 Jun 64 | HIGH OCTANE | 4905 | LF-06 | MINUTEMAN A | OT | 29 | SAC | 95 |
| 355. | 13 Jun 64 | BEAGLE HOUND | 3236 | 75-1-2 | TAT/AGENA D | SPACE | 17 | AFSC | 189 |
| 356. | 15 Jun 64 | CRUSH PROOF | 4867 | LF-02 | MINUTEMAN B | OT | 20 | SAC | 96 |
| 357. | 17 Jun 64 | INDIO IKE | 4467 | 75-3-4 | THOR/AGENA D | SPACE | 19 | AFSC | 190 |
| 358. | 18 Jun 64 | IRON LUNG | 4839 | 4300 A-1 | ATLAS D | ABRES | 48 | SAC | 97 |
| 359. | 19 Jun 64 | GREEN DOOR | 3754 | 75-1-1 | TAT/AGENA D | SPACE | 18 | AFSC | 191 |
| 360. | 25 Jun 64 | CHERRY PIE | 4926 | PALC-D | SCOUT | SPACE | 12 | AFSC | 192 |
| 361. | 29 Jun 64 | ELM BRANCH | 4437 | LF-04 | MINUTEMAN A | OT | 30 | SAC | 98 |
| 362. | 29 Jun 64 | BLACK PEPPER | 5169 | LF-09 | MINUTEMAN B | R&D | 21 | AFSC | 193 |
| 363. | 2 Jul 64 | FIRING ORDER | 3395 | 75-3-5 | TAT/AGENA D | SPACE | 19 | AFSC | 194 |
| 364. | 6 Jul 64 | QUARTER ROUND | 3684 | PALC-2-3 | ATLAS/AGENA D | SPACE | 9 | AFSC | 195 |
| 365. | 7 Jul 64 | NORMAL TIMES | 5306 | LF-05 | MINUTEMAN A | OT | 31 | SAC | 99 |
| 366. | 7 Jul 64 | FIVE POINTS | 5319 | LF-02 | MINUTEMAN B | OT | 22 | SAC | 100 |
| 367. | 9 Jul 64 | GEORGIA BOY | 5239 | LF-07 | MINUTEMAN B | OT | 23 | SAC | 101 |
| 368. | 10 Jul 64 | OLD HAT | 3491 | PALC-1-1 | TAT/AGENA D | SPACE | 20 | AFSC | 196 |
| 369. | 13 Jul 64 | OLD FOX | 5299 | LF-03 | MINUTEMAN B | OT | 24 | SAC | 102 |

PAGE 19
