| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 390. | 10 Sep 64 | HOT ROOF | 5484 | LF-02 | MINUTEMAN B | OT | 28 | SAC | 117 |
| 391. | 14 Sep 64 | QUIT CLAIM | 3497 | PALC-1-1 | TAT/AGENA D | SPACE | 23 | AFSC | 203 |
| 392. | 15 Sep 64 | BUTTERFLY NET | 5783 | 4300 A-1 | ATLAS D | ABRES | 50 | SAC | 118 |
| 393. | 15 Sep 64 | QUICK LAUNCH | 5892 | LF-08 | MINUTEMAN B | ST | 29 | SAC | 119 |
| 394. | 21 Sep 64 | LONG RANGE | 5694 | LF-09 | MINUTEMAN B | OT | 30 | SAC | 120 |
| 395. | 22 Sep 64 | BUZZING BEE | 5937 | 4300 A-3 | ATLAS D | NIKE TARGET | 51 | SAC | 121 |
| 396. | 23 Sep 64 | SLOW PACE | 4262 | PALC-2-4 | ATLAS/AGENA D | SPACE | 11 | AFSC | 204 |
| 397. | 23 Sep 64 | MOUNT UP | 5811 | LF-03 | MINUTEMAN B | OT | 31 | SAC | 122 |
| 398. | 29 Sep 64 | PAINTED WARRIOR | 5890 | LF-07 | MINUTEMAN B | OT | 32 | SAC | 123 |
| 399. | 2 Oct 64 | BLACK WIDOW | 4907 | 395-C | TITAN II | DASO | 14 | SAC | 124 |
| 400. | 5 Oct 64 | SOLID PACK | 3333 | 75-3-4 | TAT/AGENA D | SPACE | 24 | AFSC | 205 |
| 401. | 6 Oct 64 | AIR ALARM | 5798 | 75-1-2 | THOR/ABLE-STAR | SPACE | 4 | AFSC | 206 |
| 402. | 8 Oct 64 | BUSY LINE | 4035 | PALC-2-4 | ATLAS/AGENA D | SPACE | 12 | AFSC | 207 |
| 403. | 9 Oct 64 | GUS GOOSE | 6072 | PALC-D | SCOUT | SPACE | 14 | AFSC | 208 |
| 404. | 17 Oct 64 | MOOSE HORN | 3559 | PALC-1-1 | TAT/AGENA D | SPACE | 25 | AFSC | 209 |
| 405. | 23 Oct 64 | BOON DECKER | 4384 | PALC-2-3 | ATLAS/AGENA D | SPACE | 13 | AFSC | 210 |
| 406. | 2 Nov 64 | BROWN MOOSE | 5434 | 75-3-4 | TAT/AGENA D | SPACE | 26 | AFSC | 211 |
| 407. | 2 Nov 64 | PARIS ROYAL | 6257 | LF-03 | MINUTEMAN B | OT | 33 | SAC | 125 |
| 408. | 2 Nov 64 | NET GAIN | 6276 | LF-08 | MINUTEMAN B | OT | 34 | SAC | 126 |
| 409. | 3 Nov 64 | ECHO HOLE | 3062 | 75-3-5 | TAT/AGENA D | SPACE | 27 | AFSC | 212 |

PAGE 21
