| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1028. | 28 Jan 71 | GLORY TRIP 90B | 7315 | LF-09 | MINUTEMAN B | OT PHASE II | 176 | SAC | 386 |
| 1029. | 3 Feb 71 | GLORY TRIP 101F | 3681 | LF-24 | MINUTEMAN F | OT PHASE II | 91 | SAC | 387 |
| 1030. | 4 Feb 71 | GLORY TRIP 60M | 7795 | LF-04 | MINUTEMAN F | OT PHASE I | 92 | SAC | 388 |
| 1031. | 8 Feb 71 | GLORY TRIP 91B | 6267 | LF-07 | MINUTEMAN B | OT PHASE II | 177 | SAC | 389 |
| 1032. | 16 Feb 71 | N/A | 5268 | SLC-10W | THOR/BURNER II | SPACE | 11 | ADC | 9 |
| 1033. | 16 Feb 71 | OLD FOX 05M | 2499 | LF-02 | MINUTEMAN G | DASO | 17 | SAC | 390 |
| 1034. | 17 Feb 71 | N/A | 3297 | SLC-3W | THOR/AGENA D | SPACE | 36 | AFSC | 513 |
| 1035. | 22 Feb 71 | M1-28 | 4600 | LF-06 | MINUTEMAN B | SAFEGUARD | 178 | AFSC | 514 |
| 1036. | 24 Feb 71 | GLORY TRIP 102F | 1254 | LF-25 | MINUTEMAN F | OT PHASE II | 93 | SAC | 391 |
| 1037. | 27 Feb 71 | N/A | 0256 | BOM-1 | BOMARC A | TARGET | 39 | NAVY | 58 |
| 1038. | 27 Feb 71 | N/A | 4381 | BOM-2 | BOMARC A | TARGET | 40 | NAVY | 59 |
| 1039. | 27 Feb 71 | GLORY TRIP 80M | 0695 | LF-04 | MINUTEMAN F | OT PHASE I | 94 | SAC | 392 |
| 1040. | 2 Mar 71 | GLORY TRIP 92B-3 | 0277 | LF-03 | MINUTEMAN B | OT PHASE II | 179 | SAC | 393 |
| 1041. | 16 Mar 71 | M1-13 | 7110 | LF-06 | MINUTEMAN B | SAFEGUARD | 180 | AFSC | 515 |
| 1042. | 20 Mar 71 | N/A | 4788 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 31 | AFSC | 516 |
| 1043. | 23 Mar 71 | GLORY TRIP 01GM | 4032 | LF-08 | MINUTEMAN G | OT PHASE I | 18 | SAC | 394 |
| 1044. | 24 Mar 71 | N/A | 5300 | SLC-3W | THOR/AGENA D | SPACE | 37 | AFSC | 517 |
| 1045. | 31 Mar 71 | GLORY TRIP 82M | 7337 | LF-05 | MINUTEMAN F | OT PHASE I | 95 | SAC | 395 |
| 1046. | 31 Mar 71 | N/A | 4834 | SLC-2E | THOR/DELTA | SPACE | 14 | NASA | 18 |
| 1047. | 5 Apr 71 | N/A | 0246 | BMRS A-1 | ATLAS F | ABRES | 52 | AFSC | 518 |

PAGE 53
