| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 96. | 6 Sep 61 | SKYE BOAT | 1072 | LE-7 | THOR | CTL | 19 | RAF | 18 |
| 97. | 9 Sep 61 | FIRST MOTION | 1068 | PALC-1-1 | ATLAS/AGENA B | SPACE | 2 | AFSC | 39 |
| 98. | 12 Sep 61 | TWISTED BRAIDS | 1070 | 75-3-5 | THOR/AGENA B | SPACE | 15 | AFSC | 40 |
| 99. | 17 Sep 61 | CANE POLE | 1073 | 75-1-1 | THOR/AGENA B | SPACE | 16 | AFSC | 41 |
| 100. | 23 Sep 61 | BIG SAM | 1071 | 395 A-1 | TITAN I | R&D | 2 | AFSC | 42 |
| 101. | 13 Oct 61 | CAP PISTOL | 1075 | 75-3-4 | THOR/AGENA B | SPACE | 17 | AFSC | 43 |
| 102. | 21 Oct 61 | BIG TOWN | 1076 | PALC-1-2 | ATLAS/AGENA B | SPACE | 3 | AFSC | 44 |
| 103. | 23 Oct 61 | DEAD HEAT | 1079 | 75-3-5 | THOR/AGENA B | SPACE | 18 | AFSC | 45 |
| 104. | 5 Nov 61 | FOG CUTTER | 1080 | 75-1-1 | THOR/AGENA B | SPACE | 19 | AFSC | 46 |
| 105. | 15 Nov 61 | CAT FIGHT | 1081 | 75-3-4 | THOR/AGENA B | SPACE | 20 | AFSC | 47 |
| 106. | 15 Nov 61 | N/A | * | PALC-A | SERGEANT/LANCEA | SPACE PROBE | 2 | NASA | 2 |
| 107. | 18 Nov 61 | N/A | * | PALC-A | ARGO D-8 | SPACE PROBE | 1 | NASA | 3 |
| 108. | 22 Nov 61 | ROUND TRIP | 1085 | PALC-1-1 | ATLAS/AGENA B | SPACE | 4 | AFSC | 48 |
| 109. | 29 Nov 61 | BIG PUSH | 1077 | 576 B-2 | ATLAS D | DASO | 12 | SAC | 9 |
| 110. | 4 Dec 61 | N/A | 8201 | PALC-A | SCOUT JR | SPACE PROBE | 1 | AFSC | 49 |
| 111. | 5 Dec 61 | PIPERS DELIGHT | 1087 | LE-8 | THOR | CTL | 20 | RAF | 19 |
| 112. | 7 Dec 61 | BIG CHIEF | 1086 | 576 B-3 | ATLAS D | DASO | 13 | SAC | 10 |
| 113. | 8 Dec 61 | N/A | • | PALC-A | ASTROBEE 1500 | SPACE PROBE | 2 | CRL | 9 |
| 114. | 12 Dec 61 | SILVER STRIP | 1088 | 75-3-4 | THOR/AGENA B | SPACE | 21 | AFSC | 50 |

(*) Data not available

PAGE 6
