| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 929. | 7 Nov 69 | N/A | 5766 | SLC-5 | SCOUT | SPACE | 37 | AFSC | 476 |
| 930. | 13 Nov 69 | N/A | 7017 | BOM-2 | BOMARC A | TARGET | 28 | NAVY | 47 |
| 931. | 13 Nov 69 | N/A | 8850 | BOM-1 | BOMARC A | TARGET | 29 | NAVY | 48 |
| 932. | 18 Nov 69 | N/A | 7048 | BOM-1 | BOMARC A | TARGET | 30 | NAVY | 49 |
| 933. | 19 Nov 69 | N/A | 7059 | LF-21 | MINUTEMAN F | ST | 64 | AFSC | 477 |
| 934. | 25 Nov 69 | GLORY TRIP 49B | 7559 | LF-03 | MINUTEMAN B | FOT | 153 | SAC | 339 |
| 935. | 3 Dec 69 | N/A | 7905 | BMRS A-1 | ATLAS F | ABRES | 45 | AFSC | 478 |
| 936. | 4 Dec 69 | N/A | 6617 | SLC-3W | THOR/AGENA D | SPACE | 28 | AFSC | 479 |
| 937. | 5 Dec 69 | GLORY TRIP 50B | 7923 | LF-07 | MINUTEMAN B | FOT | 154 | SAC | 340 |
| 938. | 12 Dec 69 | N/A | 7412 | BMRS A-3 | ATLAS F | ABRES | 46 | AFSC | 480 |
| 939. | 16 Dec 69 | MR CLEAN II | 8044 | LF-06 | MINUTEMAN B | BALLISTIC | 155 | AFSC | 481 |
| 940. | 14 Jan 70 | N/A | 6531 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 25 | AFSC | 482 |
| 941. | 15 Jan 70 | N/A | 8838 | BOM-1 | BOMARC A | TARGET | 31 | NAVY | 50 |
| 942. | 23 Jan 70 | N/A | 6522 | SLC-2W | THOR/DELTA | SPACE | 12 | NASA | 16 |
| 943. | 3 Feb 70 | N/A | 1638 | SLC-2E | THOR/AGENA D | SPACE | 29 | AFSC | 483 |
| 944. | 8 Feb 70 | N/A | 7449 | BMRS A-3 | ATLAS F | ABRES | 47 | AFSC | 484 |
| 945. | 11 Feb 70 | N/A | 0054 | SLC-10W | THOR/BURNER II | SPACE | 9 | ADC | 7 |
| 946. | 25 Feb 70 | GLORY TRIP 53B | 7433 | LF-07 | MINUTEMAN B | FOT | 156 | SAC | 341 |
| 947. | 4 Mar 70 | N/A | 0440 | SLC-3W | THOR/AGENA D | SPACE | 30 | AFSC | 485 |
| 948. | 4 Mar 70 | GLORY TRIP 54B | 7840 | LF-09 | MINUTEMAN B | FOT | 157 | SAC | 342 |

PAGE 48
