| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1008. | 5 Oct 70 | GLORY TRIP 77B | 4286 | LF-09 | MINUTEMAN B | OT PHASE II | 171 | SAC | 374 |
| 1009. | 7 Oct 70 | GLORY TRIP 47M | 8798 | LF-05 | MINUTEMAN F | OT PHASE I | 84 | SAC | 375 |
| 1010. | 22 Oct 70 | GLORY TRIP 69F [SALVO] | 1207 | LF-25 | MINUTEMAN F | OT PHASE I | 85 | SAC | 376 |
| 1011. | 22 Oct 70 | GLORY TRIP 70F | 2748 | LF-26 | MINUTEMAN F | OT PHASE I | 86 | SAC | 377 |
| 1012. | 23 Oct 70 | N/A | 7568 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 29 | AFSC | 506 |
| 1013. | 26 Oct 70 | GLORY TRIP 78B | 2227 | LF-03 | MINUTEMAN B | OT PHASE II | 172 | SAC | 378 |
| 1014. | 2 Nov 70 | GLORY TRIP 51M | 6921 | LF-04 | MINUTEMAN F | OT PHASE I | 87 | SAC | 379 |
| 1015. | 4 Nov 70 | STM-1W | 1226 | LF-21 | MINUTEMAN G | STM/R&D | 14 | AFSC | 507 |
| 1016. | 5 Nov 70 | GLORY TRIP 52M | 7493 | LF-05 | MINUTEMAN F | OT PHASE I | 88 | SAC | 380 |
| 1017. | 8 Nov 70 | GLORY TRIP 79B | 1441 | LF-09 | MINUTEMAN B | OT PHASE II | 173 | SAC | 381 |
| 1018. | 13 Nov 70 | OLD FOX 03M | 1650 | LF-08 | MINUTEMAN G | DASO | 15 | SAC | 382 |
| 1019. | 18 Nov 70 | N/A | 4992 | SLC-3W | THORAD/AGENA D | SPACE | 35 | AFSC | 508 |
| 1020. | 7 Dec 70 | GLORY TRIP 56M | 6249 | LF-04 | MINUTEMAN F | OT PHASE I | 89 | SAC | 383 |
| 1021. | 11 Dec 70 | N/A | 5173 | SLC-2W | THOR/DELTA | SPACE | 13 | NASA | 17 |
| 1022. | 17 Dec 70 | GLORY TRIP 58M | 8669 | LF-05 | MINUTEMAN F | OT PHASE I | 90 | SAC | 384 |
| 1023. | 22 Dec 70 | N/A | 3047 | BMRS A-3 | ATLAS F | ABRES | 51 | AFSC | 509 |
| 1024. | 23 Dec 70 | M1-12 | 1350 | LF-06 | MINUTEMAN B | SAFEGUARD | 174 | AFSC | 510 |
| 1025. | 11 Jan 71 | M1-30 | 2935 | LF-06 | MINUTEMAN B | SAFEGUARD | 175 | AFSC | 511 |
| 1026. | 21 Jan 71 | N/A | 7776 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 30 | AFSC | 512 |
| 1027. | 27 Jan 71 | OLD FOX 04M | 2527 | LF-08 | MINUTEMAN G | DASO | 16 | SAC | 385 |

PAGE 52
