| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1068. | 29 Jun 71 | CHASER | 7601 | PALC-C | NIKE/AEROBEE | PROBE | 1 | AFSC | 525 |
| 1069. | 29 Jun 71 | N/A | 5334 | BOM-1 | BOMARC A | TARGET | 43 | NAVY | 62 |
| 1070. | 29 Jun 71 | N/A | 1284 | BOM-2 | BOMARC A | TARGET | 44 | NAVY | 63 |
| 1071. | 8 Jul 71 | GLORY TRIP 04GM | 4043 | LF-02 | MINUTEMAN G | OT PHASE I | 24 | SAC | 407 |
| 1072. | 12 Jul 71 | GLORY TRIP 95B | 7201 | LF-09 | MINUTEMAN B | OT PHASE II | 184 | SAC | 408 |
| 1073. | 6 Jul 71 | N/A | 8373 | SLC-1W | THORAD/AGENA D | SPACE | 38 | AFSC | 526 |
| 1074. | 3 Aug 71 | GLORY TRIP 96B | 7161 | LF-07 | MINUTEMAN B | OT PHASE II | 185 | SAC | 409 |
| 1075. | 4 Aug 71 | GLORY TRIP 104F-1 | 4274 | LF-25 | MINUTEMAN F | OT PHASE II | 101 | SAC | 410 |
| 1076. | 6 Aug 71 | GLORY TRIP 85M | 6113 | LF-04 | MINUTEMAN F | OT PHASE I | 102 | SAC | 411 |
| 1077. | 6 Aug 71 | N/A | 2663 | BMRS A-2 | ATLAS F | SPACE | 54 | AFSC | 527 |
| 1078. | 12 Aug 71 | N/A | 8607 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 33 | AFSC | 528 |
| 1079. | 13 Aug 71 | GLORY TRIP 87M | 6201 | LF-05 | MINUTEMAN F | OT PHASE I | 103 | SAC | 412 |
| 1080. | 27 Aug 71 | M2-1 | 0291 | 395-C | TITAN II | SOT/SAFEGUARD | 50 | SAC | 413 |
| 1081. | 1 Sep 71 | N/A | 0150 | BMRS A-1 | ATLAS F | ABRES | 55 | AFSC | 529 |
| 1082. | 2 Sep 71 | GLORY TRIP 29M | 6744 | LF-04 | MINUTEMAN F | OT PHASE I | 104 | SAC | 414 |
| 1083. | 3 Sep 71 | GLORY TRIP 05GM | 8045 | LF-02 | MINUTEMAN G | OT PHASE I | 25 | SAC | 415 |
| 1084. | 8 Sep 71 | GLORY TRIP 97B-1 | 5795 | LF-07 | MINUTEMAN B | OT PHASE II | 186 | SAC | 416 |
| 1085. | 10 Sep 71 | GLORY TRIP 89M | 8101 | LF-05 | MINUTEMAN F | OT PHASE I | 105 | SAC | 417 |
| 1086. | 10 Sep 71 | N/A | 5454 | SLC-3W | THORAD/AGENA D | SPACE | 39 | AFSC | 530 |
| 1087. | 16 Sep 71 | N/A | 8118 | BOM-2 | BOMARC A | TARGET | 45 | NAVY | 64 |

PAGE 55
