| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
|---|---|---|---|---|---|---|---|---|---|
| 1088. | 16 Sep 71 | N/A | 8092 | BOM-1 | BOMARC A | TARGET | 46 | NAVY | 65 |
| 1089. | 6 Oct 71 | GLORY TRIP 86F | 5937 | LF-25 | MINUTEMAN F | OT PHASE I | 106 | SAC | 418 |
| 1090. | 7 Oct 71 | M2-2 | 7662 | LF-06 | MINUTEMAN B | SAFEGUARD | 187 | AFSC | 531 |
| 1091. | 14 Oct 71 | N/A | 4311 | SLC-10W | THOR/BURNER IIA | SPACE | 1 | ADC | 11 |
| 1092. | 15 Oct 71 | GLORY TRIP 06GM | 7287 | LF-02 | MINUTEMAN G | OT PHASE I | 26 | SAC | 419 |
| 1093. | 17 Oct 71 | N/A | 8535 | SLC-1W | THORAD/AGENA D | SPACE | 40 | AFSC | 532 |
| 1094. | 18 Oct 71 | GLORY TRIP 98B | 6982 | LF-09 | MINUTEMAN B | OT PHASE II | 188 | SAC | 420 |
| 1095. | 20 Oct 71 | STM-3W | 6448 | LF-08 | MINUTEMAN G | STM/R&D | 27 | AFSC | 533 |
| 1096. | 21 Oct 71 | N/A | 8210 | SLC-2E | THOR/DELTA | SPACE | 15 | NASA | 19 |
| 1097. | 21 Oct 71 | GLORY TRIP 40L | 6389 | LF-05 | MINUTEMAN F | ERCS/OT PHASE I | 107 | SAC | 421 |
| 1098. | 23 Oct 71 | N/A | 7616 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 34 | AFSC | 534 |
| 1099. | 17 Nov 71 | GLORY TRIP 07GM | 6057 | LF-04 | MINUTEMAN G | OT PHASE I | 28 | SAC | 422 |
| 1100. | 22 Nov 71 | GLORY TRIP 08GM | 0394 | LF-02 | MINUTEMAN G | OT PHASE I | 29 | SAC | 423 |
| 1101. | 23 Nov 71 | GLORY TRIP 09GM | 5932 | LF-05 | MINUTEMAN G | OT PHASE I | 30 | SAC | 424 |
| 1102. | 23 Nov 71 | CHASER | 7457 | PALC-C | NIKE/AEROBEE | PROBE | 2 | AFSC | 535 |
| 1103. | 2 Dec 71 | GLORY TRIP 100B | 8061 | LF-09 | MINUTEMAN B | OT PHASE II | 189 | SAC | 425 |
| 1104. | 9 Dec 71 | GLORY TRIP 99B-1 | 6293 | LF-03 | MINUTEMAN B | OT PHASE II | 190 | SAC | 426 |
| 1105. | 11 Dec 71 | N/A | 0377 | SLC-5 | SCOUT | SPACE | 39 | AFSC | 536 |
| 1106. | 4 Dec 71 | N/A | 7898 | SLC-1W | THORAD/AGENA D | SPACE | 41 | AFSC | 537 |
| 1107. | 15 Dec 71 | STM-4W | 8482 | LF-08 | MINUTEMAN G | STM/R&D | 31 | AFSC | 538 |

PAGE 56
