| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 729. | 7 Aug 67 | N/A | 4827 | SLC-1E | THOR/AGENA D | SPACE | 5 | AFSC | 377 |
| 730. | 8 Aug 67 | GLOWING BRIGHT 45 | 6651 | LF-09 | MINUTEMAN B | FOT | 114 | SAC | 270 |
| 731. | 16 Aug 67 | N/A | 4886 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 7 | AFSC | 378 |
| 732. | 22 Aug 67 | N/A | 7202 | LE-6 | THOR/BURNER II | SPACE | 4 | ADC | 2 |
| 733. | 6 Sep 67 | GLOWING BRIGHT 46 | 6611 | LF-03 | MINUTEMAN B | FOT | 115 | SAC | 271 |
| 734. | 11 Sep 67 | GLOWING BRIGHT 44 | 8038 | 395-B | TITAN II | FOT | 42 | SAC | 272 |
| 735. | 15 Sep 67 | N/A | 5089 | SLC-1W | THOR/AGENA D | SPACE | 6 | AFSC | 379 |
| 736. | 19 Sep 67 | N/A | 4941 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 8 | AFSC | 380 |
| 737. | 21 Sep 67 | GLOWING BRIGHT 47 | 6638 | LF-07 | MINUTEMAN B | FOT | 116 | SAC | 273 |
| 738. | 25 Sep 67 | N/A | 4947 | SLC-5 | SCOUT | SPACE | 30 | AFSC | 381 |
| 739. | 26 Sep 67 | GLOWING BRIGHT 48 | 6583 | LF-09 | MINUTEMAN B | FOT | 117 | SAC | 274 |
| 740. | 11 Oct 67 | N/A | 1264 | LE-6 | THOR/BURNER II | SPACE | 5 | ADC | 3 |
| 741. | 11 Oct 67 | N/A | 0251 | ABRES B-3 | ATLAS D | ABRES | 90 | AFSC | 382 |
| 742. | 14 Oct 67 | N/A | 0846 | ABRES A-2 | ATLAS F | ABRES | 24 | AFSC | 383 |
| 743. | 21 Oct 67 | OLYMPIC TRIALS 4 | 4678 | LF-24 | MINUTEMAN F | ST | 23 | SAC | 275 |
| 744. | 25 Oct 67 | N/A | 4995 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 9 | AFSC | 384 |
| 745. | 27 Oct 67 | N/A | 3012 | ABRES A-3 | ATLAS F | ABRES | 25 | AFSC | 385 |
| 746. | 2 Nov 67 | N/A | 0562 | SLC-1E | THOR/AGENA D | SPACE | 7 | AFSC | 386 |
| 747. | 3 Nov 67 | GIN BABY II | 5005 | LF-02 | MINUTEMAN B | R&D | 118 | AFSC | 387 |
| 748. | 7 Nov 67 | N/A | 4919 | ABRES B-2 | ATLAS D | ABRES | 91 | AFSC | 388 |

PAGE 38
