| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 630. | 3 Oct 66 | GROVE HILL | 0335 | LF-06 | MINUTEMAN A | FOT | 50 | SAC | 235 |
| 631. | 5 Oct 66 | DWARF KILLER | 1920 | SLC-3E | ATLAS/AGENA D | SPACE | 36 | AFSC | 323 |
| 632. | 11 Oct 66 | LOW HILL | 7242 | ABRES A-2 | ATLAS F | ABRES | 16 | AFSC | 324 |
| 633. | 12 Oct 66 | GLEAMING STAR | 2055 | SLC-4E | ATLAS/AGENA D | SPACE | 37 | AFSC | 325 |
| 634. | 13 Oct 66 | SEA RAVEN | 2471 | LF-03 | MINUTEMAN B | FOT | 85 | SAC | 236 |
| 635. | 14 Oct 66 | FALL HARVEST | 2827 | BOM-1 | BOMARC A | TARGET | 2 | NAVY | 21 |
| 636. | 21 Oct 66 | MATCHED CLUBS | 2690 | LF-07 | MINUTEMAN B | FOT | 86 | SAC | 237 |
| 637. | 28 Oct 66 | BUSY SERVICE | 3820 | SLC-5 | SCOUT | SPACE | 24 | AFSC | 326 |
| 638. | 1 Nov 66 | BLUE HAWK | 2856 | BOM-2 | BOMARC A | TARGET | 3 | NAVY | 22 |
| 639. | 2 Nov 66 | GOLDEN AGE | 3266 | LF-22 | MINUTEMAN F | DASO | 13 | SAC | 238 |
| 640. | 2 Nov 66 | RED CABOOSE | 2070 | SLC-4E | ATLAS/AGENA D | SPACE | 38 | AFSC | 327 |
| 641. | 8 Nov 66 | BUSY MEETING | 1866 | SLC-1W | THORAD/AGENA D | SPACE | 2 | AFSC | 328 |
| 642. | 16 Nov 66 | LONG DOZEN | 2672 | LF-09 | MINUTEMAN B | FOT | 87 | SAC | 239 |
| 643. | 22 Nov 66 | WORKING GIRL | 8848 | LF-03 | MINUTEMAN B | FOT | 88 | SAC | 240 |
| 644. | 24 Nov 66 | BUBBLE GIRL | 8807 | 395-B | TITAN II | FOT | 38 | SAC | 241 |
| 645. | 5 Dec 66 | BUSY MERMAID | 1890 | SLC-4E | ATLAS/AGENA D | SPACE | 39 | AFSC | 329 |
| 646. | 11 Dec 66 | BUSY PANAMA | 0848 | ABRES B-3 | ATLAS D | SPACE | 85 | AFSC | 330 |
| 647. | 13 Dec 66 | WATER TEST | 8899 | LF-05 | MINUTEMAN F | ERCS/R&D | 14 | AFSC | 331 |
| 648. | 14 Dec 66 | BUSY SKYROCKET | 8968 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 3 | AFSC | 332 |

NOTE: Starting in 1981, all THOR/DELTA vehicles will appear as DELTA.

PAGE 33
