| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1268. | 19 Jan 75 | SFT-4 | 5459 | LF-03 | MINUTEMAN B | TRIDENT/SFT | 214 | AFSC | 611 |
| 1269. | 22 Jan 75 | N/A | 4869 | SLC-2W | THOR/DELTA | SPACE | 25 | NASA | 35 |
| 1270. | 29 Jan 75 | GLORY TRIP 48GM | 3375 | LF-04 | MINUTEMAN G | OT PHASE II | 68 | SAC | 477 |
| 1271. | 5 Feb 75 | GLORY TRIP 29GM-1 | 4526 | LF-09 | MINUTEMAN G | OT PHASE I | 69 | SAC | 478 |
| 1272. | 6 Mar 75 | SFT-101 | 8489 | LF-06 | MINUTEMAN B | TRIDENT/SFT | 215 | AFSC | 612 |
| 1273. | 9 Mar 75 | N/A | 2439 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 47 | AFSC | 613 |
| 1274. | 20 Mar 75 | N/A | 3352 | BOM-1 | BOMARC B | TARGET/R&D | 8 | NAVY | 84 |
| 1275. | 9 Apr 75 | GEOS-C | 7891 | SLC-2W | THOR/DELTA | SPACE | 26 | NASA | 36 |
| 1276. | 10 Apr 75 | N/A | 8333 | BOM-2 | BOMARC B | TARGET/R&D | 9 | NAVY | 85 |
| 1277. | 12 Apr 75 | N/A | 1418 | SLC-3W | ATLAS F | SPACE | 65 | AFSC | 614 |
| 1278. | 18 Apr 75 | N/A | 4883 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 48 | AFSC | 615 |
| 1279. | 6 May 75 | PVM-10 | 5026 | LF-26 | MINUTEMAN G | PVM/R&D | 70 | AFSC | 616 |
| 1280. | 9 May 75 | SFT-102 | 2522 | LF-06 | MINUTEMAN B | TRIDENT/SFT | 216 | AFSC | 617 |
| 1281. | 16 May 75 | STM-9W | 4943 | LF-02 | MINUTEMAN G | PAVE PEPPER | 71 | AFSC | 618 |
| 1282. | 22 May 75 | N/A | 5258 | BOM-1 | BOMARC B | TARGET/R&D | 10 | NAVY | 86 |
| 1283. | 23 May 75 | NTV-3 | 8163 | LF-03 | MINUTEMAN B | ABRES | 217 | AFSC | 619 |
| 1284. | 23 May 75 | N/A | 6226 | SLC-10W | THOR/BURNER IIA | SPACE | 7 | ADC | 17 |
| 1285. | 8 Jun 75 | N/A | 6381 | SLC-4E | TITAN IIID | SPACE | 10 | AFSC | 620 |
| 1286. | 11 Jun 75 | GLORY TRIP 30GM | 4227 | LF-08 | MINUTEMAN G | OT PHASE I | 72 | SAC | 479 |
| 1287. | 12 Jun 75 | NIMBUS F | 1797 | SLC-2W | THOR/DELTA | SPACE | 27 | NASA | 37 |

PAGE 65
