| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 988. | 4 Aug 70 | GLORY TRIP 16L | 3735 | LF-05 | MINUTEMAN F | ERCS/OT PHASE I | 77 | SAC | 362 |
| 989. | 11 Aug 70 | GLORY TRIP 06F | 2130 | LF-26 | MINUTEMAN F | OT PHASE I | 78 | SAC | 363 |
| 990. | 14 Aug 70 | GLORY TRIP 31M | 6064 | LF-04 | MINUTEMAN F | OT PHASE I | 79 | SAC | 364 |
| 991. | 18 Aug 70 | N/A | 7874 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 28 | AFSC | 501 |
| 992. | 20 Aug 70 | GLORY TRIP 74B | 7089 | LF-09 | MINUTEMAN B | OT PHASE II | 166 | SAC | 365 |
| 993. | 26 Aug 70 | GLORY TRIP 43M | 4530 | LF-05 | MINUTEMAN F | OT PHASE I | 80 | SAC | 366 |
| 994. | 26 Aug 70 | N/A | 8329 | SLC-1W | THOR/AGENA D | SPACE | 34 | AFSC | 502 |
| 995. | 27 Aug 70 | N/A | 1033 | SLC-5 | SCOUT | SPACE | 38 | AFSC | 503 |
| 996. | 27 Aug 70 | OLD FOX 01M | 8694 | LF-08 | MINUTEMAN G | DASO | 12 | SAC | 367 |
| 997. | 28 Aug 70 | M1-4 | 8753 | LF-06 | MINUTEMAN B | SAFEGUARD | 167 | AFSC | 504 |
| 998. | 2 Sep 70 | GLORY TRIP 75B | 0108 | LF-03 | MINUTEMAN B | OT PHASE II | 168 | SAC | 368 |
| 999. | 3 Sep 70 | N/A | 0203 | SLC-10W | THOR/BURNER II | SPACE | 10 | ADC | 8 |
| 1000. | 14 Sep 70 | GLORY TRIP 67F | 5154 | LF-25 | MINUTEMAN F | OT PHASE I | 81 | SAC | 369 |
| 1001. | 17 Sep 70 | GLORY TRIP 68F | 5272 | LF-26 | MINUTEMAN F | OT PHASE I | 82 | SAC | 370 |
| 1002. | 25 Sep 70 | GLORY TRIP 76B | 4727 | LF-07 | MINUTEMAN B | OT PHASE II | 169 | SAC | 371 |
| 1003. | 25 Sep 70 | OLD FOX 02M | 8278 | LF-02 | MINUTEMAN G | DASO | 13 | SAC | 372 |
| 1004. | 26 Sep 70 | N/A | 3464 | BOM-1 | BOMARC A | TARGET | 37 | NAVY | 56 |
| 1005. | 26 Sep 70 | N/A | 1986 | BOM-2 | BOMARC A | TARGET | 38 | NAVY | 57 |
| 1006. | 3 Oct 70 | GLORY TRIP 46M | 4000 | LF-04 | MINUTEMAN F | OT PHASE I | 83 | SAC | 373 |
| 1007. | 3 Oct 70 | M1-27 | 1829 | LF-06 | MINUTEMAN B | SAFEGUARD | 170 | AFSC | 505 |

PAGE 51
