| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
|---|---|---|---|---|---|---|---|---|---|
| 809. | 4 Jul 68 | N/A | 6910 | SLC-2E | THOR/DELTA | SPACE | 7 | NASA | 11 |
| 810. | 8 Jul 68 | GIANT FIST 1 | 1842 | LF-04 | MINUTEMAN F | MOD/DASO | 34 | SAC | 297 |
| 811. | 11 Jul 68 | N/A | 5814 | ABRES A-2 | ATLAS F | SPACE | 35 | AFSC | 421 |
| 812. | 12 Jul 68 | OLYMPIC TRIALS B-4 | 7366 | LF-03 | MINUTEMAN B | ST | 132 | SAC | 298 |
| 813. | 6 Aug 68 | N/A | 5187 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 15 | AFSC | 422 |
| 814. | 7 Aug 68 | N/A | 5955 | SLC-3W | THORAD/AGENA D | SPACE | 14 | AFSC | 423 |
| 815. | 8 Aug 68 | N/A | 2804 | SLC-5 | SCOUT | SPACE | 34 | AFSC | 424 |
| 816. | 16 Aug 68 | N/A | 8115 | SLC-2E | THOR/DELTA | SPACE | 8 | NASA | 12 |
| 817. | 16 Aug 68 | N/A | 2918 | SLC-3E | ATLAS/BURNER II | SPACE | 1 | AFSC | 425 |
| 818. | 19 Aug 68 | N/A | 5824 | BOM-2 | BOMARC A | TARGET | 12 | NAVY | 31 |
| 819. | 21 Aug 68 | GLORY TRIP 18T | 7537 | 395-C | TITAN II | FOT | 46 | SAC | 299 |
| 820. | 1 Sep 68 | SHORT ROUND | 3455 | LF-21 | MINUTEMAN F | ST | 35 | AFSC | 426 |
| 821. | 10 Sep 68 | N/A | 5247 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 16 | AFSC | 427 |
| 822. | 18 Sep 68 | N/A | 0165 | SLC-1E | THORAD/AGENA D | SPACE | 15 | AFSC | 428 |
| 823. | 25 Sep 68 | N/A | 7258 | ABRES A-3 | ATLAS F | ABRES | 36 | AFSC | 429 |
| 824. | 27 Sep 68 | N/A | 5575 | ABRES A-1 | ATLAS F | ABRES | 37 | AFSC | 430 |
| 825. | 3 Oct 68 | N/A | 5669 | SLC-5 | SCOUT | SPACE | 35 | AFSC | 431 |
| 826. | 5 Oct 68 | N/A | 0964 | SLC-1W | THORAD/AGENA D | SPACE | 16 | AFSC | 432 |
| 827. | 7 Oct 68 | N/A | 6316 | BOM-1 | BOMARC A | TARGET | 13 | NAVY | 32 |
| 828. | 22 Oct 68 | N/A | 4078 | SLC-10W | THOR/BURNER II | SPACE | 7 | ADC | 5 |

PAGE 42

Handwritten note: A circle is drawn around "3455" in the OP # column for row 820.
