| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 749. | 10 Nov 67 | N/A | 8435 | ABRES A-1 | ATLAS F | ABRES | 26 | AFSC | 389 |
| 750. | 10 Nov 67 | N/A | 9200 | SLC-2E | THOR/DELTA | SPACE | 5 | NASA | 9 |
| 751. | 14 Nov 67 | GLOWING BRIGHT 52 | 6808 | LF-09 | MINUTEMAN B | FOT | 119 | SAC | 276 |
| 752. | 14 Nov 67 | GLOWING BRIGHT 51 | 6745 | LF-07 | MINUTEMAN B | FOT | 120 | SAC | 277 |
| 753. | 17 Nov 67 | GIN BABY III | 0690 | LF-05 | MINUTEMAN F | R&D | 24 | AFSC | 390 |
| 754. | 21 Nov 67 | BUSY LOBBY | 0445 | LF-08 | MINUTEMAN F | MOD/R&D | 25 | AFSC | 391 |
| 755. | 1 Dec 67 | GLOWING BRIGHT 50 | 6679 | LF-03 | MINUTEMAN B | FOT | 121 | SAC | 278 |
| 756. | 1 Dec 67 | N/A | 7236 | BOM-1 | BOMARC A | TARGET | 8 | NAVY | 27 |
| 757. | 4 Dec 67 | N/A | 2027 | SLC-5 | SCOUT | SPACE | 31 | AFSC | 392 |
| 758. | 5 Dec 67 | N/A | 5000 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 10 | AFSC | 393 |
| 759. | 8 Dec 67 | GIN BABY IV | 0315 | LF-02 | MINUTEMAN B | R&D | 122 | AFSC | 394 |
| 760. | 9 Dec 67 | N/A | 1001 | SLC-1W | THOR/AGENA D | SPACE | 8 | AFSC | 395 |
| 761. | 18 Dec 67 | GLORY TRIP 01B | 6043 | LF-07 | MINUTEMAN B | FOT | 123 | SAC | 279 |
| 762. | 21 Dec 67 | N/A | 6948 | ABRES A-3 | ATLAS F | ABRES | 27 | AFSC | 396 |
| 763. | 21 Dec 67 | GLORY TRIP 03B | 2668 | LF-09 | MINUTEMAN B | FOT | 124 | SAC | 280 |
| 764. | 21 Dec 67 | GLORY TRIP 02B | 6703 | LF-03 | MINUTEMAN B | FOT | 125 | SAC | 281 |
| 765. | 23 Dec 67 | OLYMPIC TRIALS 5 | 2945 | LF-24 | MINUTEMAN F | ST | 26 | SAC | 282 |
| 766. | 28 Dec 67 | GIN BABY V | 7188 | LF-05 | MINUTEMAN F | R&D | 27 | AFSC | 397 |
| 767. | 10 Jan 68 | OLYMPIC TRIALS 6 | 2947 | LF-25 | MINUTEMAN F | ST | 28 | SAC | 283 |
| 768. | 11 Jan 68 | N/A | 0651 | SLC-2E | THOR/DELTA | SPACE | 6 | NASA | 10 |

PAGE 39
