| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 77. | 17 Feb 61 | SPIRIT LEVEL | 1052 | 75-3-4 | THOR/AGENA B | SPACE | 5 | AFSC | 24 |
| 78. | 18 Feb 61 | BENCH WARRANT | 1053 | 75-3-5 | THOR/AGENA B | SPACE | 6 | AFSC | 25 |
| 79. | 27 Mar 61 | N/A | * | PALC-B | DEACON/ARROW II | SPACE PROBE | 4 | AEC | 11 |
| 80. | 29 Mar 61 | SHEPHERDS BUSH | 1056 | 75-2-7 | THOR | CTL | 17 | RAF | 16 |
| 81. | 30 Mar 61 | FEATHER CUT | 1054 | 75-3-4 | THOR/AGENA B | SPACE | 7 | AFSC | 26 |
| 82. | 8 Apr 61 | RUNNING BOARD | 1055 | 75-3-5 | THOR/AGENA B | SPACE | 8 | AFSC | 27 |
| 83. | 3 May 61 | SILVER SADDLE | 1058 | SLTF | TITAN I | DEMONSTRATION | 1 | AFSC | 28 |
| 84. | 24 May 61 | LITTLE SATIN | 1057 | 576 B-2 | ATLAS D | R&D | 10 | AFSC | 29 |
| 85. | 7 Jun 61 | SURE SHOT | 1061 | 576-F | ATLAS E | R&D | 1 | AFSC | 30 |
| 86. | 8 Jun 61 | ISLAND QUEEN | 1059 | 75-3-4 | THOR/AGENA B | SPACE | 9 | AFSC | 31 |
| 87. | 16 Jun 61 | MARKED CARDS | 1060 | 75-1-1 | THOR/AGENA B | SPACE | 10 | AFSC | 32 |
| 88. | 20 Jun 61 | WHITE BISHOP | 1063 | 75-2-7 | THOR | CTL | 18 | RAF | 17 |
| 89. | 7 Jul 61 | HIGH WING | 1064 | 75-3-5 | THOR/AGENA B | SPACE | 11 | AFSC | 33 |
| 90. | 12 Jul 61 | POLAR ORBIT | 1062 | PALC-1-2 | ATLAS/AGENA B | SPACE | 1 | AFSC | 34 |
| 91. | 21 Jul 61 | STACKED DECK | 1066 | 75-3-4 | THOR/AGENA B | SPACE | 12 | AFSC | 35 |
| 92. | 1 Aug 61 | N/A | * | PALC-A | ASTROBEE 1500 | SPACE PROBE | 1 | CRL | 8 |
| 93. | 3 Aug 61 | CRISP BACON | 1067 | 75-1-1 | THOR/AGENA B | SPACE | 13 | AFSC | 36 |
| 94. | 22 Aug 61 | NEW NICKLE | 1065 | 576 B-3 | ATLAS D | R&D | 11 | AFSC | 37 |
| 95. | 30 Aug 61 | FULL BLOWER | 1069 | 75-3-4 | THOR/AGENA B | SPACE | 14 | AFSC | 38 |

(*) Data not available

PAGE 5
