| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1428. | 28 Mar 79 | GLORY TRIP 39GM | 4137 | LF-09 | MINUTEMAN G | OT PHASE I | 116 | SAC | 530 |
| 1429. | 19 Apr 79 | PVM-17 | 6980 | LF-21 | MINUTEMAN G | PVM/R&D | 117 | AFSC | 683 |
| 1430. | 28 May 79 | N/A | 2108 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 58 | AFSC | 684 |
| 1431. | 6 Jun 79 | DMSP F-4 | 5390 | SLC-10W | THOR/BLOCK 5D-1 | SPACE | 4 | ADC | 22 |
| 1432. | 27 Jun 79 | NOAA-A | 2910 | SLC-3W | ATLAS F | SPACE | 75 | AFSC | 685 |
| 1433. | 6 Jul 79 | LBRV-1 | 4386 | LF-03 | MINUTEMAN B | ABRES | 234 | AFSC | 686 |
| 1434. | 10 Jul 79 | GLORY TRIP 40GM<br>[DUAL] | 2966 | LF-09 | MINUTEMAN G | OT PHASE I | 118 | SAC | 531 |
| 1435. | 10 Jul 79 | GLORY TRIP 68GM | 1713 | LF-08 | MINUTEMAN G | OT PHASE II | 119 | SAC | 532 |
| 1436. | 16 Jul 79 | GIANT MOON 9 | 4030 | LF-04 | MINUTEMAN F | ERCS/OT | 149 | SAC | 533 |
| 1437. | 26 Jul 79 | GLORY TRIP 69GB | 3161 | LF-26 | MINUTEMAN G | OT PHASE II | 120 | SAC | 534 |
| 1438. | 3 Aug 79 | STREP-2 | 8300 | LF-06 | MINUTEMAN B | ABRES | 235 | AFSC | 687 |
| 1439. | 30 Aug 79 | STM-18W | 3460 | LF-21 | MINUTEMAN G | STM/R&D | 121 | AFSC | 688 |
| 1440. | 22 Sep 79 | ABRV-2 | 5227 | LF-06 | MINUTEMAN B | ABRES | 236 | AFSC | 689 |
| 1441. | 25 Sep 79 | GLORY TRIP 138M | 6318 | LF-04 | MINUTEMAN F | OT PHASE II | 150 | SAC | 535 |
| 1442. | 28 Sep 79 | GLORY TRIP 70GM | 3818 | LF-08 | MINUTEMAN G | OT PHASE II | 122 | SAC | 536 |
| 1443. | 30 Oct 79 | MAGSAT | 6959 | SLC-5 | SCOUT | SPACE | 54 | NASA | 46 |
| 1444. | 13 Dec 79 | GLORY TRIP 139M | 0559 | LF-07 | MINUTEMAN F | OT PHASE II | 151 | SAC | 537 |
| 1445. | 20 Dec 79 | AMARV-1 | 4980 | LF-03 | MINUTEMAN B | ABRES | 237 | AFSC | 690 |
| 1446. | 31 Jan 80 | PVM-18 | 1767 | LF-21 | MINUTEMAN G | PVM/R&D | 123 | AFSC | 691 |
| 1447. | 5 Feb 80 | GLORY TRIP 71GM | 9039 | LF-09 | MINUTEMAN G | OT PHASE II | 124 | SAC | 538 |

PAGE 73
