| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 310. | 21 Dec 63 | WATER SPOUT | 1388 | 75-1-2 | TAT/AGENA D | SPACE | 10 | AFSC | 171 |
| 311. | 10 Jan 64 | CLOCK WATCH | 2985 | LF-07 | MINUTEMAN B | DASO | 7 | SAC | 71 |
| 312. | 11 Jan 64 | EMPTY POCKET | 3231 | 75-3-5 | TAT/AGENA D | SPACE | 11 | AFSC | 172 |
| 313. | 16 Jan 64 | DOUBLE BARREL | 3210 | LF-02 | MINUTEMAN B | DASO | 8 | SAC | 72 |
| 314. | 19 Jan 64 | BENCH TOP | 3367 | 75-1-2 | THOR/AGENA D | SPACE | 18 | AFSC | 173 |
| 315. | 23 Jan 64 | RED SAILS | 3345 | 395-C | TITAN II | R&D | 8 | AFSC | 174 |
| 316. | 23 Jan 64 | BLACK BUSH | 3324 | LF-04 | MINUTEMAN A | OT | 20 | SAC | 73 |
| 317. | 25 Jan 64 | RAMS HORN | 3217 | 75-1-1 | THOR/AGENA B | SPACE | 40 | AFSC | 175 |
| 318. | 29 Jan 64 | ECHO HILL | 3285 | LF-03 | MINUTEMAN B | DASO | 9 | SAC | 74 |
| 319. | 6 Feb 64 | N/A | 3393 | PALC-A | HONEST JOHN/NIKE/ NIKE | SPACE PROBE | 2 | AEC | 15 |
| 320. | 11 Feb 64 | BLUE PAINT | 3311 | LF-06 | MINUTEMAN A | OT | 21 | SAC | 75 |
| 321. | 12 Feb 64 | BLUE BAY | 3678 | 576-F | ATLAS E | ST | 12 | SAC | 76 |
| 322. | 15 Feb 64 | GARDEN PARTY | 3444 | 75-3-4 | TAT/AGENA D | SPACE | 12 | AFSC | 176 |
| 323. | 17 Feb 64 | SAFE CONDUCT | 1817 | 395-B | TITAN II | R&D | 9 | AFSC | 177 |
| 324. | 24 Feb 64 | SNAP ROLL | 3705 | LF-02 | MINUTEMAN B | OT | 10 | SAC | 77 |
| 325. | 24 Feb 64 | FAST ORBIT | 3714 | LF-03 | MINUTEMAN B | OT | 11 | SAC | 78 |
| 326. | 25 Feb 64 | UPPER OCTANE | 2423 | PALC-2-3 | ATLAS/AGENA D | SPACE | 5 | AFSC | 178 |
| 327. | 27 Feb 64 | FIRST QUARTER | 3722 | 75-3-5 | TAT/AGENA D | SPACE | 13 | AFSC | 179 |
| 328. | 29 Feb 64 | BRASS RING | 3719 | LF-04 | MINUTEMAN A | OT | 22 | SAC | 79 |
| 329. | 29 Feb 64 | BOX SEAT | 3712 | LF-05 | MINUTEMAN A | OT | 23 | SAC | 80 |

PAGE 17
