| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 669. | 21 Feb 67 | GLORY TRAIL | 4126 | LF-09 | MINUTEMAN B | FOT | 95 | SAC | 249 |
| 670. | 21 Feb 67 | BUDDY BOY | 5229 | LF-03 | MINUTEMAN B | FOT | 96 | SAC | 250 |
| 671. | 22 Feb 67 | BUSY PAWNSHOP | 4750 | SLC-3W | TAT/AGENA D | SPACE | 58 | AFSC | 344 |
| 672. | 24 Feb 67 | BUSY PALEFACE | 4204 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 4 | AFSC | 345 |
| 673. | 5 Mar 67 | GIANT CHIEF | 4477 | SLC-3E | ATLAS/PRIME | SPACECRAFT | 2 | AFSC | 346 |
| 674. | 7 Mar 67 | OLD SAL | 6212 | LF-07 | MINUTEMAN B | FOT | 97 | SAC | 251 |
| 675. | 16 Mar 67 | LITTLE CHURCH | 9035 | ABRES A-2 | ATLAS F | ABRES | 19 | AFSC | 347 |
| 676. | 17 Mar 67 | GIFT HORSE | 7941 | 395-C | TITAN II | FOT | 39 | SAC | 252 |
| 677. | 22 Mar 67 | GLYCOL JELL | 6185 | LF-03 | MINUTEMAN B | FOT | 98 | SAC | 253 |
| 678. | 30 Mar 67 | GIANT BANANA | 4779 | SLC-3W | TAT/AGENA D | SPACE | 59 | AFSC | 348 |
| 679. | 7 Apr 67 | BUSY SUNRISE | 2997 | ABRES B-2 | ATLAS D | ABRES | 87 | AFSC | 349 |
| 680. | 7 Apr 67 | BUCK PASSER | 3677 | LF-09 | MINUTEMAN B | FOT | 99 | SAC | 254 |
| 681. | 12 Apr 67 | GLAMOUR GIRL | 7995 | 395-B | TITAN II | FOT | 40 | SAC | 255 |
| 682. | 13 Apr 67 | BUSY MINUTEMAN | 0100 | SLC-5 | SCOUT | SPACE | 26 | AFSC | 350 |
| 683. | 17 Apr 67 | BUSY MISSILE | 2301 | LF-08 | MINUTEMAN F | ERCS/R&D | 17 | AFSC | 351 |
| 684. | 19 Apr 67 | BUSY TOURNAMENT | 7845 | SLC-3E | ATLAS/PRIME | SPACECRAFT | 3 | AFSC | 352 |
| 685. | 20 Apr 67 | BUCKLE PAINTER | 0620 | SLC-2E | THOR/DELTA | SPACE | 3 | NASA | 7 |
| 686. | 21 Apr 67 | OLYMPIC TRIALS 1 | 3339 | LF-22 | MINUTEMAN F | ST | 18 | SAC | 256 |
| 687. | 21 Apr 67 | GIPSY CAMP | 6128 | LF-03 | MINUTEMAN B | FOT | 100 | SAC | 257 |
| 688. | 26 Apr 67 | BUSY TAILOR | 4243 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 5 | AFSC | 353 |

PAGE 35
