| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 330. | 3 Mar 64 | N/A | 4018 | PALC-A | HONEST JOHN/NIKE/NIKE | SPACE PROBE | 3 | AEC | 16 |
| 331. | 6 Mar 64 | KITE TAIL | 3725 | LF-07 | MINUTEMAN B | OT | 12 | SAC | 81 |
| 332. | 11 Mar 64 | INK BLOTTER | 3435 | PALC-2-3 | ATLAS/AGENA D | SPACE | 6 | AFSC | 180 |
| 333. | 13 Mar 64 | APPLE PIE | 3892 | 395-C | TITAN II | R&D | 10 | AFSC | 181 |
| 334. | 23 Mar 64 | BIG TREE | 4106 | LF-02 | MINUTEMAN B | OT | 13 | SAC | 82 |
| 335. | 24 Mar 64 | HEALTH FARM | 3467 | PALC-1-1 | TAT/AGENA D | SPACE | 14 | AFSC | 182 |
| 336. | 25 Mar 64 | CHROME PLATE | 4178 | LF-03 | MINUTEMAN B | OT | 14 | SAC | 83 |
| 337. | 26 Mar 64 | CIGAR SMOKE | 4196 | LF-05 | MINUTEMAN A | OT | 24 | SAC | 84 |
| 338. | 31 Mar 64 | CRACKER BOX | 4264 | LF-04 | MINUTEMAN A | OT | 25 | SAC | 85 |
| 339. | 3 Apr 64 | HIGH BALL | 4009 | 576-G | ATLAS F | DASO | 9 | SAC | 86 |
| 340. | 13 Apr 64 | COOPER FACE | 4319 | LF-07 | MINUTEMAN B | OT | 15 | SAC | 87 |
| 341. | 21 Apr 64 | USEFUL TOOL | 4368 | 75-1-1 | THOR/ABLE-STAR | SPACE | 3 | AFSC | 183 |
| 342. | 23 Apr 64 | DARK LADY | 4453 | LF-03 | MINUTEMAN B | OT | 16 | SAC | 88 |
| 343. | 23 Apr 64 | ANCHOR DAN | 3743 | PALC-2-3 | ATLAS/AGENA D | SPACE | 7 | AFSC | 184 |
| 344. | 27 Apr 64 | NICE BIRD | 2921 | 75-3-4 | TAT/AGENA D | SPACE | 15 | AFSC | 185 |
| 345. | 27 Apr 64 | DRAG OUT | 4462 | LF-05 | MINUTEMAN A | OT | 26 | SAC | 89 |
| 346. | 7 May 64 | BLACK WASP | 4399 | LF-02 | MINUTEMAN B | OT | 17 | SAC | 90 |
| 347. | 11 May 64 | DIP NET | 4395 | LF-06 | MINUTEMAN A | OT | 27 | SAC | 91 |
| 348. | 18 May 64 | DRESS BLUES | 4728 | LF-03 | MINUTEMAN B | OT | 18 | SAC | 92 |
| 349. | 19 May 64 | BIG FRED | 3592 | PALC-2-3 | ATLAS/AGENA D | SPACE | 8 | AFSC | 186 |

PAGE 18
