| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 709. | 9 Jun 67 | BUCK TYPE | 2766 | ABRES A-3 | ATLAS F | ABRES | 21 | AFSC | 365 |
| 710. | 16 Jun 67 | N/A | 3559 | SLC-1W | THOR/AGENA D | SPACE | 4 | AFSC | 366 |
| 711. | 20 Jun 67 | BUSY PLAYMATE | 4882 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 6 | AFSC | 367 |
| 712. | 21 Jun 67 | OHIO FARM | 6382 | LF-03 | MINUTEMAN B | FOT | 108 | SAC | 264 |
| 713. | 23 Jun 67 | BUGGY WHEEL | 8022 | 395-B | TITAN II | FOT | 41 | SAC | 265 |
| 714. | 28 Jun 67 | BUSY COUSIN | 1389 | LF-02 | MINUTEMAN B | R&D | 109 | AFSC | 368 |
| 715. | 29 Jun 67 | DEER FOOT | 6096 | LE-6 | THOR/BURNER II | SPACE | 3 | ADC | 1 |
| 716. | 5 Jul 67 | GLOWING BRIGHT 40 | 6546 | LF-07 | MINUTEMAN B | FOT | 110 | SAC | 266 |
| 717. | 6 Jul 67 | N/A | 4801 | ABRES B-2 | ATLAS D | ABRES | 88 | AFSC | 369 |
| 718. | 6 Jul 67 | BUCKBOARD SEAT | 1921 | BOM-1 | BOMARC A | TARGET | 7 | NAVY | 26 |
| 719. | 12 Jul 67 | GLOWING BRIGHT 42 | 6577 | LF-09 | MINUTEMAN B | FOT | 111 | SAC | 267 |
| 720. | 13 Jul 67 | OLD COIN | 0728 | LF-06 | MINUTEMAN B | ST | 112 | SAC | 268 |
| 721. | 15 Jul 67 | GIN BABY I | 2838 | LF-02 | MINUTEMAN B | R&D | 113 | AFSC | 370 |
| 722. | 15 Jul 67 | BUSY JOKER | 7591 | LF-21 | MINUTEMAN F | R&D | 21 | AFSC | 371 |
| 723. | 20 Jul 67 | OLYMPIC TRIALS 3 | 2856 | LF-22 | MINUTEMAN F | ST | 22 | SAC | 269 |
| 724. | 22 Jul 67 | N/A | 2946 | ABRES A-3 | ATLAS F | ABRES | 22 | AFSC | 372 |
| 725. | 24 Jul 67 | N/A | 1879 | SLC-2W | TAT/AGENA D | SPACE | 61 | AFSC | 373 |
| 726. | 27 Jul 67 | N/A | 1342 | ABRES B-3 | ATLAS D | SPACE | 89 | AFSC | 374 |
| 727. | 28 Jul 67 | N/A | 2061 | SLC-2E | TAT/AGENA D | SPACE | 62 | AFSC | 375 |
| 728. | 29 Jul 67 | BREAD HOOK | 0510 | ABRES A-2 | ATLAS F | ABRES | 23 | AFSC | 376 |

PAGE 37
