| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1228. | 27 Mar 74 | GLORY TRIP 117M-1 | 8662 | LF-07 | MINUTEMAN F | OT PHASE II | 125 | SAC | 465 |
| 1229. | 2 Apr 74 | GLORY TRIP 119M | 5102 | LF-02 | MINUTEMAN F | OT PHASE II | 126 | SAC | 466 |
| 1230. | 4 Apr 74 | PVM-5 | 8679 | LF-21 | MINUTEMAN G | PVM/R&D | 58 | AFSC | 592 |
| 1231. | 10 Apr 74 | N/A | 6245 | SLC-4E | TITAN IIID | SPACE | 8 | AFSC | 593 |
| 1232. | 10 Apr 74 | N/A | 6768 | BOM-2 | BOMARC B | TARGET/R&D | 4 | NAVY | 80 |
| 1233. | 16 Apr 74 | M2-135 | 8278 | LF-06 | MINUTEMAN B | SAFEGUARD | 209 | AFSC | 594 |
| 1234. | 26 Apr 74 | M2-35 | 6937 | LF-03 | MINUTEMAN B | SAFEGUARD | 210 | AFSC | 595 |
| 1235. | 1 May 74 | SFT-2 | 5075 | BMRS A-1 | ATLAS F | TRIDENT/SFT | 60 | AFSC | 596 |
| 1236. | 2 May 74 | GLORY TRIP 44GM | 8620 | LF-02 | MINUTEMAN G | OT PHASE II | 59 | SAC | 467 |
| 1237. | 30 May 74 | N/A | 5013 | BOM-1 | BOMARC B | TARGET/R&D | 5 | NAVY | 81 |
| 1238. | 3 Jun 74 | N/A | 4790 | SLC-5 | SCOUT | SPACE | 45 | NASA | 31 |
| 1239. | 6 Jun 74 | N/A | 1776 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 45 | AFSC | 597 |
| 1240. | 28 Jun 74 | SFT-3 | 6511 | BMRS A-1 | ATLAS F | TRIDENT/SFT | 61 | AFSC | 598 |
| 1241. | 9 Jul 74 | GLORY TRIP 120M | 6830 | LF-04 | MINUTEMAN F | OT PHASE II | 127 | SAC | 468 |
| 1242. | 11 Jul 74 | SAMAST | 4240 | LF-03 | MINUTEMAN B | ABRES | 211 | AFSC | 599 |
| 1243. | 13 Jul 74 | NTS-1 | 7518 | SLC-3W | ATLAS F | SPACE | 62 | AFSC | 600 |
| 1244. | 16 Jul 74 | N/A | 2741 | SLC-5 | SCOUT | SPACE | 46 | NASA | 32 |
| 1245. | 18 Jul 74 | M2-146 | 5095 | LF-06 | MINUTEMAN B | SAFEGUARD | 212 | AFSC | 601 |
| 1246. | 1 Aug 74 | M2-46 | 6001 | LF-03 | MINUTEMAN B | SAFEGUARD | 213 | AFSC | 602 |
| 1247. | 8 Aug 74 | N/A | 6983 | SLC-10W | THOR/BURNER IIA | SPACE | 6 | ADC | 16 |

PAGE 63
