| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 470. | 20 May 65 | ROYAL EAGLE | 8386 | 4300 B-6 | THOR/ALTAIR | SPACE | 3 | SAC | 167 |
| 471. | 21 May 65 | FRONT SIGHT | 7722 | 395-B | TITAN II | OT | 19 | SAC | 168 |
| 472. | 27 May 65 | BOTTOM LAND | 5236 | PALC-2-4 | ATLAS/AGENA D | SPACE | 19 | AFSC | 233 |
| 473. | 27 May 65 | TENNIS MATCH | 7626 | ABRES B-3 | ATLAS D | SPACE | 61 | AFSC | 234 |
| 474. | 2 Jun 65 | SURF SPRAY | 7758 | LF-08 | MINUTEMAN B | OT | 55 | SAC | 169 |
| 475. | 3 Jun 65 | OLD FOGEY | 7530 | ABRES B-2 | ATLAS D | ABRES | 62 | AFSC | 235 |
| 476. | 7 Jun 65 | WHEEL HORSE | 8160 | LF-03 | MINUTEMAN B | OT | 56 | SAC | 170 |
| 477. | 8 Jun 65 | LEA RING | 7608 | ABRES A-1 | ATLAS D | ABRES | 63 | AFSC | 236 |
| 478. | 9 Jun 65 | FEMALE LOGIC | 8425 | 75-3-5 | TAT/AGENA D | SPACE | 36 | AFSC | 237 |
| 479. | 10 Jun 65 | STOCK BOY | 7603 | ABRES A-3 | ATLAS D | ABRES | 64 | AFSC | 238 |
| 480. | 10 Jun 65 | SPEED KING | 7751 | LF-02 | MINUTEMAN B | OT | 57 | SAC | 171 |
| 481. | 14 Jun 65 | GOLD FISH | 7799 | 395-C | TITAN II | OT | 20 | SAC | 172 |
| 482. | 23 Jun 65 | WHITE GLOVE | 7767 | LF-09 | MINUTEMAN B | OT | 58 | SAC | 173 |
| 483. | 24 Jun 65 | PARADISE TREE | 8480 | 75-1-1 | THOR/ABLE-STAR | SPACE | 7 | AFSC | 239 |
| 484. | 25 Jun 65 | WORN FACE | 5501 | PALC-2-4 | ATLAS/AGENA D | SPACE | 20 | AFSC | 240 |
| 485. | 29 Jun 65 | MAPLE GROVE | 7777 | LF-08 | MINUTEMAN B | OT | 59 | SAC | 174 |
| 486. | 30 Jun 65 | BUSY BEE | 7814 | 395-D | TITAN II | OT | 21 | SAC | 175 |
| 487. | 1 Jul 65 | BLIND SPOT | 7617 | ABRES B-1 | ATLAS D | ABRES | 65 | AFSC | 241 |
| 488. | 2 Jul 65 | SWEET TALK | 7772 | LF-03 | MINUTEMAN B | OT | 60 | SAC | 176 |
| 489. | 6 Jul 65 | STAR DUST | 7745 | LF-07 | MINUTEMAN B | OT | 61 | SAC | 177 |

PAGE 25 .
