| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 869. | 15 Apr 69 | N/A | 5310 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 21 | AFSC | 452 |
| 870. | 16 Apr 69 | GLORY TRIP 19M | 0835 | LF-05 | MINUTEMAN F | OT | 46 | SAC | 314 |
| 871. | 17 Apr 69 | N/A | 8076 | BOM-2 | BOMARC A | TARGET | 19 | NAVY | 38 |
| 872. | 18 Apr 69 | SPEC TEST 3 | 7808 | LF-25 | MINUTEMAN F | ST | 47 | AFSC | 453 |
| 873. | 23 Apr 69 | GLORY TRIP 35B | 5813 | LF-07 | MINUTEMAN B | FOT | 141 | SAC | 315 |
| 874. | 25 Apr 69 | GLORY TRIP 05F | 4583 | LF-22 | MINUTEMAN F | OT | 48 | SAC | 316 |
| 875. | 30 Apr 69 | N/A | 2692 | BOM-1 | BOMARC A | TARGET | 20 | NAVY | 39 |
| 876. | 1 May 69 | N/A | 1101 | SLC-3W | THORAD/AGENA D | SPACE | 22 | AFSC | 454 |
| 877. | 2 May 69 | N/A | 8114 | LF-21 | MINUTEMAN F | ST | 49 | AFSC | 455 |
| 878. | 20 May 69 | GLORY TRIP 09F | 8041 | LF-26 | MINUTEMAN F | OT | 50 | SAC | 317 |
| 879. | 20 May 69 | GLORY TRIP 39T | 3226 | 395-B | TITAN II | FOT | 48 | SAC | 318 |
| 880. | 21 May 69 | N/A | 3276 | BOM-2 | BOMARC A | TARGET | 21 | NAVY | 40 |
| 881. | 28 May 69 | GLORY TRIP 07F | 6395 | LF-25 | MINUTEMAN F | OT | 51 | SAC | 319 |
| 882. | 29 May 69 | N/A | 0464 | LF-02 | MINUTEMAN G | R&D | 2 | AFSC | 456 |
| 883. | 3 Jun 69 | N/A | 1077 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 22 | AFSC | 457 |
| 884. | 5 Jun 69 | N/A | 7431 | SLC-2E | THORAD/AGENA D | SPACE | 23 | AFSC | 458 |
| 885. | 10 Jun 69 | GLORY TRIP 11F | 7870 | LF-24 | MINUTEMAN F | OT | 52 | SAC | 320 |
| 886. | 18 Jun 69 | GLORY TRIP 37B | 7583 | LF-07 | MINUTEMAN B | FOT | 142 | SAC | 321 |
| 887. | 19 Jun 69 | N/A | 7965 | BOM-1 | BOMARC A | TARGET | 22 | NAVY | 41 |
| 888. | 20 Jun 69 | N/A | 2584 | LF-21 | MINUTEMAN F | ST | 53 | AFSC | 459 |

PAGE 45
