| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 530. | 24 Dec 65 | TALL STORY | 4639 | 75-3-4 | TAT/AGENA D | SPACE | 45 | AFSC | 270 |
| 531. | 6 Jan 66 | PERSIAN LAMB | 2394 | 4300 B-6 | THOR/ALTAIR | SPACE | 5 | SAC | 190 |
| 532. | 18 Jan 66 | RESTLESS DRIFTER | 0874 | LF-26 | MINUTEMAN F | R&D | 5 | AFSC | 271 |
| 533. | 19 Jan 66 | BLANKET PARTY | 7253 | PALC-2-4 | ATLAS/AGENA D | SPACE | 25 | AFSC | 272 |
| 534. | 22 Jan 66 | SUPREME CHIEF | 2147 | LF-05 | MINUTEMAN F | MOD/R&D | 6 | AFSC | 273 |
| 535. | 27 Jan 66 | ANCHOR POLE | 2560 | LF-09 | MINUTEMAN B | FOT | 62 | SAC | 191 |
| 536. | 28 Jan 66 | INVENTORY AID | 1593 | PALC-D | SCOUT | SPACE | 18 | AFSC | 274 |
| 537. | 2 Feb 66 | SEA LEVEL | 7291 | PALC-1-1 | TAT/AGENA D | SPACE | 46 | AFSC | 275 |
| 538. | 3 Feb 66 | WINTER ICE | 3662 | 395-D | TITAN II | OT | 30 | SAC | 192 |
| 539. | 9 Feb 66 | IRON BACK | 1439 | 75-1-2 | TAT/AGENA D | SPACE | 47 | AFSC | 276 |
| 540. | 10 Feb 66 | YEAST CAKE | 7642 | ABRES A-1 | ATLAS D | ABRES | 72 | AFSC | 277 |
| 541. | 11 Feb 66 | LONELY MOUNTAIN | 0591 | ABRES B-2 | ATLAS D | ABRES | 73 | AFSC | 278 |
| 542. | 11 Feb 66 | CREEK BED | 3016 | LF-07 | MINUTEMAN B | FOT | 63 | SAC | 193 |
| 543. | 15 Feb 66 | MUCHO GRANDE | 1184 | PALC-2-4 | ATLAS/AGENA D | SPACE | 26 | AFSC | 279 |
| 544. | 16 Feb 66 | CALAMITY JANE | 0643 | LF-25 | MINUTEMAN F | R&D | 7 | AFSC | 280 |
| 545. | 17 Feb 66 | BLACK HAWK | 1555 | 395-B | TITAN II | OT | 31 | SAC | 194 |
| 546. | 19 Feb 66 | SYCAMORE RIDGE | 0959 | ABRES B-1 | ATLAS D | ABRES | 74 | AFSC | 281 |
| 547. | 24 Feb 66 | BROAD ARROW [SALVO] | 2571 | LF-04 | MINUTEMAN A | FOT | 41 | SAC | 195 |
| 548. | 24 Feb 66 | SEA DEVIL | 2982 | LF-06 | MINUTEMAN A | FOT | 42 | SAC | 196 |
| 549. | 4 Mar 66 | ETERNAL CAMP | 0812 | ABRES A-1 | ATLAS D | ABRES | 75 | AFSC | 282 |

PAGE 28
