| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1607. | 7 Jul 87 | GLORY TRIP 148M | 0824 | LF-04 | MINUTEMAN F | OT PHASE II | 159 | SAC | 598 |
| 1608. | 12 Jul 87 | GLORY TRIP 123GM-1 | 5362 | LF-10 | MINUTEMAN G | OT PHASE II | 178 | SAC | 599 |
| 1609. | 1 Sep 87 | IPMS | 6121 | LF-06 | MINUTEMAN G | IPMS | 179 | AFSC | 775 |
| 1610. | 16 Sep 87 | SOOS-2 | 8110 | SLC-5 | SCOUT | SPACE | 60 | NASA | 58 |
| 1611. | 21 Sep 87 | SENT-2 | 9822 | LF-03 | MINUTEMAN B | SENT | 259 | AFSC | 776 |
| 1612. | 26 Oct 87 | N/A | 8993 | SLC-4E | TITAN 34D | SPACE | 6 | AFSC | 777 |
| 1613. | 28 Oct 87 | GLORY TRIP 150M | 4094 | LF-04 | MINUTEMAN F | OT PHASE II | 160 | SAC | 600 |
| 1614. | 3 Nov 87 | GLORY TRIP 124GM | 4307 | LF-09 | MINUTEMAN G | OT PHASE II | 180 | SAC | 601 |
| 1615. | 9 Nov 87 | GLORY TRIP 149M | 9937 | LF-07 | MINUTEMAN F | OT PHASE II | 161 | SAC | 602 |
| 1616. | 18 Jan 88 | TD MARV | 5360 | LF-03 | MINUTEMAN B | RSLP | 260 | AFSC | 778 |
| 1617. | 29 Jan 88 | GLORY TRIP 125GB-1 | 0062 | LF-26 | MINUTEMAN G | OT PHASE II | 181 | SAC | 603 |
| 1618. | 2 Feb 88 | DMSS F-9 | 2621 | SLC-3W | ATLAS E | SPACE | 30 | AFSC | 779 |
| 1619. | 25 Apr 88 | SOOS-3 | 4473 | SLC-5 | SCOUT | SPACE | 61 | NASA | 59 |
| 1620. | 3 Jun 88 | GLORY TRIP-127GB | 4369 | LF-26 | MINUTEMAN G | OT PHASE II | 182 | SAC | 604 |
| 1621. | 15 Jun 88 | NOVA IV | 3769 | SLC-5 | SCOUT | SPACE | 62 | NASA | 60 |
| 1622. | 12 Jul 88 | GLORY TRIP 126GM | 1166 | LF-09 | MINUTEMAN G | OT PHASE II | 183 | SAC | 605 |
| 1623. | 12 Jul 88 | GLORY TRIP 128GM | 6034 | LF-04 | MINUTEMAN G | OT PHASE II | 184 | SAC | 606 |
| 1624. | 25 Aug 88 | SOOS IV | 6456 | SLC-5 | SCOUT | SPACE | 63 | NASA | 61 |
| 1625. | 5 Sep 88 | N/A | 0305 | SLC-4W | TITAN II SLV | SPACE | 1 | AFSC | 780 |
| 1626. | 24 Sep 88 | NOAA-H | 9142 | SLC-3W | ATLAS E | SPACE | 31 | AFSC | 781 |

PAGE 82
