| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1168. | 18 Dec 72 | N/A | 7080 | BOM-1 | BOMARC A | TARGET | 54 | NAVY | 73 |
| 1169. | 19 Dec 72 | HK-3 | 4536 | LF-06 | MINUTEMAN B | ASTP | 196 | AFSC | 562 |
| 1170. | 21 Dec 72 | N/A | 3978 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 39 | AFSC | 563 |
| 1171. | 21 Dec 72 | GLORY TRIP 111M | 6246 | LF-07 | MINUTEMAN F | OT PHASE II | 117 | SAC | 448 |
| 1172. | 27 Dec 72 | N/A | 8609 | BOM-1 | BOMARC A | TARGET | 55 | NAVY | 74 |
| 1173. | 29 Dec 72 | N/A | 9255 | BOM-2 | BOMARC A | TARGET | 56 | NAVY | 75 |
| 1174. | 30 Jan 73 | PVM-2 | 5179 | LF-08 | MINUTEMAN G | PVM-R&D | 47 | AFSC | 564 |
| 1175. | 9 Mar 73 | NTV-1 | 7028 | LF-06 | MINUTEMAN B | ABRES | 197 | AFSC | 565 |
| 1176. | 9 Mar 73 | N/A | 8410 | SLC-4E | TITAN IIID | SPACE | 5 | AFSC | 566 |
| 1177. | 17 Apr 73 | GLORY TRIP 112M | 8109 | LF-02 | MINUTEMAN F | OT PHASE II | 118 | SAC | 449 |
| 1178. | 25 Apr 73 | HK-2 | 8637 | LF-03 | MINUTEMAN B | ASTP | 198 | AFSC | 567 |
| 1179. | 26 Apr 73 | GLORY TRIP 21GB | 3546 | LF-25 | MINUTEMAN G | OT PHASE I | 48 | SAC | 450 |
| 1180. | 3 May 73 | GLORY TRIP 22GB | 6353 | LF-22 | MINUTEMAN G | OT PHASE I | 49 | SAC | 451 |
| 1181. | 4 May 73 | M2-24 | 7277 | LF-06 | MINUTEMAN B | SAFEGUARD | 199 | AFSC | 568 |
| 1182. | 16 May 73 | N/A | 2093 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 40 | AFSC | 569 |
| 1183. | 31 May 73 | PVM-4 | 5411 | LF-09 | MINUTEMAN G | PVM-R&D | 50 | AFSC | 570 |
| 1184. | 7 Jun 73 | M2-22 | 8325 | LF-06 | MINUTEMAN B | SAFEGUARD | 200 | AFSC | 571 |
| 1185. | 26 Jun 73 | N/A | 4018 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 41 | AFSC | 572 |
| 1186. | 27 Jun 73 | GLORY TRIP 114M | 5527 | LF-07 | MINUTEMAN F | OT PHASE II | 119 | SAC | 452 |
| 1187. | 6 Jul 73 | GLORY TRIP 23GB | 7058 | LF-25 | MINUTEMAN G | OT PHASE I | 51 | SAC | 453 |

PAGE 60
