| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 829. | 24 Oct 68 | GIANT FIST 2A | 2259 | LF-04 | MINUTEMAN F | MOD/DASO | 36 | SAC | 300 |
| 830. | 30 Oct 68 | OLYMPIC TRIALS B-5 | 4565 | LF-09 | MINUTEMAN B | ST | 133 | SAC | 301 |
| 831. | 3 Nov 68 | N/A | 1315 | SLC-3W | THORAD/AGENA D | SPACE | 17 | AFSC | 433 |
| 832. | 6 Nov 68 | N/A | 5296 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 17 | AFSC | 434 |
| 833. | 13 Nov 68 | GIANT FIST 4 | 6053 | LF-05 | MINUTEMAN F | MOD/DASO | 37 | SAC | 302 |
| 834. | 13 Nov 68 | N/A | 0306 | BOM-2 | BOMARC A | TARGET | 14 | NAVY | 33 |
| 835. | 16 Nov 68 | N/A | 7305 | ABRES A-3 | ATLAS F | ABRES | 38 | AFSC | 435 |
| 836. | 19 Nov 68 | GLORY TRIP 26T | 0852 | 395-C | TITAN II | FOT | 47 | SAC | 303 |
| 837. | 21 Nov 68 | GIANT BLADE 2 | 7494 | LF-25 | MINUTEMAN F | DASO | 38 | SAC | 304 |
| 838. | 24 Nov 68 | N/A | 2923 | ABRES A-1 | ATLAS F | ABRES | 39 | AFSC | 436 |
| 839. | 4 Dec 68 | N/A | 6518 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 18 | AFSC | 437 |
| 840. | 7 Dec 68 | OLYMPIC TRIALS B-6 | 7806 | LF-09 | MINUTEMAN B | ST | 134 | SAC | 305 |
| 841. | 10 Dec 68 | OLD FAITHFUL 2 | 4982 | LF-06 | MINUTEMAN B | ST | 135 | SAC | 306 |
| 842. | 12 Dec 68 | N/A | 4740 | SLC-3W | THORAD/AGENA D | SPACE | 18 | AFSC | 438 |
| 843. | 15 Dec 68 | N/A | 5577 | SLC-2E | THOR/DELTA | SPACE | 9 | NASA | 13 |
| 844. | 20 Dec 68 | N/A | 2062 | LF-08 | MINUTEMAN F | ST | 39 | AFSC | 439 |
| 845. | 8 Jan 69 | N/A | 0446 | BOM-2 | BOMARC A | TARGET | 15 | NAVY | 34 |
| 846. | 16 Jan 69 | N/A | 7335 | ABRES A-3 | ATLAS F | ABRES | 40 | AFSC | 440 |
| 847. | 21 Jan 69 | OLYMPIC TRIALS B-7 | 2930 | LF-09 | MINUTEMAN B | ST | 136 | SAC | 307 |
| 848. | 22 Jan 69 | N/A | 7585 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 19 | AFSC | 441 |

PAGE 43
