| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1647. | 11 Apr 90 | STACKSAT (P87-2) | 4832 | SLC-3W | ATLAS E | SPACE | 32 | AFSC | 787 |
| 1648. | 9 May 90 | MACSAT | 9427 | SLC-5 | SCOUT | SPACE | 64 | NASA | 63 |
| 1649. | 16 May 90 | GLORY TRIP 03PA | 6045 | LF-08 | PEACEKEEPER | OT PHASE I | 21 | SAC | 620 |
| 1650. | 26 Jun 90 | GLORY TRIP 140GB | 1468 | LF-26 | MINUTEMAN G | OT PHASE II | 196 | SAC | 621 |
| 1651. | 13 Sep 90 | GLORY TRIP 04PA | 4524 | LF-05 | PEACEKEEPER | OT PHASE I | 22 | SAC | 622 |
| 1652. | 19 Sep 90 | GLORY TRIP 141GM | 4877 | LF-09 | MINUTEMAN G | OT PHASE II | 197 | SAC | 623 |
| 1653. | 6 Nov 90 | GLORY TRIP 142GM | 7506 | LF-04 | MINUTEMAN G | OT PHASE II | 198 | SAC | 624 |
| 1654. | 1 Dec 90 | DMSS S10 | 0297 | SLC-3W | ATLAS E | SPACE | 33 | AFSPC | 1 |
| 1655. | 28 Jan 91 | GBI-1 | 2648 | LF-03 | MINUTEMAN B | RSLP | 262 | AFSC | 788 |
| 1656. | 8 Mar 91 | N/A | 6496 | SLC-4E | TITAN IV | SPACE | 1 | AFSC | 789 |
| 1657. | 12 Mar 91 | GLORY TRIP 05PA | 7027 | LF-02 | PEACEKEEPER | OT PHASE I | 23 | SAC | 625 |
| 1658. | 18 Apr 91 | FTM-2A | 4068 | TP-01 | SMALL ICBM | DT&E | 2 | AFSC | 790 |
| 1659. | 11 May 91 | GBI-2 | 3149 | LF-03 | MINUTEMAN B | RSLP | 263 | AFSC | 791 |
| 1660. | 14 May 91 | NOAA-D | 0069 | SLC-3W | ATLAS E | SPACE | 34 | AFSPC | 2 |
| 1661. | 11 Jun 91 | GLORY TRIP 06PA | 0734 | LF-08 | PEACEKEEPER | OT PHASE I | 24 | SAC | 626 |
| 1662. | 20 Jun 91 | AST | 0757 | LF-03 | MINUTEMAN B | RSLP | 264 | AFSC | 792 |
| 1663. | 25 Jun 91 | GLORY TRIP 144GB | 3726 | LF-26 | MINUTEMAN G | OT PHASE II | 199 | SAC | 627 |
| 1664. | 29 Jun 91 | REX | 9852 | SLC-5 | SCOUT | SPACE | 65 | NASA | 64 |
| 1665. | 2 Jul 91 | GLORY TRIP 143GM | 4946 | LF-10 | MINUTEMAN G | OT PHASE II | 200 | SAC | 628 |
| 1666. | 3 Sep 91 | GLORY TRIP 145GM | 9714 | LF-04 | MINUTEMAN G | OT PHASE II | 201 | SAC | 629 |

PAGE 84
