| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 849. | 29 Jan 69 | N/A | 5265 | LF-08 | MINUTEMAN F | ST | 40 | AFSC | 442 |
| 850. | 29 Jan 69 | SPEC TEST 1 | 5606 | LF-02 | MINUTEMAN F | ST | 41 | AFSC | 443 |
| 851. | 29 Jan 69 | N/A | 1154 | BOM-1 | BOMARC A | TARGET | 16 | NAVY | 35 |
| 852. | 29 Jan 69 | N/A | 0149 | SLC-2E | THOR/DELTA | SPACE | 10 | NASA | 14 |
| 853. | 30 Jan 69 | GLORY TRIP 32B | 2664 | LF-03 | MINUTEMAN B | FOT | 137 | SAC | 308 |
| 854. | 2 Feb 69 | GIANT FIST 5 | 5263 | LF-04 | MINUTEMAN F | MOD/DASO | 42 | SAC | 309 |
| 855. | 5 Feb 69 | N/A | 3890 | SLC-3W | THOR/AGENDA D | SPACE | 19 | AFSC | 444 |
| 856. | 20 Feb 69 | OLYMPIC TRIALS B-8 | 5311 | LF-09 | MINUTEMAN B | ST | 138 | SAC | 310 |
| 857. | 21 Feb 69 | N/A | 1075 | BOM-2 | BOMARC A | TARGET | 17 | NAVY | 36 |
| 858. | 4 Mar 69 | N/A | 4248 | SLC-4W | TITAN IIIB/AGENDA D | SPACE | 20 | AFSC | 445 |
| 859. | 7 Mar 69 | SPEC TEST 2 | 0212 | LF-05 | MINUTEMAN F | ST | 43 | AFSC | 446 |
| 860. | 12 Mar 69 | GIANT FIST 3 | 7844 | LF-04 | MINUTEMAN F | MOD/DASO | 44 | SAC | 311 |
| 861. | 15 Mar 69 | N/A | 0832 | BOM-1 | BOMARC A | TARGET | 18 | NAVY | 37 |
| 862. | 17 Mar 69 | N/A | 0070 | ABRES A-2 | ATLAS F | SPACE | 41 | AFSC | 447 |
| 863. | 19 Mar 69 | N/A | 3722 | SLC-3W | THOR/AGENDA D | SPACE | 20 | AFSC | 448 |
| 864. | 22 Mar 69 | N/A | 6089 | LF-21 | MINUTEMAN F | ST | 45 | AFSC | 449 |
| 865. | 24 Mar 69 | GLORY TRIP 33B | 3935 | LF-07 | MINUTEMAN B | FOT | 139 | SAC | 312 |
| 866. | 25 Mar 69 | GLORY TRIP 34B | 4245 | LF-03 | MINUTEMAN B | FOT | 140 | SAC | 313 |
| 867. | 11 Apr 69 | N/A | 8040 | LF-02 | MINUTEMAN G | R&D | 1 | AFSC | 450 |
| 868. | 13 Apr 69 | N/A | 1085 | SLC-2E | THOR/AGENDA D | SPACE | 21 | AFSC | 451 |

PAGE 44
