| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1368. | 16 Jun 77 | STM-14W | 6279 | LF-21 | MINUTEMAN G | STM/R&D | 96 | AFSC | 652 |
| 1369. | 23 Jun 77 | NTS-2 | 5580 | SLC-3W | ATLAS F | SPACE | 67 | AFSC | 653 |
| 1370. | 27 Jun 77 | N/A | 4800 | SLC-4E | TITAN IIID | SPACE | 14 | AFSC | 654 |
| 1371. | 28 Jun 77 | GLORY TRIP 134M | 2180 | LF-04 | MINUTEMAN F | OT PHASE II | 143 | SAC | 511 |
| 1372. | 13 Jul 77 | N/A | 8108 | BOM-2 | BOMARC B | TARGET | 22 | NAVY | 98 |
| 1373. | 14 Jul 77 | N/A | 6814 | BOM-1 | BOMARC B | TARGET | 23 | NAVY | 99 |
| 1374. | 3 Aug 77 | GLORY TRIP 60GB | 6715 | LF-26 | MINUTEMAN G | OT PHASE II | 97 | SAC | 512 |
| 1375. | 10 Aug 77 | GLORY TRIP 59GM-1 | 4668 | LF-08 | MINUTEMAN G | OT PHASE II | 98 | SAC | 513 |
| 1376. | 19 Aug 77 | PVM-14 | 3129 | LF-21 | MINUTEMAN G | PVM/R&D | 99 | AFSC | 655 |
| 1377. | 3 Sep 77 | TDV-2 | 5733 | LF-06 | MINUTEMAN B | ABRES | 226 | AFSC | 656 |
| 1378. | 14 Sep 77 | GLORY TRIP 35GM | 3790 | LF-09 | MINUTEMAN G | OT PHASE I | 100 | SAC | 514 |
| 1379. | 23 Sep 77 | N/A | 7471 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 55 | AFSC | 657 |
| 1380. | 27 Oct 77 | N/A | 4305 | SLC-5 | SCOUT | SPACE | 52 | NASA | 42 |
| 1381. | 3 Nov 77 | PVM-15 | 5834 | LF-21 | MINUTEMAN G | PVM/R&D | 101 | AFSC | 658 |
| 1382. | 13 Nov 77 | TDV-3 | 4220 | LF-06 | MINUTEMAN B | ABRES | 227 | AFSC | 659 |
| 1383. | 30 Nov 77 | GLORY TRIP 135M | 5410 | LF-07 | MINUTEMAN F | OT PHASE II | 144 | SAC | 515 |
| 1384. | 6 Dec 77 | GLORY TRIP 36GM | 1255 | LF-09 | MINUTEMAN G | OT PHASE I | 102 | SAC | 516 |
| 1385. | 8 Dec 77 | N/A | 8781 | SLC-3W | ATLAS F | SPACE | 68 | AFSC | 660 |
| 1386. | 9 Dec 77 | N/A | 8538 | BOM-1 | BOMARC B | TARGET | 24 | NAVY | 100 |
| 1387. | 6 Jan 78 | STM-15W | 6626 | LF-21 | MINUTEMAN G | STM/R&D | 103 | AFSC | 661 |

PAGE 70
