| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 290. | 9 Nov 63 | FIRE TRUCK | 2293 | 395-C | TITAN II | R&D | 6 | AFSC | 163 |
| 291. | 9 Nov 63 | JUMP SUIT | 2268 | 75-1-2 | THOR/AGENA D | SPACE | 16 | AFSC | 164 |
| 292. | 13 Nov 63 | COOL WATER VI | 2247 | 576 B-2 | ATLAS D | ST | 46 | SAC | 62 |
| 293. | 14 Nov 63 | FAST RIDE | 2410 | 395 A-1 | TITAN I | DASO | 17 | SAC | 63 |
| 294. | 18 Nov 63 | N/A | 2717 | PALC-A | HONEST JOHN/NIKE/NIKE | SPACE PROBE | 1 | AEC | 14 |
| 295. | 27 Nov 63 | BIG CIRCLE | 2673 | 394 A-6 | MINUTEMAN B | DASO | 5 | SAC | 64 |
| 296. | 27 Nov 63 | DRY DUNE | 2260 | PALC-1-1 | THOR/AGENA D | SPACE | 17 | AFSC | 165 |
| 297. | 29 Nov 63 | ARM CHAIR | 2750 | 394 A-5 | MINUTEMAN A | OT | 17 | SAC | 65 |
| 298. | 5 Dec 63 | LIMIT LINE | 2239 | 75-1-1 | THOR/ABLE-STAR | SPACE | 2 | AFSC | 166 |
| 299. | 10 Dec 63 | N/A | 2549 | PALC-A | DAC ROC | SPACE PROBE | 2 | NAVY | 18 |
| 300. | 13 Dec 63 | ANSWER MAN | 2539 | 394 A-1 | MINUTEMAN B | DASO | 6 | SAC | 66 |
| 301. | 13 Dec 63 | BAMBOO SHOOT | 2600 | 394 A-3 | MINUTEMAN A | OT | 18 | SAC | 67 |
| 302. | 16 Dec 63 | USEFUL TASK | 2943 | 395-D | TITAN II | R&D | 7 | AFSC | 167 |
| 303. | 17 Dec 63 | N/A | 1125 | 4300C | SCOUT JR | SPACE PROBE | 9 | SAC | 68 |
| 304. | 18 Dec 63 | LENS COVER | 2874 | 4300 A-1 | ATLAS D | ABRES | 47 | SAC | 69 |
| 305. | 18 Dec 63 | REST EASY | 2372 | PALC-2-3 | ATLAS/AGENA D | SPACE | 4 | AFSC | 168 |
| 306. | 18 Dec 63 | DAY BOOK | 2216 | 576-G | ATLAS F | R&D | 8 | AFSC | 169 |
| 307. | 19 Dec 63 | BLUE SCOUT X | 2843 | PALC-D | SCOUT | SPACE | 10 | AFSC | 170 |
| 308. | 20 Dec 63 | BENT HOOK | 2932 | 394 A-5 | MINUTEMAN A | OT | 19 | SAC | 70 |
| 309. | 20 Dec 63 | N/A | 3007 | PALC-A | SEAGULL | SPACE PROBE | 1 | NAVY | 19 |

PAGE 16
