| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 610. | 8 Aug 66 | BUSY RAMROD | 0691 | ABRES A-2 | ATLAS F | ABRES | 15 | AFSC | 315 |
| 611. | 9 Aug 66 | CURLY TOP | 1545 | SLC-1W | THORAD/AGENA D | SPACE | 1 | AFSC | 316 |
| 612. | 16 Aug 66 | SILVER DOLL | 1832 | SLC-4E | ATLAS/AGENA D | SPACE | 33 | AFSC | 317 |
| 613. | 16 Aug 66 | GIBSON GIRL | 2978 | LF-02 | MINUTEMAN B | FOT | 81 | SAC | 225 |
| 614. | 16 Aug 66 | WHITE ARC | 2681 | LF-06 | MINUTEMAN A | FOT | 47 | SAC | 226 |
| 615. | 17 Aug 66 | MARBLE HALL | 2366 | SLC-5 | SCOUT | SPACE | 23 | AFSC | 318 |
| 616. | 19 Aug 66 | HAPPY MOUNTAIN | 2213 | SLC-3E | ATLAS/AGENA D | SPACE | 34 | AFSC | 319 |
| 617. | 22 Aug 66 | TOWN DOCTOR | 2685 | LF-04 | MINUTEMAN A | FOT | 48 | SAC | 227 |
| 618. | 25 Aug 66 | AUGUST CORN | 2801 | BOM-2 | BOMARC A | TARGET | 1 | NAVY | 20 |
| 619. | 26 Aug 66 | CAREER GIRL | 1260 | LF-23 | MINUTEMAN F | DASO | 12 | SAC | 228 |
| 620. | 29 Aug 66 | MOTHER CAT | 2677 | LF-07 | MINUTEMAN B | FOT | 82 | SAC | 229 |
| 621. | 15 Sep 66 | IRIS DUKE | 6026 | 4300 B-6 | THOR/BURNER II | SPACE | 1 | SAC | 230 |
| 622. | 16 Sep 66 | BLACK RIVER | 7920 | 395-C | TITAN II | FOT | 37 | SAC | 231 |
| 623. | 16 Sep 66 | TAXI DRIVER | 1686 | SLC-4E | ATLAS/AGENA D | SPACE | 35 | AFSC | 320 |
| 624. | 16 Sep 66 | SNOW HILL | 7231 | LF-03 | MINUTEMAN B | FOT | 83 | SAC | 232 |
| 625. | 20 Sep 66 | RED SPIDER | 0289 | LF-04 | MINUTEMAN A | FOT | 49 | SAC | 233 |
| 626. | 20 Sep 66 | BIG BADGE | 1703 | SLC-3W | TAT/AGENA D | SPACE | 55 | AFSC | 321 |
| 627. | 22 Sep 66 | HOT SPRINGS | 2660 | LF-09 | MINUTEMAN B | FOT | 84 | SAC | 234 |
| 628. | 28 Sep 66 | BUSY SCHEME | 4096 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 2 | AFSC | 322 |
| 629. | 2 Oct 66 | BUSY MALLET | 5374 | SLC-2E | THOR/DELTA | SPACE | 1 | NASA | 5 |

PAGE 32
